project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
ada-url,2023-05-12 06:50:03.772000,{ada-url},{0dd28fa304a47be166f361203cfc0e51ad78eb18},2023-05-13 06:50:51.942000,{ada-url},{349d926c02c1d51018bda2b841a4dbff8033ce29},4718.0,6363.0,4850.0,6365.0,2.0,2.0505428390443114
ada-url,2023-05-14 06:20:44.117000,{ada-url},{349d926c02c1d51018bda2b841a4dbff8033ce29},2023-05-15 06:03:53.252000,{ada-url},{3bd4b3c193e1d1d1bb8cde6a0c19244778ff5917},4868.0,6365.0,4856.0,6353.0,-12.0,-0.04442483086897653
ada-url,2023-05-15 06:03:53.252000,{ada-url},{3bd4b3c193e1d1d1bb8cde6a0c19244778ff5917},2023-05-16 06:13:09.457000,{ada-url},{7734d823919b18f6dcfcf79178e7e246ee9b93ad},4856.0,6353.0,4856.0,6353.0,0.0,0.0
ada-url,2023-05-16 06:13:09.457000,{ada-url},{7734d823919b18f6dcfcf79178e7e246ee9b93ad},2023-05-18 06:51:58.272000,{ada-url},{beadd6057875d900db60fedcde6dfe803936daad},4856.0,6353.0,5019.0,6377.0,24.0,2.2683907945683046
ada-url,2023-05-18 06:51:58.272000,{ada-url},{beadd6057875d900db60fedcde6dfe803936daad},2023-05-19 06:03:22.319000,{ada-url},{4279e462b545d0ab2f5b972621fcd84b3be003d0},5019.0,6377.0,5019.0,6365.0,-12.0,0.14838281870444803
ada-url,2023-05-19 06:03:22.319000,{ada-url},{4279e462b545d0ab2f5b972621fcd84b3be003d0},2023-05-20 06:05:40.618000,{ada-url},{f7925f6b41f4b75b8e606ad9b9489abed152ec05},5019.0,6365.0,5019.0,6365.0,0.0,0.0
ada-url,2023-05-25 06:24:53.871000,{ada-url},{f7925f6b41f4b75b8e606ad9b9489abed152ec05},2023-05-26 06:43:21.469000,{ada-url},{b7b2c747d1debf0f4738e17fcf578bdd513034a8},5019.0,6365.0,5015.0,6366.0,1.0,-0.07522040573461197
ada-url,2023-05-31 14:05:23.288000,{ada-url},{b7b2c747d1debf0f4738e17fcf578bdd513034a8},2023-06-01 06:11:00.653000,{ada-url},{a36ef43a3a67ce512ade5ea4c422204c29ec0283},5020.0,6366.0,5020.0,6366.0,0.0,0.0
ada-url,2023-06-01 06:11:00.653000,{ada-url},{a36ef43a3a67ce512ade5ea4c422204c29ec0283},2023-06-02 06:25:43.572000,{ada-url},{5ec03c5efb4ca950ac9c82fd19be3811f0bc6eca},5020.0,6366.0,5020.0,6366.0,0.0,0.0
ada-url,2023-06-02 06:25:43.572000,{ada-url},{5ec03c5efb4ca950ac9c82fd19be3811f0bc6eca},2023-06-03 06:07:37.986000,{ada-url},{eb7481edb40aa6b3713dadf0579d2fcf04ba0146},5020.0,6366.0,5027.0,6373.0,7.0,0.023223760662858695
ada-url,2023-06-03 06:07:37.986000,{ada-url},{eb7481edb40aa6b3713dadf0579d2fcf04ba0146},2023-06-04 07:42:12.685000,{ada-url},{a0fee5e974d472e1cd5f9126276451c258c2b492},5027.0,6373.0,5027.0,6373.0,0.0,0.0
ada-url,2023-06-04 07:42:12.685000,{ada-url},{a0fee5e974d472e1cd5f9126276451c258c2b492},2023-06-05 06:31:14.364000,{ada-url},{344f51153bcdc09372a87eeafaa065ec263afc50},5027.0,6373.0,5027.0,6373.0,0.0,0.0
ada-url,2023-06-12 06:48:59.276000,{ada-url},{344f51153bcdc09372a87eeafaa065ec263afc50},2023-06-13 07:02:34.239000,{ada-url},{0c67ed538d1ef4a813086820abc0f43ab2e9b732},5027.0,6373.0,5027.0,6373.0,0.0,0.0
ada-url,2023-06-21 06:43:23.702000,{ada-url},{0c67ed538d1ef4a813086820abc0f43ab2e9b732},2023-06-22 06:09:04.661000,{ada-url},{b1a22a4779884343459dfa826a049b636c537543},5027.0,6373.0,5024.0,6370.0,-3.0,-0.009946790337281186
ada-url,2023-06-25 06:37:26.359000,{ada-url},{b1a22a4779884343459dfa826a049b636c537543},2023-06-26 06:17:14.234000,{ada-url},{81ca72978a038df3597cec1f55fe8c345c4feda4},5024.0,6370.0,5024.0,6370.0,0.0,0.0
ada-url,2023-06-26 06:17:14.234000,{ada-url},{81ca72978a038df3597cec1f55fe8c345c4feda4},2023-06-27 06:33:42.331000,{ada-url},{040f04faa0cd86d3b9c9c4ae7e4980153d1fe245},5024.0,6370.0,5085.0,6463.0,93.0,-0.19106951270254058
ada-url,2023-06-27 06:33:42.331000,{ada-url},{040f04faa0cd86d3b9c9c4ae7e4980153d1fe245},2023-06-28 06:15:29.152000,{ada-url},{c426ef667798b804b1cfab65f857dc8af8804e8d},5085.0,6463.0,5085.0,6463.0,0.0,0.0
ada-url,2023-06-28 06:15:29.152000,{ada-url},{c426ef667798b804b1cfab65f857dc8af8804e8d},2023-06-29 06:11:08.622000,{ada-url},{46ff6281d4d386bd3333720707a6a30b35c14779},5085.0,6463.0,5089.0,6467.0,4.0,0.01318779513582058
ada-url,2023-07-01 06:53:27.215000,{ada-url},{46ff6281d4d386bd3333720707a6a30b35c14779},2023-07-03 06:44:11.062000,{ada-url},{f4dfec9aa52850ac4d5c21a27174b282e28bed4f},5089.0,6467.0,5089.0,6467.0,0.0,0.0
ada-url,2023-07-03 06:44:11.062000,{ada-url},{f4dfec9aa52850ac4d5c21a27174b282e28bed4f},2023-07-04 06:47:43.002000,{ada-url},{725532a6913e15a7bfe9778bb07f46f59bae039d},5089.0,6467.0,5138.0,6516.0,49.0,0.1602364670880121
ada-url,2023-07-05 06:20:17.602000,{ada-url},{725532a6913e15a7bfe9778bb07f46f59bae039d},2023-07-06 06:04:25.470000,{ada-url},{d35f5fedae563a89b89ddc3d315a5fd4eeea0c70},5140.0,6516.0,5140.0,6532.0,16.0,-0.193221678269353
ada-url,2023-07-06 06:04:25.470000,{ada-url},{d35f5fedae563a89b89ddc3d315a5fd4eeea0c70},2023-07-07 06:25:04.299000,{ada-url},{0caeae9149935d4d18cfbf8eed5c62d66b9ae6d5},5140.0,6532.0,5140.0,6532.0,0.0,0.0
ada-url,2023-07-07 06:25:04.299000,{ada-url},{0caeae9149935d4d18cfbf8eed5c62d66b9ae6d5},2023-07-08 06:23:26.597000,{ada-url},{b632392810b5deda5960b624565146dcec12cf21},5140.0,6532.0,5140.0,6532.0,0.0,0.0
ada-url,2023-07-12 07:06:23.285000,{ada-url},{b632392810b5deda5960b624565146dcec12cf21},2023-07-13 06:20:11.202000,{ada-url},{bf5175b2178cea422a26f5e92a5c3e3fb3be69a0},5140.0,6532.0,5140.0,6532.0,0.0,0.0
ada-url,2023-07-19 06:11:28.747000,{ada-url},{bf5175b2178cea422a26f5e92a5c3e3fb3be69a0},2023-07-20 06:15:48.324000,{ada-url},{0e247c5d72f984d337b37f7f2eb53c364bef9a2e},5140.0,6532.0,5140.0,6531.0,-1.0,0.012048618661026467
ada-url,2023-07-23 06:17:47.197000,{ada-url},{0e247c5d72f984d337b37f7f2eb53c364bef9a2e},2023-07-24 06:06:38.938000,{ada-url},{f3bd5d16b30514a68731d2dfe8037d9fc66d0d00},5140.0,6531.0,5140.0,6531.0,0.0,0.0
ada-url,2023-08-01 06:23:54.491000,{ada-url},{f3bd5d16b30514a68731d2dfe8037d9fc66d0d00},2023-08-02 06:08:53.722000,{ada-url},{ec6511ec6e34c6e39385230372b6b298a9a58711},5140.0,6531.0,5154.0,6545.0,14.0,0.04555812386340108
ada-url,2023-08-06 06:12:16.119000,{ada-url},{ec6511ec6e34c6e39385230372b6b298a9a58711},2023-08-07 07:09:36.189000,{ada-url},{d3223a7ce7f7cea2fc2a532aca22bec062d9ae53},5154.0,6545.0,5153.0,6544.0,-1.0,-0.0032476871611066827
