project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
aiohttp,2022-05-06 06:24:40.430000,"{aiohttp,aflplusplus}","{f9e1a9ecdea6fb36ea5ea63d864b4f57e0ec46ec,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-07 06:20:09.046000,"{aiohttp,aflplusplus}","{e485c4d5f8e02ab0c68059236608fc13ba194daa,c208dcf9c573e3d85990c7dea777646f7fa4961c}",11090.0,42115.0,11090.0,42115.0,0.0,0.0
aiohttp,2022-05-08 06:15:47.714000,"{aiohttp,aflplusplus}","{e485c4d5f8e02ab0c68059236608fc13ba194daa,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-09 06:15:49.409000,"{aiohttp,aflplusplus}","{adeece3c1826b150f129e198f69e78a469901b5e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",11090.0,42115.0,11090.0,42113.0,-2.0,0.0012505715846558019
aiohttp,2022-05-09 06:15:49.409000,"{aiohttp,aflplusplus}","{adeece3c1826b150f129e198f69e78a469901b5e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-10 06:20:17.901000,"{aiohttp,aflplusplus}","{e16fb6225ec7f2fe190e63ff20a439cc20182713,c208dcf9c573e3d85990c7dea777646f7fa4961c}",11090.0,42113.0,10899.0,41330.0,-783.0,0.03676391061255302
aiohttp,2022-05-13 06:27:55.155000,"{aiohttp,aflplusplus}","{e16fb6225ec7f2fe190e63ff20a439cc20182713,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-14 06:17:08.078000,"{aiohttp,aflplusplus}","{08ca779e9abdb6d558cdd1647fdca17cfe979711,c208dcf9c573e3d85990c7dea777646f7fa4961c}",10964.0,41330.0,10965.0,41330.0,0.0,0.0024195499637080786
aiohttp,2022-05-19 06:33:17.913000,"{aiohttp,aflplusplus}","{08ca779e9abdb6d558cdd1647fdca17cfe979711,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-20 06:23:40.314000,"{aiohttp,aflplusplus}","{72d3d4b1f68cca5ad15ef50bffb0419b798c7f23,c208dcf9c573e3d85990c7dea777646f7fa4961c}",10971.0,41290.0,10971.0,41290.0,0.0,0.0
aiohttp,2022-05-31 06:20:34.921000,"{aiohttp,aflplusplus}","{72d3d4b1f68cca5ad15ef50bffb0419b798c7f23,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-01 06:12:17.274000,"{aiohttp,aflplusplus}","{15f7398642c131a1c52989829351cba9f1969c32,c208dcf9c573e3d85990c7dea777646f7fa4961c}",11691.0,41584.0,12004.0,41630.0,46.0,0.7207962476005427
aiohttp,2022-06-03 06:17:21.642000,"{aiohttp,aflplusplus}","{15f7398642c131a1c52989829351cba9f1969c32,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-04 06:20:12.418000,"{aiohttp,aflplusplus}","{b9c29a79d4498d8eebb0fbd368d5e4f24747d164,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13212.0,46228.0,13367.0,46274.0,46.0,0.306550465888936
aiohttp,2022-06-07 06:13:57.490000,"{aiohttp,aflplusplus}","{b9c29a79d4498d8eebb0fbd368d5e4f24747d164,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-08 06:12:20.288000,"{aiohttp,aflplusplus}","{ed196893b6102cedcc98251c0c76d1b9c5103cee,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13368.0,46274.0,13369.0,46274.0,0.0,0.0021610407572332235
aiohttp,2022-06-09 06:15:21.082000,"{aiohttp,aflplusplus}","{ed196893b6102cedcc98251c0c76d1b9c5103cee,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-10 06:12:31.202000,"{aiohttp,aflplusplus}","{944482ffc1ba2e1f0595fa5c0007737fc935f3b2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13367.0,46274.0,13371.0,46274.0,0.0,0.00864416302891513
aiohttp,2022-06-12 06:16:28.814000,"{aiohttp,aflplusplus}","{944482ffc1ba2e1f0595fa5c0007737fc935f3b2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-13 06:13:40.983000,"{aiohttp,aflplusplus}","{3a41da05bcb1edde9f6f878d9092e108e70dff2a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13372.0,46274.0,13372.0,46274.0,0.0,0.0
aiohttp,2022-06-14 06:12:39.944000,"{aiohttp,aflplusplus}","{3a41da05bcb1edde9f6f878d9092e108e70dff2a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-15 06:20:09.372000,"{aiohttp,aflplusplus}","{339d7f0cc7193345b7409370ea5ff1ab39632116,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13372.0,46274.0,13372.0,46274.0,0.0,0.0
aiohttp,2022-06-20 06:11:12.521000,"{aiohttp,aflplusplus}","{339d7f0cc7193345b7409370ea5ff1ab39632116,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-21 06:14:14.986000,"{aiohttp,aflplusplus}","{f922c1985d74509366f68152ddd940f121fc40e5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13216.0,46228.0,13371.0,46274.0,46.0,0.30654186435956987
aiohttp,2022-06-30 06:11:49.760000,"{aiohttp,aflplusplus}","{f922c1985d74509366f68152ddd940f121fc40e5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-04 06:34:12.536000,"{aiohttp,aflplusplus}","{6013bd4e17ae46e796e28c1380ff3bde2161008d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13379.0,46274.0,13379.0,46274.0,0.0,0.0
aiohttp,2022-07-13 06:12:35.807000,"{aiohttp,aflplusplus}","{6013bd4e17ae46e796e28c1380ff3bde2161008d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-14 06:35:59.656000,"{aiohttp,aflplusplus}","{7b0a6152ee0794862175e923ed73dafc8ea072ce,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13379.0,46274.0,13380.0,46274.0,0.0,0.002161040757226118
aiohttp,2022-07-18 06:33:30.495000,"{aiohttp,aflplusplus}","{7b0a6152ee0794862175e923ed73dafc8ea072ce,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-19 06:27:55.965000,"{aiohttp,aflplusplus}","{c34eccbbb85eee291c6bf53dbcc94f420a190ea1,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13380.0,46274.0,13380.0,46274.0,0.0,0.0
aiohttp,2022-07-22 06:11:56.160000,"{aiohttp,aflplusplus}","{c34eccbbb85eee291c6bf53dbcc94f420a190ea1,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-23 06:38:52.119000,"{aiohttp,aflplusplus}","{934db9ab96866169327e1c98765725cb51c14ac2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13224.0,46228.0,13380.0,46274.0,46.0,0.308685702058078
aiohttp,2022-07-24 06:15:42.201000,"{aiohttp,aflplusplus}","{934db9ab96866169327e1c98765725cb51c14ac2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-25 06:13:43.096000,"{aiohttp,aflplusplus}","{f90cb1952c272936845b93a8f424b32e703d545c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13380.0,46274.0,13382.0,46276.0,2.0,0.003072230731625325
aiohttp,2022-07-29 06:18:39.625000,"{aiohttp,aflplusplus}","{f90cb1952c272936845b93a8f424b32e703d545c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-30 06:23:35.823000,"{aiohttp,aflplusplus}","{0d39c84ad47115b7b0af411fa3a6080c56f3cdff,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13394.0,46322.0,13393.0,46322.0,0.0,-0.0021588014334454897
aiohttp,2022-08-03 06:36:42.962000,"{aiohttp,aflplusplus}","{0d39c84ad47115b7b0af411fa3a6080c56f3cdff,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-04 06:10:59.550000,"{aiohttp,aflplusplus}","{013e45ff351d0320fbd474799fc7fc9fb767ccc0,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13237.0,46276.0,13400.0,46333.0,57.0,0.3166111792645623
aiohttp,2022-08-08 06:43:47.994000,"{aiohttp,aflplusplus}","{013e45ff351d0320fbd474799fc7fc9fb767ccc0,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-08 18:52:52.609000,"{aiohttp,aflplusplus}","{799dc8742e2cc0b5a819ba454878d09bbfe2df82,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13245.0,46287.0,13245.0,46287.0,0.0,0.0
aiohttp,2022-08-08 18:52:52.609000,"{aiohttp,aflplusplus}","{799dc8742e2cc0b5a819ba454878d09bbfe2df82,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-08 23:33:16.034000,"{aiohttp,aflplusplus}","{7bf5fa48786b86efc55813aef40445db1da43c56,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13245.0,46287.0,13245.0,46287.0,0.0,0.0
aiohttp,2022-08-21 06:35:57.819000,"{aiohttp,aflplusplus}","{7bf5fa48786b86efc55813aef40445db1da43c56,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-22 06:28:39.833000,"{aiohttp,aflplusplus}","{5bf9b4aae7046704b418c16452c2d1ced934abfb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13402.0,46333.0,13408.0,46350.0,17.0,0.0023358879138832833
