project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
apache-commons-io,2022-04-28 06:08:38.867000,"{commons-io,aflplusplus}","{e816ebb5a858e4b354af52fa141edcfd55d8a3ed,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-29 06:18:39.794000,"{commons-io,aflplusplus}","{c53f06c81839dbba5ef0b418f5f11d3e7ab5b7fd,550ba4d77294e61597a5259d00769c61281e0042}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-02 06:05:05.975000,"{commons-io,aflplusplus}","{c53f06c81839dbba5ef0b418f5f11d3e7ab5b7fd,550ba4d77294e61597a5259d00769c61281e0042}",2022-05-03 06:04:01.222000,"{commons-io,aflplusplus}","{c53f06c81839dbba5ef0b418f5f11d3e7ab5b7fd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-05 06:21:10.542000,"{commons-io,aflplusplus}","{c53f06c81839dbba5ef0b418f5f11d3e7ab5b7fd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-06 06:07:02.977000,"{commons-io,aflplusplus}","{fa9f37331c26b10bb2f5f3d3b404a432e263c019,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-10 06:09:06.548000,"{commons-io,aflplusplus}","{fa9f37331c26b10bb2f5f3d3b404a432e263c019,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-11 06:11:49.860000,"{commons-io,aflplusplus}","{e890599830c483d960d742dddd00938efec04012,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-11 06:11:49.860000,"{commons-io,aflplusplus}","{e890599830c483d960d742dddd00938efec04012,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-12 06:04:49.094000,"{commons-io,aflplusplus}","{0a97403d5e2fd5e836d1b241555ab062fdd7492c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-12 06:04:49.094000,"{commons-io,aflplusplus}","{0a97403d5e2fd5e836d1b241555ab062fdd7492c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-13 06:34:54.039000,"{commons-io,aflplusplus}","{495abe13df04c96eed0d690202d1c0e053bef29a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-13 06:34:54.039000,"{commons-io,aflplusplus}","{495abe13df04c96eed0d690202d1c0e053bef29a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-14 06:05:31.173000,"{commons-io,aflplusplus}","{4aab769c3279ea63b7bcdaa163c50761bc540f8c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-21 06:23:07.722000,"{commons-io,aflplusplus}","{4aab769c3279ea63b7bcdaa163c50761bc540f8c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-22 06:04:22.453000,"{commons-io,aflplusplus}","{13258ce2d07aa0e764bbaa8020af4dcd3a02a620,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-05-31 06:23:16.664000,"{commons-io,aflplusplus}","{13258ce2d07aa0e764bbaa8020af4dcd3a02a620,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-01 06:07:27.442000,"{commons-io,aflplusplus}","{d36b67fd366b4af9249a3a6467b9fd9a51ff6c28,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
apache-commons-io,2022-06-02 06:25:35.949000,"{commons-io,aflplusplus}","{d36b67fd366b4af9249a3a6467b9fd9a51ff6c28,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-03 06:18:21.952000,"{commons-io,aflplusplus}","{761658e3bc3d04aef04d6d3bb56d43d67deaf5e2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",343.0,1426.0,343.0,1426.0,0.0,0.0
