project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
argcomplete,2023-03-04 06:58:28.751000,{argcomplete},{bbea68fa2fadc14f5c9f7fdcfeb284d057f23b70},2023-03-05 06:44:21.468000,{argcomplete},{a5b23ceb063e68294993e23138c8e13ef0a3dedd},320.0,915.0,319.0,909.0,-6.0,0.12083175530667489
argcomplete,2023-03-05 06:44:21.468000,{argcomplete},{a5b23ceb063e68294993e23138c8e13ef0a3dedd},2023-03-06 06:23:04.019000,{argcomplete},{beab48e066a2c871d26b30696690651a013227af},319.0,909.0,320.0,915.0,6.0,-0.12083175530667489
argcomplete,2023-03-06 06:23:04.019000,{argcomplete},{beab48e066a2c871d26b30696690651a013227af},2023-03-07 06:51:09.491000,{argcomplete},{8ab7a94a3bdc113256fb3dc10ce600c2fd68a32c},320.0,915.0,320.0,915.0,0.0,0.0
argcomplete,2023-03-17 07:40:00.904000,{argcomplete},{8ab7a94a3bdc113256fb3dc10ce600c2fd68a32c},2023-03-18 06:50:18.989000,{argcomplete},{3cb6e12f906ee15d287dffcc7b15c8c497a803ad},320.0,915.0,309.0,918.0,3.0,-1.312546876674169
argcomplete,2023-03-19 06:39:35.879000,{argcomplete},{3cb6e12f906ee15d287dffcc7b15c8c497a803ad},2023-03-20 06:21:37.912000,{argcomplete},{a876438c7f5b33e16a196daaa0d2275f727d291e},309.0,918.0,173.0,925.0,7.0,-14.957428016251548
argcomplete,2023-03-20 06:21:37.912000,{argcomplete},{a876438c7f5b33e16a196daaa0d2275f727d291e},2023-03-21 06:20:38.770000,{argcomplete},{5df4c6e9cf18021cc3ad8d29f10abaa3cef288d6},173.0,925.0,323.0,926.0,1.0,16.178506800537036
argcomplete,2023-03-21 06:20:38.770000,{argcomplete},{5df4c6e9cf18021cc3ad8d29f10abaa3cef288d6},2023-03-22 06:24:48.090000,{argcomplete},{5d375453ac0734f89171395d02d906efa7b01141},323.0,926.0,323.0,926.0,0.0,0.0
argcomplete,2023-03-25 06:51:09.887000,{argcomplete},{5d375453ac0734f89171395d02d906efa7b01141},2023-03-26 06:04:52.180000,{argcomplete},{96d8cc07ed831ca713661c0aa920ca8e13ab1d6e},323.0,926.0,327.0,936.0,10.0,0.054687932657692784
argcomplete,2023-03-26 06:04:52.180000,{argcomplete},{96d8cc07ed831ca713661c0aa920ca8e13ab1d6e},2023-03-27 06:24:47.294000,{argcomplete},{6b234dc6dbe092c59a71204e5be7fa62908d0c78},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-01 06:06:29.141000,{argcomplete},{6b234dc6dbe092c59a71204e5be7fa62908d0c78},2023-04-02 06:29:43.387000,{argcomplete},{53dfc7153798deeeecee743889ebad781ce0e141},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-02 06:29:43.387000,{argcomplete},{53dfc7153798deeeecee743889ebad781ce0e141},2023-04-03 06:06:54.248000,{argcomplete},{fa960322dd0bd461db354767eecafa4a16c5af4f},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-03 06:06:54.248000,{argcomplete},{fa960322dd0bd461db354767eecafa4a16c5af4f},2023-04-04 06:24:25.530000,{argcomplete},{03a188160bdf1be5478ac3528b99cdbea0fffa41},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-07 06:15:31.498000,{argcomplete},{03a188160bdf1be5478ac3528b99cdbea0fffa41},2023-04-08 06:37:33.838000,{argcomplete},{cbfb8daffca7755e8809392b570e8e8c18de55ab},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-08 06:37:33.838000,{argcomplete},{cbfb8daffca7755e8809392b570e8e8c18de55ab},2023-04-09 07:15:08.285000,{argcomplete},{a3fa9e8fb6313c201bde1fb654e56fe03c10784f},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-10 06:04:40.228000,{argcomplete},{a3fa9e8fb6313c201bde1fb654e56fe03c10784f},2023-04-11 06:22:32.862000,{argcomplete},{da2d66042866a8c4e03fe18f1e5c9a2a6ac44cc3},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-22 06:06:07.506000,{argcomplete},{da2d66042866a8c4e03fe18f1e5c9a2a6ac44cc3},2023-04-23 06:26:23.288000,{argcomplete},{e6371200e4eb05ad312ac8370894201e0d53e890},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-04-23 06:26:23.288000,{argcomplete},{e6371200e4eb05ad312ac8370894201e0d53e890},2023-04-24 06:18:16.524000,{argcomplete},{57dc7a74b2627a1b997d7f81c06539ad6ce0ef0b},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-05-06 06:46:18.078000,{argcomplete},{57dc7a74b2627a1b997d7f81c06539ad6ce0ef0b},2023-05-07 06:33:53.119000,{argcomplete},{f3f856bca9a1fc088df1f1b28fb4f3f4f5660916},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-05-29 06:11:25.799000,{argcomplete},{f3f856bca9a1fc088df1f1b28fb4f3f4f5660916},2023-05-30 06:30:37.710000,{argcomplete},{2d344ad01fac5cebe662d42a0756a6465d015f41},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-06-03 07:06:05.738000,{argcomplete},{2d344ad01fac5cebe662d42a0756a6465d015f41},2023-06-04 07:33:17.286000,{argcomplete},{8af749cc44f1eb277a3034c1c32ce0f1ff5a3cad},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-06-04 07:33:17.286000,{argcomplete},{8af749cc44f1eb277a3034c1c32ce0f1ff5a3cad},2023-06-05 06:07:06.528000,{argcomplete},{f4d046c0cec1dab17f65853442b1da7d341e2915},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-06-10 06:18:05.154000,{argcomplete},{f4d046c0cec1dab17f65853442b1da7d341e2915},2023-06-11 06:34:41.867000,{argcomplete},{355741374a5febd564317c2a71a96f0ba43e0206},327.0,936.0,327.0,936.0,0.0,0.0
argcomplete,2023-06-11 06:34:41.867000,{argcomplete},{355741374a5febd564317c2a71a96f0ba43e0206},2023-06-12 06:04:47.857000,{argcomplete},{a9059f37bb04609ba27c540ffeea4d3c422558a3},327.0,936.0,327.0,940.0,4.0,-0.1486633933442434
argcomplete,2023-07-01 06:31:33.094000,{argcomplete},{a9059f37bb04609ba27c540ffeea4d3c422558a3},2023-07-02 06:04:39.362000,{argcomplete},{77c631625eda958a587edc33f1c135e7ba316a6a},327.0,940.0,327.0,940.0,0.0,0.0
