project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
arrow-java,2022-02-03 07:55:11.259000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,360252b6bedbc69c4191bc3102282a1e7d57ad29,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-04 07:45:45.286000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,1ff2e195a751221cf2a64aeedbe019037848471d,550ba4d77294e61597a5259d00769c61281e0042}",3576.0,17262.0,2082.0,17152.0,-110.0,-8.57749751632868
arrow-java,2022-02-04 07:45:45.286000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,1ff2e195a751221cf2a64aeedbe019037848471d,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-05 07:31:10.779000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,47d55752172af99fce629f8fe6177df6b41af1d3,550ba4d77294e61597a5259d00769c61281e0042}",2082.0,17152.0,3514.0,17152.0,0.0,8.348880597014926
arrow-java,2022-02-05 07:31:10.779000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,47d55752172af99fce629f8fe6177df6b41af1d3,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-06 08:06:06.940000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,dc2f678797d70ce990d4d73551ee573965dd38aa,550ba4d77294e61597a5259d00769c61281e0042}",3514.0,17152.0,3516.0,17152.0,0.0,0.011660447761194348
arrow-java,2022-02-06 08:06:06.940000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,dc2f678797d70ce990d4d73551ee573965dd38aa,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-07 08:59:34.729000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,4144c1739ec2e58d5f076fa63a0b61653324dc02,550ba4d77294e61597a5259d00769c61281e0042}",3516.0,17152.0,3522.0,17152.0,0.0,0.034981343283583044
arrow-java,2022-02-07 08:59:34.729000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,4144c1739ec2e58d5f076fa63a0b61653324dc02,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-08 10:54:50.020000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,fa4d517b867e7857f07a88c946f2d2dbb5edce96,550ba4d77294e61597a5259d00769c61281e0042}",3522.0,17152.0,1161.0,43686.0,26534.0,-17.876446529712382
arrow-java,2022-02-08 10:54:50.020000,"{arrow-testing,arrow,aflplusplus}","{634739c664433cec366b4b9a81d1e1044a8c5eda,fa4d517b867e7857f07a88c946f2d2dbb5edce96,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-09 08:06:04.786000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,0a56006d6184ce9a65056cd7952d168853ecf0b2,550ba4d77294e61597a5259d00769c61281e0042}",1161.0,43686.0,3523.0,17152.0,-26534.0,17.882276753592976
arrow-java,2022-02-09 08:06:04.786000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,0a56006d6184ce9a65056cd7952d168853ecf0b2,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-10 07:56:45.043000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,c0bae8daea2ace51c64f6db38cfb3d04c5bed657,550ba4d77294e61597a5259d00769c61281e0042}",3523.0,17152.0,3524.0,17152.0,0.0,0.005830223880600727
arrow-java,2022-02-10 07:56:45.043000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,c0bae8daea2ace51c64f6db38cfb3d04c5bed657,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-11 10:42:56.738000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,d4b690a29c92768c67a937529c1656b3c2403902,550ba4d77294e61597a5259d00769c61281e0042}",3524.0,17152.0,3524.0,17152.0,0.0,0.0
arrow-java,2022-02-11 10:42:56.738000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,d4b690a29c92768c67a937529c1656b3c2403902,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-13 11:02:14.484000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,6b7c7a2702466f7c3c9c1f9dd41bc42458cff398,550ba4d77294e61597a5259d00769c61281e0042}",3524.0,17152.0,3524.0,17152.0,0.0,0.0
arrow-java,2022-02-13 11:02:14.484000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,6b7c7a2702466f7c3c9c1f9dd41bc42458cff398,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-14 06:08:02.849000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,90edde22090dbb97a5f3728f476511c5b5c388de,550ba4d77294e61597a5259d00769c61281e0042}",3524.0,17152.0,3588.0,17262.0,110.0,0.23983153834580762
arrow-java,2022-02-14 06:08:02.849000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,90edde22090dbb97a5f3728f476511c5b5c388de,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-15 06:13:12.531000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,7b5efe47ba5a31f9850e5cdbf47feea4e0f6c455,550ba4d77294e61597a5259d00769c61281e0042}",3588.0,17262.0,3589.0,17262.0,0.0,0.005793071486500878
arrow-java,2022-02-15 06:13:12.531000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,7b5efe47ba5a31f9850e5cdbf47feea4e0f6c455,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-16 06:08:20.029000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,a935c81b595d24179e115d64cda944efa93aa0e0,550ba4d77294e61597a5259d00769c61281e0042}",3589.0,17262.0,3509.0,17152.0,-110.0,-0.3330779680412661
arrow-java,2022-02-16 06:08:20.029000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,a935c81b595d24179e115d64cda944efa93aa0e0,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-17 08:06:41.297000,"{arrow-testing,arrow,aflplusplus}","{d9e7237f4f71c91acb8daeda97354b073d28ac5b,3ce4f81de79e7808c329b20b46924230e9aaa3cb,550ba4d77294e61597a5259d00769c61281e0042}",3509.0,17152.0,3509.0,17262.0,110.0,-0.13036775087890362
