project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
astc-encoder,2020-09-15 06:15:19.017000,"{astc-encoder,afl}","{23ac84524d4e4584f5e0cc096424f7383c581295,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-16 06:37:11.818000,"{astc-encoder,afl}","{8838bf67c30106dd18f0f46989ce188e3fd2432f,82b5e359463238d790cadbe2dd494d6a4928bff3}",568.0,13419.0,568.0,13419.0,0.0,0.0
astc-encoder,2020-09-18 07:06:17.144000,"{astc-encoder,afl}","{8838bf67c30106dd18f0f46989ce188e3fd2432f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-19 07:16:59.088000,"{astc-encoder,afl}","{4eb5283139b3c911034932692855ce295dac5f83,82b5e359463238d790cadbe2dd494d6a4928bff3}",568.0,13419.0,568.0,13419.0,0.0,0.0
astc-encoder,2020-09-23 06:03:51.598000,"{astc-encoder,afl}","{4eb5283139b3c911034932692855ce295dac5f83,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-24 06:15:43.755000,"{astc-encoder,afl}","{478df21c62c0fb8b8e18e4226a16ced0e2935aeb,82b5e359463238d790cadbe2dd494d6a4928bff3}",568.0,13419.0,568.0,13419.0,0.0,0.0
astc-encoder,2020-09-25 08:29:28.670000,"{astc-encoder,afl}","{478df21c62c0fb8b8e18e4226a16ced0e2935aeb,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-29 10:51:40.207000,"{astc-encoder,afl}","{d38f6a509d6ca74598087e8a8f91f22d07a85293,82b5e359463238d790cadbe2dd494d6a4928bff3}",568.0,13419.0,0.0,2340.0,-11079.0,-4.232804232804233
astc-encoder,2020-10-05 06:04:09.772000,"{astc-encoder,afl}","{d38f6a509d6ca74598087e8a8f91f22d07a85293,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-06 06:03:44.296000,"{astc-encoder,afl}","{dc715f12a1dbcc75ae1cf5dc1d4d4e255ba91d05,82b5e359463238d790cadbe2dd494d6a4928bff3}",1592.0,2340.0,1592.0,2340.0,0.0,0.0
astc-encoder,2020-10-06 06:03:44.296000,"{astc-encoder,afl}","{dc715f12a1dbcc75ae1cf5dc1d4d4e255ba91d05,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-21 07:45:43.636000,"{astc-encoder,afl}","{43020621728ece5f3eec4c2cb2218d72144c546a,82b5e359463238d790cadbe2dd494d6a4928bff3}",1592.0,2340.0,1591.0,2335.0,-5.0,0.10285693369205262
astc-encoder,2020-10-24 08:39:09.848000,"{astc-encoder,afl}","{43020621728ece5f3eec4c2cb2218d72144c546a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-25 08:49:36.663000,"{astc-encoder,afl}","{59cc114e374434ad7a6e24cd7f8fcaccdb5676a1,82b5e359463238d790cadbe2dd494d6a4928bff3}",1591.0,2335.0,1591.0,2335.0,0.0,0.0
astc-encoder,2020-10-25 08:49:36.663000,"{astc-encoder,afl}","{59cc114e374434ad7a6e24cd7f8fcaccdb5676a1,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-26 07:00:56.491000,"{astc-encoder,afl}","{e5d83ecdf1a4433810530af5140ad9eb7d4ca3ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",1591.0,2335.0,1591.0,2335.0,0.0,0.0
astc-encoder,2020-10-26 07:00:56.491000,"{astc-encoder,afl}","{e5d83ecdf1a4433810530af5140ad9eb7d4ca3ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-27 09:31:52.550000,"{astc-encoder,afl}","{6a26d11603a8ef2eee3b6de3fbea95a423765858,82b5e359463238d790cadbe2dd494d6a4928bff3}",1591.0,2335.0,1591.0,2344.0,9.0,-0.2616183467196862
astc-encoder,2020-10-27 09:31:52.550000,"{astc-encoder,afl}","{6a26d11603a8ef2eee3b6de3fbea95a423765858,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-28 06:20:35.346000,"{astc-encoder,afl}","{1a16847b3b541a8fb8951e2714fce70493abd1ab,82b5e359463238d790cadbe2dd494d6a4928bff3}",1591.0,2344.0,1591.0,2341.0,-3.0,0.086982605665753
