project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
babel,2023-02-20 06:07:44.774000,{babel},{08af5e2bab184c1b5d357ebde8c0efdbe6288e2c},2023-02-21 06:34:57.561000,{babel},{373a52f0425d0af1e578e8562a8db93fc3a02488},1058.0,3598.0,1060.0,3615.0,17.0,-0.08295679865177874
babel,2023-02-28 06:13:06.327000,{babel},{373a52f0425d0af1e578e8562a8db93fc3a02488},2023-03-01 07:06:22.980000,{babel},{56071c90116e6b9ebbb62ac072bcf032fc6987cb},1060.0,3615.0,1060.0,3615.0,0.0,0.0
babel,2023-03-01 07:06:22.980000,{babel},{56071c90116e6b9ebbb62ac072bcf032fc6987cb},2023-03-02 06:52:45.777000,{babel},{0ce196fccc024b1a65453ba6519954ada1dab6cb},1060.0,3615.0,1061.0,3617.0,2.0,0.011433636535016944
babel,2023-03-02 06:52:45.777000,{babel},{0ce196fccc024b1a65453ba6519954ada1dab6cb},2023-03-03 06:05:21.951000,{babel},{92e6fabaca913620bb65b76d162f01a7f41e93ea},1061.0,3617.0,1062.0,3617.0,0.0,0.02764722145424159
babel,2023-03-03 06:05:21.951000,{babel},{92e6fabaca913620bb65b76d162f01a7f41e93ea},2023-03-04 06:05:59.034000,{babel},{134c792df3b6aa84de3e74e81a875493c95dcc2e},1062.0,3617.0,1062.0,3617.0,0.0,0.0
babel,2023-05-09 06:59:51.814000,{babel},{134c792df3b6aa84de3e74e81a875493c95dcc2e},2023-05-10 07:15:26.605000,{babel},{8b152dbe47cb830f66ad12bd3057e6128aeac072},1062.0,3617.0,1062.0,3617.0,0.0,0.0
babel,2023-06-11 06:44:00.077000,{babel},{8b152dbe47cb830f66ad12bd3057e6128aeac072},2023-06-12 07:07:20.884000,{babel},{7ef73009d85c63ed335e45017fa68fb654978200},1062.0,3617.0,1062.0,3617.0,0.0,0.0
babel,2023-06-27 07:05:40.982000,{babel},{7ef73009d85c63ed335e45017fa68fb654978200},2023-06-28 07:52:27.051000,{babel},{1747d2230a0294a07c99563cf50fb95a37b6ac0f},1062.0,3617.0,1062.0,3617.0,0.0,0.0
babel,2023-07-27 06:31:17.371000,{babel},{1747d2230a0294a07c99563cf50fb95a37b6ac0f},2023-07-28 07:04:14.315000,{babel},{9ef53c6a6ab5fc604b58ccb19dc63ebcf8edd28b},1062.0,3617.0,1062.0,3618.0,1.0,-0.008115353561194638
babel,2023-10-01 06:28:55.781000,{babel},{9ef53c6a6ab5fc604b58ccb19dc63ebcf8edd28b},2023-10-02 07:15:07.604000,{babel},{fb6ab5fa6685c98433a9d558de2a3e76fbe54f83},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-10-02 07:15:07.604000,{babel},{fb6ab5fa6685c98433a9d558de2a3e76fbe54f83},2023-10-03 07:19:58.951000,{babel},{76677eacd10cc35bea0a11ec1d2f0566cadd4066},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-10-23 06:31:56.352000,{babel},{76677eacd10cc35bea0a11ec1d2f0566cadd4066},2023-10-24 07:09:47.186000,{babel},{eeb2feb13f7273636d2214dbdb3fb780d9b4fa4f},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-10-24 07:09:47.186000,{babel},{eeb2feb13f7273636d2214dbdb3fb780d9b4fa4f},2023-10-25 06:16:42.166000,{babel},{65de3dcf2dc217d6135eff999dc87a3861065e8d},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-11-18 06:37:51.978000,{babel},{65de3dcf2dc217d6135eff999dc87a3861065e8d},2023-11-19 06:16:58.441000,{babel},{a6c52b302c9c2b07fd9ba41059a536d3f6bcfe05},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-11-21 07:10:27.078000,{babel},{a6c52b302c9c2b07fd9ba41059a536d3f6bcfe05},2023-11-22 06:51:29.565000,{babel},{bf7b2ca3dbb2953166e33d24c1dc800a4f7c97a8},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-11-27 06:34:07.495000,{babel},{bf7b2ca3dbb2953166e33d24c1dc800a4f7c97a8},2023-11-28 06:29:01.510000,{babel},{5dff607951ca157b37f0f8db8213698af122335a},1062.0,3618.0,1062.0,3618.0,0.0,0.0
babel,2023-11-28 06:29:01.510000,{babel},{5dff607951ca157b37f0f8db8213698af122335a},2023-11-29 06:42:46.653000,{babel},{946efcdddb73d4470f2dc4e689aef0477a0ca02f},1062.0,3618.0,1066.0,3624.0,6.0,0.06177720668182474
babel,2023-12-12 07:02:06.339000,{babel},{946efcdddb73d4470f2dc4e689aef0477a0ca02f},2023-12-13 06:50:35.206000,{babel},{a8505a4de1d365d7eac6313908cac6dda2708a05},1066.0,3624.0,1066.0,3624.0,0.0,0.0
babel,2023-12-13 06:50:35.206000,{babel},{a8505a4de1d365d7eac6313908cac6dda2708a05},2023-12-14 06:24:04.701000,{babel},{2a1709a7768f6f07c3d2dbfdb03d3c8a6bd80aef},1066.0,3624.0,1066.0,3624.0,0.0,0.0
babel,2023-12-26 06:20:09.999000,{babel},{2a1709a7768f6f07c3d2dbfdb03d3c8a6bd80aef},2023-12-27 06:32:46.729000,{babel},{40e60a1f6cf178d9f57fcc14f157ea1b2ab77361},1066.0,3624.0,1066.0,3624.0,0.0,0.0
babel,2024-03-27 06:19:30.005000,{babel},{40e60a1f6cf178d9f57fcc14f157ea1b2ab77361},2024-03-28 06:17:21.976000,{babel},{e0d10183635b9ae1d37c31811e23c8974a1bc31e},1066.0,3624.0,1067.0,3624.0,0.0,0.027593818984545493
babel,2024-04-16 06:13:53.190000,{babel},{e0d10183635b9ae1d37c31811e23c8974a1bc31e},2024-04-16 14:07:38.608000,{babel},{fe82fbc90d8044d17bfc4ae1c7a0cb24e85153ef},1067.0,3624.0,1067.0,3624.0,0.0,0.0
babel,2024-04-22 06:18:35.351000,{babel},{fe82fbc90d8044d17bfc4ae1c7a0cb24e85153ef},2024-04-23 06:20:47.440000,{babel},{1a03526e2dda9818424c400530163464a2e74b9b},1067.0,3624.0,1067.0,3624.0,0.0,0.0
babel,2024-04-25 06:30:11.375000,{babel},{1a03526e2dda9818424c400530163464a2e74b9b},2024-04-26 06:14:49.527000,{babel},{c2e6c6e538418f4c195275c1afff831c4706c2e1},1067.0,3624.0,1067.0,3628.0,4.0,-0.032461526853929
babel,2024-05-05 06:13:10.967000,{babel},{c2e6c6e538418f4c195275c1afff831c4706c2e1},2024-05-06 06:22:15.210000,{babel},{c382433305196afeb06d7577aece17e2b47a58b6},1067.0,3628.0,1067.0,3628.0,0.0,0.0
babel,2024-05-13 06:21:36.470000,{babel},{c382433305196afeb06d7577aece17e2b47a58b6},2024-05-14 06:34:02.942000,{babel},{8babd2413b6b4eb99304f8f2ae10bbbca4a1fe7d},1067.0,3628.0,1067.0,3628.0,0.0,0.0
babel,2024-07-10 06:12:43.414000,{babel},{8babd2413b6b4eb99304f8f2ae10bbbca4a1fe7d},2024-07-11 06:13:58.715000,{babel},{3edf7729b0d395cbba3ad17b9a28373602c9b068},1067.0,3628.0,1067.0,3628.0,0.0,0.0
babel,2024-07-11 06:13:58.715000,{babel},{3edf7729b0d395cbba3ad17b9a28373602c9b068},2024-07-12 06:38:20.860000,{babel},{1834204ea6c2e975ab46a9183c2199ea5b366ab8},1067.0,3628.0,1068.0,3641.0,13.0,-0.07754239584881617
babel,2024-07-15 06:07:50.245000,{babel},{1834204ea6c2e975ab46a9183c2199ea5b366ab8},2024-07-16 06:29:14.569000,{babel},{7394c37e65f787f835f412dcceaf29ac79768482},1068.0,3641.0,1068.0,3641.0,0.0,0.0
babel,2024-07-18 06:36:33.270000,{babel},{7394c37e65f787f835f412dcceaf29ac79768482},2024-07-19 06:32:20.484000,{babel},{2f87363410f3c904e107e85ca10b9f84902db93f},1068.0,3641.0,1068.0,3641.0,0.0,0.0
babel,2024-07-23 06:09:45.293000,{babel},{2f87363410f3c904e107e85ca10b9f84902db93f},2024-07-24 06:35:13.537000,{babel},{2ebc47e63211df8b7636ed8e74bb99ac5bd36c25},1068.0,3641.0,1072.0,3647.0,6.0,0.06142155042422104
babel,2024-07-25 06:14:55.721000,{babel},{2ebc47e63211df8b7636ed8e74bb99ac5bd36c25},2024-07-26 06:22:02.884000,{babel},{a32f15ecec23d5d5049100fd8e65606be7ad12a1},1072.0,3647.0,1072.0,3650.0,3.0,-0.024159470534982574
babel,2024-08-05 06:14:15.410000,{babel},{a32f15ecec23d5d5049100fd8e65606be7ad12a1},2024-08-06 06:33:48.270000,{babel},{d3346ee33b13f50af582e31ae5c337aa409dda11},1072.0,3650.0,1072.0,3650.0,0.0,0.0
babel,2024-08-07 06:24:58.781000,{babel},{d3346ee33b13f50af582e31ae5c337aa409dda11},2024-08-08 06:24:10.185000,{babel},{d26a669826d6c963dfdc21ae09e8cd5659fc95e2},1072.0,3650.0,1072.0,3650.0,0.0,0.0
babel,2024-08-08 06:24:10.185000,{babel},{d26a669826d6c963dfdc21ae09e8cd5659fc95e2},2024-08-09 06:24:27.644000,{babel},{cf7d22369cf40a8218cff1d3dc823eefa174aee0},1072.0,3650.0,1072.0,3650.0,0.0,0.0
babel,2024-08-28 06:35:32.248000,{babel},{cf7d22369cf40a8218cff1d3dc823eefa174aee0},2024-08-29 06:23:22.658000,{babel},{b42344da8d27a45c6a5de2bd41d332e6155f8f7b},1072.0,3650.0,1072.0,3650.0,0.0,0.0
babel,2024-09-04 13:17:28.933000,{babel},{b42344da8d27a45c6a5de2bd41d332e6155f8f7b},2024-09-05 06:11:06.723000,{babel},{f91754b01cb9f32b83aeaa80b74ed10b5dfccb6a},1072.0,3650.0,1075.0,3691.0,41.0,-0.2449646121814304
