project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
bearssl,2020-11-18 07:40:34.145000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,a235d2563fc25f24bb7b64451bb46a5089e49534,9f7421c7f5bd99615c5d046eab1ead5684e6dd4d,dda1f8a0c46e15b4a235163470ff700b2f13dcc5,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-19 06:28:59.986000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,72d5295df9352d07c4addb4e643096c754af1534,9f7421c7f5bd99615c5d046eab1ead5684e6dd4d,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",20549.0,60826.0,18032.0,54151.0,-6675.0,-0.48377319632614046
bearssl,2020-11-19 06:28:59.986000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,72d5295df9352d07c4addb4e643096c754af1534,9f7421c7f5bd99615c5d046eab1ead5684e6dd4d,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-20 07:12:26.442000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,fb7144e8cb14e88d0d5147ef0ce15aadc7442eb0,9f7421c7f5bd99615c5d046eab1ead5684e6dd4d,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18032.0,54151.0,18046.0,54175.0,24.0,0.011090217677981684
bearssl,2020-11-20 07:12:26.442000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,fb7144e8cb14e88d0d5147ef0ce15aadc7442eb0,9f7421c7f5bd99615c5d046eab1ead5684e6dd4d,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-21 06:44:12.554000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,fcc51bb90248bc010e1846901c07a639d463f90f,b763b348a704decd755172fec112c8f965f0f94c,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18046.0,54175.0,18044.0,54177.0,2.0,-0.004921297510193767
bearssl,2020-11-21 06:44:12.554000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,fcc51bb90248bc010e1846901c07a639d463f90f,b763b348a704decd755172fec112c8f965f0f94c,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-23 08:02:04.899000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,8a40c2288d4dbd70f551a6d27fd80f5b1a440484,cbe0cdcce7b14e5016d92c4ecdbfbe1524159005,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18044.0,54177.0,18038.0,53911.0,-266.0,0.1532025359905802
bearssl,2020-11-23 08:02:04.899000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,8a40c2288d4dbd70f551a6d27fd80f5b1a440484,cbe0cdcce7b14e5016d92c4ecdbfbe1524159005,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-24 07:39:24.982000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,d73b5678f7d631305b0bde7b858724811e2c9b52,e9485eba05fe49f643e8fd8233b1ecaf4c48837e,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18038.0,53911.0,18042.0,53911.0,0.0,0.007419636066849478
bearssl,2020-11-24 07:39:24.982000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,d73b5678f7d631305b0bde7b858724811e2c9b52,e9485eba05fe49f643e8fd8233b1ecaf4c48837e,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-25 11:48:29.944000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,68ed9ca8cbf1ffda6bda2cb9e80884bdbf2a6927,a4c62b3a79dd5066c1a6bea36fcc1ff8fe737e57,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18042.0,53911.0,18040.0,53911.0,0.0,-0.0037098180334282915
bearssl,2020-11-25 11:48:29.944000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,68ed9ca8cbf1ffda6bda2cb9e80884bdbf2a6927,a4c62b3a79dd5066c1a6bea36fcc1ff8fe737e57,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-26 08:29:28.212000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,1c84567b9356b3b1a5aa99bcb0efd84bd1d4d8df,a4c62b3a79dd5066c1a6bea36fcc1ff8fe737e57,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18040.0,53911.0,18041.0,54023.0,112.0,-0.06752321363285319
bearssl,2020-11-26 08:29:28.212000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,1c84567b9356b3b1a5aa99bcb0efd84bd1d4d8df,a4c62b3a79dd5066c1a6bea36fcc1ff8fe737e57,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-27 07:20:28.423000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,f3bce1555f27999953eed083ccb64e68e04eafd0,a4c62b3a79dd5066c1a6bea36fcc1ff8fe737e57,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18041.0,54023.0,18041.0,54023.0,0.0,0.0
bearssl,2020-11-28 06:07:07.463000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,f3bce1555f27999953eed083ccb64e68e04eafd0,a4c62b3a79dd5066c1a6bea36fcc1ff8fe737e57,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-29 08:30:46.645000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,9e7681266deaa4cb4b0c4f8554edb23d486a8589,96be66f0a26298e029321ecd4b5ff63b6070ee29,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18043.0,54023.0,18055.0,54116.0,93.0,-0.03522216339808182
bearssl,2020-11-29 08:30:46.645000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,9e7681266deaa4cb4b0c4f8554edb23d486a8589,96be66f0a26298e029321ecd4b5ff63b6070ee29,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-30 10:21:46.660000,"{cryptofuzz-corpora,cryptofuzz,botan,BearSSL,afl}","{af25d1b595b284001bc97edd0afd62ca157db4d8,5e150c321e60a74f06557c1dcf2af034d17bfd4d,83c949da05605229aa1a917229c1e67b1edc529c,b2ec2030e40acf5e9e4cd0f2669aacb27eadb540,82b5e359463238d790cadbe2dd494d6a4928bff3}",18055.0,54116.0,18063.0,54262.0,146.0,-0.07502622922220326
