project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
bluez,2021-12-27 06:04:33.912000,"{bluez,aflplusplus}","{b6061ea5b82fd0aa7dbf033fe40fc1235ec0f987,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2021-12-28 09:11:48.183000,"{bluez,aflplusplus}","{401643e5c5528a6d0c372f82b1059fc0e02aed8e,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-11 08:30:09.004000,"{bluez,aflplusplus}","{401643e5c5528a6d0c372f82b1059fc0e02aed8e,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",2022-01-12 11:32:47.320000,"{bluez,aflplusplus}","{401643e5c5528a6d0c372f82b1059fc0e02aed8e,ef77d552e9b89852b293c300a5a9a9c617945f43}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-12 11:32:47.320000,"{bluez,aflplusplus}","{401643e5c5528a6d0c372f82b1059fc0e02aed8e,ef77d552e9b89852b293c300a5a9a9c617945f43}",2022-01-13 11:37:47.417000,"{bluez,aflplusplus}","{050cead360676d35a28e17ab0c70a08d816def72,ef77d552e9b89852b293c300a5a9a9c617945f43}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-13 11:37:47.417000,"{bluez,aflplusplus}","{050cead360676d35a28e17ab0c70a08d816def72,ef77d552e9b89852b293c300a5a9a9c617945f43}",2022-01-14 11:34:31.751000,"{bluez,aflplusplus}","{7a8d1be9755f39ca2d3060b4ba9f9ce58c83c0ed,ef77d552e9b89852b293c300a5a9a9c617945f43}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-18 08:50:03.102000,"{bluez,aflplusplus}","{7a8d1be9755f39ca2d3060b4ba9f9ce58c83c0ed,ef77d552e9b89852b293c300a5a9a9c617945f43}",2022-01-19 10:07:32.258000,"{bluez,aflplusplus}","{eb5c7518d0d3d1b204139b35245f4dd43474ba78,c5117b42cab9f47448a7f3cfe3edae6708d32528}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-19 10:07:32.258000,"{bluez,aflplusplus}","{eb5c7518d0d3d1b204139b35245f4dd43474ba78,c5117b42cab9f47448a7f3cfe3edae6708d32528}",2022-01-20 06:46:24.121000,"{bluez,fuzz-introspector,aflplusplus}","{eb5c7518d0d3d1b204139b35245f4dd43474ba78,9e3393cd551b65a6bf2de6495013b415f315f74e,c5117b42cab9f47448a7f3cfe3edae6708d32528}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-20 06:46:24.121000,"{bluez,fuzz-introspector,aflplusplus}","{eb5c7518d0d3d1b204139b35245f4dd43474ba78,9e3393cd551b65a6bf2de6495013b415f315f74e,c5117b42cab9f47448a7f3cfe3edae6708d32528}",2022-01-21 09:59:53.680000,"{bluez,fuzz-introspector,aflplusplus}","{eb5c7518d0d3d1b204139b35245f4dd43474ba78,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-21 09:59:53.680000,"{bluez,fuzz-introspector,aflplusplus}","{eb5c7518d0d3d1b204139b35245f4dd43474ba78,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-22 06:24:35.381000,"{bluez,fuzz-introspector,aflplusplus}","{0516d2527ea83c8fa209d52c564ce99408a00fbe,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-27 12:36:28.789000,"{bluez,fuzz-introspector,aflplusplus}","{0516d2527ea83c8fa209d52c564ce99408a00fbe,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-28 08:20:00.780000,"{bluez,fuzz-introspector,aflplusplus}","{57d33535d56cf9e36e93e226ba7b6b7d5334ab1f,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-30 08:41:10.870000,"{bluez,fuzz-introspector,aflplusplus}","{57d33535d56cf9e36e93e226ba7b6b7d5334ab1f,9e3393cd551b65a6bf2de6495013b415f315f74e,550ba4d77294e61597a5259d00769c61281e0042}",2022-01-31 13:39:19.678000,"{bluez,aflplusplus}","{57d33535d56cf9e36e93e226ba7b6b7d5334ab1f,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-01-31 13:39:19.678000,"{bluez,aflplusplus}","{57d33535d56cf9e36e93e226ba7b6b7d5334ab1f,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-01 09:38:12.517000,"{bluez,aflplusplus}","{c1e12f4da62b9a7728e8bb85392167f284e8dd35,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-04 12:38:22.116000,"{bluez,aflplusplus}","{c1e12f4da62b9a7728e8bb85392167f284e8dd35,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-05 08:47:12.016000,"{bluez,aflplusplus}","{19448b9cb852b8c38f15362e185e6b18d634859d,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-09 09:07:34.548000,"{bluez,aflplusplus}","{19448b9cb852b8c38f15362e185e6b18d634859d,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-10 06:40:49.065000,"{bluez,aflplusplus}","{d84b9950fe4fb43dedefd71094f593072629bed6,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-10 06:40:49.065000,"{bluez,aflplusplus}","{d84b9950fe4fb43dedefd71094f593072629bed6,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-11 09:13:31.377000,"{bluez,aflplusplus}","{053a1d4bdb6a30f87d284e90020c20ef1ac8f8de,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-11 09:13:31.377000,"{bluez,aflplusplus}","{053a1d4bdb6a30f87d284e90020c20ef1ac8f8de,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-12 08:57:52.642000,"{bluez,aflplusplus}","{002c0c9eda0052a834ddd4b63026f534b7d52f14,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-15 09:30:21.257000,"{bluez,aflplusplus}","{002c0c9eda0052a834ddd4b63026f534b7d52f14,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-16 09:10:01.431000,"{bluez,aflplusplus}","{e6b7d537d728ff390b76cb3f147e7411de61150b,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-16 09:10:01.431000,"{bluez,aflplusplus}","{e6b7d537d728ff390b76cb3f147e7411de61150b,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-17 07:45:59.378000,"{bluez,aflplusplus}","{ec8c8f22efb66ccae533fbd55a236570ffcf756c,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-18 08:33:58.834000,"{bluez,aflplusplus}","{ec8c8f22efb66ccae533fbd55a236570ffcf756c,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-19 11:28:15.217000,"{bluez,aflplusplus}","{8fe1e5e165ad7b4f7c318f507aa85cd747401b81,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-22 06:04:52.623000,"{bluez,aflplusplus}","{8fe1e5e165ad7b4f7c318f507aa85cd747401b81,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-23 07:15:56.006000,"{bluez,aflplusplus}","{2e4627c3c92ed823cb976b0a48d5463c2b187fec,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-23 07:15:56.006000,"{bluez,aflplusplus}","{2e4627c3c92ed823cb976b0a48d5463c2b187fec,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-24 10:30:50.410000,"{bluez,aflplusplus}","{d89af9acb7283f8f446c976a0f3f425424768d1e,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-02-24 10:30:50.410000,"{bluez,aflplusplus}","{d89af9acb7283f8f446c976a0f3f425424768d1e,550ba4d77294e61597a5259d00769c61281e0042}",2022-02-25 10:52:21.900000,"{bluez,aflplusplus}","{bf09e1f048ba1c30888078b9cc71f879b7b6909d,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-03-02 11:22:08.354000,"{bluez,aflplusplus}","{bf09e1f048ba1c30888078b9cc71f879b7b6909d,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-03 09:53:43.378000,"{bluez,aflplusplus}","{b9f27b814d9acf5b3320e2af797f6484c1ceb781,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-03-07 08:52:27.823000,"{bluez,aflplusplus}","{b9f27b814d9acf5b3320e2af797f6484c1ceb781,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-08 10:21:24.208000,"{bluez,aflplusplus}","{554fcb7d89a554933bedeeb1b9a616da91b7cc75,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-03-08 10:21:24.208000,"{bluez,aflplusplus}","{554fcb7d89a554933bedeeb1b9a616da91b7cc75,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-09 10:12:55.516000,"{bluez,aflplusplus}","{42e99371584cc26c637fcc332de437d2c646f324,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-03-29 07:51:26.150000,"{bluez,aflplusplus}","{42e99371584cc26c637fcc332de437d2c646f324,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-30 12:02:05.415000,"{bluez,aflplusplus}","{6cb6e2ddf4471da365fe89ecd3c62454c9acf510,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-03-30 12:02:05.415000,"{bluez,aflplusplus}","{6cb6e2ddf4471da365fe89ecd3c62454c9acf510,550ba4d77294e61597a5259d00769c61281e0042}",2022-03-31 06:48:44.479000,"{bluez,aflplusplus}","{4a06a31be0453d7c8208108dccbb7cfacf768bc4,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-03-31 06:48:44.479000,"{bluez,aflplusplus}","{4a06a31be0453d7c8208108dccbb7cfacf768bc4,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-01 10:19:05.597000,"{bluez,aflplusplus}","{ff35b1d2e97e68f67cc556f85005636b65a190cb,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-04-01 10:19:05.597000,"{bluez,aflplusplus}","{ff35b1d2e97e68f67cc556f85005636b65a190cb,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-02 11:24:39.999000,"{bluez,aflplusplus}","{234d60423c3b8186a27b31028d4c0acb847eedb1,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-04-04 07:01:29.811000,"{bluez,aflplusplus}","{234d60423c3b8186a27b31028d4c0acb847eedb1,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-05 10:02:28.197000,"{bluez,aflplusplus}","{3627eddea13042ffc0848ae37356f30335ce2e4b,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
bluez,2022-04-06 06:25:13.103000,"{bluez,aflplusplus}","{3627eddea13042ffc0848ae37356f30335ce2e4b,550ba4d77294e61597a5259d00769c61281e0042}",2022-04-07 11:52:13.184000,"{bluez,aflplusplus}","{d1871fc935228f034741e1f5064a0f3e2234ffcd,550ba4d77294e61597a5259d00769c61281e0042}",562.0,10387.0,562.0,10387.0,0.0,0.0
