project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
brunsli,2020-07-30 06:33:47.606000,"{brunsli,afl}","{ea23bb126983b8ffbff53f109fbec70c94059277,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-07-31 01:01:50.214000,"{brunsli,afl}","{010786316638c7a63583f46e920c6542b860747f,82b5e359463238d790cadbe2dd494d6a4928bff3}",5169.0,7521.0,5443.0,7524.0,3.0,3.6142766230100705
brunsli,2020-07-31 07:49:39.877000,"{brunsli,afl}","{010786316638c7a63583f46e920c6542b860747f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-01 08:19:09.702000,"{brunsli,afl}","{d8bd7542326ab5637aa6b71c478d8171f46b5567,82b5e359463238d790cadbe2dd494d6a4928bff3}",5443.0,7524.0,5597.0,7575.0,51.0,1.545949331775276
brunsli,2020-08-03 06:36:07.316000,"{brunsli,afl}","{d8bd7542326ab5637aa6b71c478d8171f46b5567,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-04 07:09:50.319000,"{brunsli,afl}","{65b229ffe8fc81016518dc57e479b3b4e30a1bf9,82b5e359463238d790cadbe2dd494d6a4928bff3}",5320.0,7226.0,5744.0,7226.0,0.0,5.867699972322171
brunsli,2020-08-11 07:28:15.349000,"{brunsli,afl}","{65b229ffe8fc81016518dc57e479b3b4e30a1bf9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-12 06:43:59.311000,"{brunsli,afl}","{de6768bc8952dc9afc330add42afd91fa3314a2a,82b5e359463238d790cadbe2dd494d6a4928bff3}",6467.0,7226.0,6467.0,7226.0,0.0,0.0
brunsli,2020-08-13 08:50:38.094000,"{brunsli,afl}","{de6768bc8952dc9afc330add42afd91fa3314a2a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-08-14 08:22:45.775000,"{brunsli,afl}","{2dcc1d7e38ba8322a1421ebdbccd6ae78e3bbc43,82b5e359463238d790cadbe2dd494d6a4928bff3}",6467.0,7226.0,6467.0,7226.0,0.0,0.0
brunsli,2021-01-25 08:06:22.445000,"{brunsli,afl}","{2dcc1d7e38ba8322a1421ebdbccd6ae78e3bbc43,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 10:19:44.914000,"{brunsli,aflplusplus,afl}","{2dcc1d7e38ba8322a1421ebdbccd6ae78e3bbc43,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",6196.0,6877.0,6196.0,6877.0,0.0,0.0
brunsli,2021-01-27 08:18:28.767000,"{brunsli,aflplusplus,afl}","{2dcc1d7e38ba8322a1421ebdbccd6ae78e3bbc43,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-04 10:48:27.741000,"{brunsli,aflplusplus}","{d1bf3b3bea566d330c48072bb40f36280875232b,1f71b85426f837ebcae8381897d44a3a67c73a4f}",6196.0,6877.0,6200.0,6880.0,3.0,0.01885286648112583
brunsli,2021-02-06 06:46:12.820000,"{brunsli,aflplusplus}","{d1bf3b3bea566d330c48072bb40f36280875232b,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-07 07:42:05.587000,"{brunsli,aflplusplus}","{d1bf3b3bea566d330c48072bb40f36280875232b,a763c61d89f90330bcde7c294c57cfccda1431b8}",6200.0,6880.0,6200.0,6880.0,0.0,0.0
brunsli,2021-02-07 07:42:05.587000,"{brunsli,aflplusplus}","{d1bf3b3bea566d330c48072bb40f36280875232b,a763c61d89f90330bcde7c294c57cfccda1431b8}",2021-02-08 07:29:25.692000,"{brunsli,aflplusplus}","{d1bf3b3bea566d330c48072bb40f36280875232b,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",6200.0,6880.0,6200.0,6880.0,0.0,0.0
brunsli,2021-02-18 07:31:07.561000,"{brunsli,aflplusplus}","{d1bf3b3bea566d330c48072bb40f36280875232b,aeb7d7048371cd91ab9280c3958f1c35e5d5e758}",2021-02-19 07:53:03.838000,"{brunsli,aflplusplus}","{2dd949e53ed05796eb44a31cc759fbf9e6c53e2f,5dd35f5281afec0955c08fe9f99e3c83222b7764}",6200.0,6880.0,6200.0,6880.0,0.0,0.0
