project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
bson-rust,2022-10-26 20:29:14.874000,"{bson-rust,centipede,aflplusplus}","{0612667e1344f9aabc3592a2cee02a96ac1b76bc,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:51:52.741000,"{bson-rust,centipede}","{0612667e1344f9aabc3592a2cee02a96ac1b76bc,baa82e7189677bb9086beb5d9b5e58018d991607}",3680.0,38499.0,3671.0,38499.0,0.0,-0.023377230577416697
bson-rust,2022-11-04 06:09:43.321000,"{bson-rust,centipede}","{0612667e1344f9aabc3592a2cee02a96ac1b76bc,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-05 06:17:55.906000,"{bson-rust,centipede}","{89521946106e1d6c3af390175bb0485ef578664a,baa82e7189677bb9086beb5d9b5e58018d991607}",4339.0,38495.0,3052.0,38503.0,8.0,-3.344938647630256
bson-rust,2022-11-14 06:18:23.012000,"{bson-rust,centipede}","{89521946106e1d6c3af390175bb0485ef578664a,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-15 06:31:01.974000,"{bson-rust,centipede}","{d499e645e24d4ebe92b50ab3b11ccd4db0db026a,baa82e7189677bb9086beb5d9b5e58018d991607}",3758.0,38809.0,3812.0,38820.0,11.0,0.13635969784464308
bson-rust,2022-11-16 06:12:05.686000,"{bson-rust,centipede}","{d499e645e24d4ebe92b50ab3b11ccd4db0db026a,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:32:35.808000,{bson-rust},{d499e645e24d4ebe92b50ab3b11ccd4db0db026a},3843.0,38820.0,3873.0,38820.0,0.0,0.0772797527047917
bson-rust,2022-11-17 06:32:35.808000,{bson-rust},{d499e645e24d4ebe92b50ab3b11ccd4db0db026a},2022-11-18 06:18:37.834000,{bson-rust},{b20236480e76be316f00332598ad40867145c265},3873.0,38820.0,3830.0,38832.0,12.0,-0.11381648621987672
bson-rust,2022-11-29 06:35:31.886000,{bson-rust},{b20236480e76be316f00332598ad40867145c265},2022-11-30 06:37:22.326000,{bson-rust},{adc440ee5969e447bc6825a7d83f325c31d24052},4720.0,38843.0,4722.0,38841.0,-2.0,0.005774901861716586
bson-rust,2022-11-30 06:37:22.326000,{bson-rust},{adc440ee5969e447bc6825a7d83f325c31d24052},2022-12-01 06:06:40.588000,{bson-rust},{5e0bea6d77a1a08162b61b17e97d6f2e2b70f68a},4722.0,38841.0,4712.0,38862.0,21.0,-0.03230153843480288
bson-rust,2022-12-15 06:47:54.273000,{bson-rust},{5e0bea6d77a1a08162b61b17e97d6f2e2b70f68a},2022-12-16 06:10:42.599000,{bson-rust},{56dc006448d4a8c70a83bb606509477d673c59b2},3548.0,38865.0,3576.0,38865.0,0.0,0.07204425575710971
bson-rust,2023-01-04 06:28:24.084000,{bson-rust},{56dc006448d4a8c70a83bb606509477d673c59b2},2023-01-05 03:07:55.448000,{bson-rust},{739b84b008910d3b956e7673e3c7dd288da93a6a},4000.0,38898.0,4065.0,38898.0,0.0,0.16710370713147427
bson-rust,2023-01-09 06:13:32.316000,{bson-rust},{739b84b008910d3b956e7673e3c7dd288da93a6a},2023-01-10 06:31:07.627000,{bson-rust},{3108a180a69613834d4fb2ab124d893a9c42a4d2},4243.0,38898.0,4298.0,38898.0,0.0,0.1413954444958616
