project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
bzip2,2019-03-13 13:15:46.862000,{libfuzzer},{356046},2019-03-14 13:16:36.238000,{libfuzzer},{356140},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-14 13:16:36.238000,{libfuzzer},{356140},2019-03-15 13:14:43.158000,{libfuzzer},{356258},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-15 13:14:43.158000,{libfuzzer},{356258},2019-03-16 13:14:57.643000,{libfuzzer},{356322},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-16 13:14:57.643000,{libfuzzer},{356322},2019-03-17 13:14:49.593000,{libfuzzer},{356330},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-17 13:14:49.593000,{libfuzzer},{356330},2019-03-18 13:16:08.305000,{libfuzzer},{356365},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-18 13:16:08.305000,{libfuzzer},{356365},2019-03-19 13:15:14.817000,{libfuzzer},{356450},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-19 13:15:14.817000,{libfuzzer},{356450},2019-03-20 13:14:50.421000,{libfuzzer},{356552},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-20 13:14:50.421000,{libfuzzer},{356552},2019-03-21 13:15:16.432000,{libfuzzer},{356662},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-21 13:15:16.432000,{libfuzzer},{356662},2019-03-22 13:16:19.299000,{libfuzzer},{356747},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-22 13:16:19.299000,{libfuzzer},{356747},2019-03-23 13:15:07.396000,{libfuzzer},{356831},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-23 13:15:07.396000,{libfuzzer},{356831},2019-03-24 13:14:50.099000,{libfuzzer},{356852},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-24 13:14:50.099000,{libfuzzer},{356852},2019-03-25 13:16:53.994000,{libfuzzer},{356894},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-03-25 13:16:53.994000,{libfuzzer},{356894},2019-04-01 13:15:24.527000,{libfuzzer},{357380},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-04-01 13:15:24.527000,{libfuzzer},{357380},2019-04-02 13:51:37.752000,{libfuzzer},{357471},2754.0,3267.0,2754.0,3267.0,0.0,0.0
bzip2,2019-04-02 13:51:37.752000,{libfuzzer},{357471},2019-04-03 13:13:59.746000,{libfuzzer},{357576},2754.0,3267.0,2754.0,3267.0,0.0,0.0
