project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cbor-java,2022-06-16 06:16:37.529000,"{cbor-java,aflplusplus}","{00c4a382dd3810f9c1b363eaad339cff34a3f6fe,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-17 06:21:50.643000,"{cbor-java,aflplusplus}","{b9ebf3fc254d3245893ad2fa295b5312cf667a12,c208dcf9c573e3d85990c7dea777646f7fa4961c}",565.0,674.0,566.0,674.0,0.0,0.1483679525222641
cbor-java,2022-06-17 06:21:50.643000,"{cbor-java,aflplusplus}","{b9ebf3fc254d3245893ad2fa295b5312cf667a12,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-18 06:35:48.798000,"{cbor-java,aflplusplus}","{e33f8dc22c33c7100b829172a42f4e062f2d670d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",566.0,674.0,565.0,674.0,0.0,-0.1483679525222641
cbor-java,2022-06-30 06:08:18.731000,"{cbor-java,aflplusplus}","{e33f8dc22c33c7100b829172a42f4e062f2d670d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-01 06:29:40.164000,"{cbor-java,aflplusplus}","{aab2338cac811766f2fc7ac7852a2e559758e0a4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",264.0,674.0,565.0,674.0,0.0,44.65875370919881
cbor-java,2022-07-11 06:20:50.068000,"{cbor-java,aflplusplus}","{aab2338cac811766f2fc7ac7852a2e559758e0a4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-12 06:04:57.327000,"{cbor-java,aflplusplus}","{f641abcf594e945aa52ffbb1a182473afae798f7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",566.0,674.0,574.0,674.0,0.0,1.1869436201780275
cbor-java,2022-07-12 06:04:57.327000,"{cbor-java,aflplusplus}","{f641abcf594e945aa52ffbb1a182473afae798f7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-13 06:09:40.885000,"{cbor-java,aflplusplus}","{c02f70a54b34015cbd6581b4ec9addcc86f5f913,c208dcf9c573e3d85990c7dea777646f7fa4961c}",574.0,674.0,565.0,674.0,0.0,-1.3353115727002915
cbor-java,2022-07-21 06:03:55.019000,"{cbor-java,aflplusplus}","{c02f70a54b34015cbd6581b4ec9addcc86f5f913,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-22 06:05:15.555000,"{cbor-java,aflplusplus}","{07d7a4fce628e38253ffb27ac8e7d20a28ddc266,c208dcf9c573e3d85990c7dea777646f7fa4961c}",574.0,674.0,565.0,674.0,0.0,-1.3353115727002915
cbor-java,2022-08-10 06:30:06.591000,"{cbor-java,aflplusplus}","{07d7a4fce628e38253ffb27ac8e7d20a28ddc266,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-21 06:03:59.328000,"{cbor-java,centipede,aflplusplus}","{179f1daf98c96301c5d78b68d11695ce61c6cd16,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",567.0,674.0,574.0,674.0,0.0,1.0385756676557776
cbor-java,2022-09-21 06:03:59.328000,"{cbor-java,centipede,aflplusplus}","{179f1daf98c96301c5d78b68d11695ce61c6cd16,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:24:22.358000,"{cbor-java,centipede,aflplusplus}","{179f1daf98c96301c5d78b68d11695ce61c6cd16,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",574.0,674.0,574.0,674.0,0.0,0.0
cbor-java,2022-10-26 19:08:48.440000,"{cbor-java,centipede,aflplusplus}","{179f1daf98c96301c5d78b68d11695ce61c6cd16,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:23:36.922000,"{cbor-java,centipede}","{179f1daf98c96301c5d78b68d11695ce61c6cd16,baa82e7189677bb9086beb5d9b5e58018d991607}",574.0,674.0,574.0,674.0,0.0,0.0
cbor-java,2022-10-31 06:23:01.841000,"{cbor-java,centipede}","{179f1daf98c96301c5d78b68d11695ce61c6cd16,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-01 06:03:07.591000,"{cbor-java,centipede}","{fd31f7f628db7c8fc0effa65db7f35b6224d5b1a,baa82e7189677bb9086beb5d9b5e58018d991607}",574.0,674.0,574.0,674.0,0.0,0.0
