project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cel-cpp,2021-04-30 10:01:29.062000,"{cel-cpp,aflplusplus}","{3b7f7061d80cff882dc477faf74a2cd525ee9b62,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 07:23:34.673000,"{cel-cpp,aflplusplus}","{3b7f7061d80cff882dc477faf74a2cd525ee9b62,f4cc718fdc4571f56280a1efad3645125bee2154}",12080.0,69139.0,12082.0,69129.0,-10.0,0.0054205975872037016
cel-cpp,2021-05-24 06:17:30.563000,"{cel-cpp,aflplusplus}","{3b7f7061d80cff882dc477faf74a2cd525ee9b62,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 09:25:07.922000,"{cel-cpp,aflplusplus}","{3b7f7061d80cff882dc477faf74a2cd525ee9b62,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",12147.0,69285.0,12149.0,69285.0,0.0,0.002886627697193944
cel-cpp,2021-06-10 10:42:30.955000,"{cel-cpp,aflplusplus}","{3b7f7061d80cff882dc477faf74a2cd525ee9b62,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-16 08:06:23.496000,"{cel-cpp,aflplusplus}","{ebcffc257c7cd7d2bcc399765d1de6bd3e3eb35b,ade8cdca55951958024c86766453430f904381c5}",12149.0,69291.0,12175.0,69302.0,11.0,0.03473397135126177
cel-cpp,2021-06-28 08:28:21.223000,"{cel-cpp,aflplusplus}","{ebcffc257c7cd7d2bcc399765d1de6bd3e3eb35b,ade8cdca55951958024c86766453430f904381c5}",2021-06-29 07:59:50.564000,"{cel-cpp,aflplusplus}","{128f2153df68dafae5aceb1ac8431f56aae86533,ade8cdca55951958024c86766453430f904381c5}",12145.0,69314.0,12228.0,69679.0,365.0,0.027333555782472985
cel-cpp,2021-07-07 10:26:44.723000,"{cel-cpp,aflplusplus}","{128f2153df68dafae5aceb1ac8431f56aae86533,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 07:47:57.662000,"{cel-cpp,aflplusplus}","{128f2153df68dafae5aceb1ac8431f56aae86533,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",12255.0,69665.0,12257.0,69665.0,0.0,0.002870882078514825
cel-cpp,2021-07-14 07:48:02.777000,"{cel-cpp,aflplusplus}","{128f2153df68dafae5aceb1ac8431f56aae86533,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-15 10:13:02.016000,"{cel-cpp,aflplusplus}","{128f2153df68dafae5aceb1ac8431f56aae86533,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",12252.0,69667.0,12255.0,69667.0,0.0,0.004306199491868057
cel-cpp,2021-08-24 09:29:15.214000,"{cel-cpp,aflplusplus}","{128f2153df68dafae5aceb1ac8431f56aae86533,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-08-24 19:20:49.078000,"{cel-cpp,aflplusplus}","{4b70f64a11eda87298a11efe3a3e080fe3f9114e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",12227.0,70892.0,12227.0,70892.0,0.0,0.0
cel-cpp,2021-10-02 06:06:18.278000,"{cel-cpp,aflplusplus}","{4b70f64a11eda87298a11efe3a3e080fe3f9114e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-08 10:21:18.779000,"{cel-cpp,aflplusplus}","{89d81b2d2c24943b6e4fd5e8fc321099c2ab6d3f,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",12375.0,70907.0,11803.0,71141.0,234.0,-0.861442352817928
cel-cpp,2021-11-08 06:10:53.723000,"{cel-cpp,aflplusplus}","{89d81b2d2c24943b6e4fd5e8fc321099c2ab6d3f,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-09 09:33:50.890000,"{cel-cpp,aflplusplus}","{60c7aeabb4e6fa633b49c14d6c6fc8f0516761b9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",11799.0,71141.0,11803.0,71141.0,0.0,0.005622636735498787
cel-cpp,2021-11-11 07:00:32.346000,"{cel-cpp,aflplusplus}","{60c7aeabb4e6fa633b49c14d6c6fc8f0516761b9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 07:46:07.856000,"{cel-cpp,aflplusplus}","{60c7aeabb4e6fa633b49c14d6c6fc8f0516761b9,533e979010ca338df6fc415d87668f8187752915}",11803.0,71141.0,11805.0,71141.0,0.0,0.0028113183677476172
