project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cgif,2023-02-04 06:08:09.710000,{cgif},{ac32c0fcb926dc5a1a4e74593f629c874885d5fa},2023-02-05 06:55:24.068000,{cgif},{a79e9c7126e00fc6877693bbe25245139925b1f2},880.0,915.0,880.0,918.0,3.0,-0.314296939176387
cgif,2023-02-10 06:02:58.852000,{cgif},{a79e9c7126e00fc6877693bbe25245139925b1f2},2023-02-11 06:53:58.566000,{cgif},{f1e5cc3e4bf2c4b55be4594994439fff284d32b8},883.0,918.0,883.0,918.0,0.0,0.0
cgif,2023-02-20 06:04:04.256000,{cgif},{f1e5cc3e4bf2c4b55be4594994439fff284d32b8},2023-02-21 06:13:17.388000,{cgif},{216d71bfd70c6ccfa82081e6e7eb129aeb9d44fa},883.0,918.0,885.0,920.0,2.0,0.00828833949039165
cgif,2023-03-26 06:04:33.247000,{cgif},{216d71bfd70c6ccfa82081e6e7eb129aeb9d44fa},2023-03-27 06:07:56.782000,{cgif},{cc875e5dacf526bee76cf5dbb6e4fa6ba2a60db3},885.0,920.0,884.0,919.0,-1.0,-0.004139660311309967
cgif,2023-05-28 06:17:23.560000,{cgif},{cc875e5dacf526bee76cf5dbb6e4fa6ba2a60db3},2023-05-29 06:12:41.987000,{cgif},{2c3c27f401c6d244760f95389c1c191859c44562},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2023-07-16 06:15:17.117000,{cgif},{2c3c27f401c6d244760f95389c1c191859c44562},2023-07-17 06:58:20.559000,{cgif},{246f8f0a497e842d14138afe2b63d609fccb3798},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2024-02-21 06:20:29.498000,{cgif},{246f8f0a497e842d14138afe2b63d609fccb3798},2024-02-22 06:15:17.259000,{cgif},{3d8420f3cd419e48489a96a8c637da894fc05b9b},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2024-02-22 06:15:17.259000,{cgif},{3d8420f3cd419e48489a96a8c637da894fc05b9b},2024-02-23 06:27:44.766000,{cgif},{4f2cd0fc7a9a82993d3a24473ee0a5a44d4fc2cb},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2024-03-29 06:30:36.657000,{cgif},{4f2cd0fc7a9a82993d3a24473ee0a5a44d4fc2cb},2024-03-30 06:24:06.192000,{cgif},{92d1957197c441201ce32dbb7c56c6059e60e16c},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2024-04-03 15:08:02.401000,{cgif},{92d1957197c441201ce32dbb7c56c6059e60e16c},2024-04-04 06:35:42.082000,{cgif},{43976ce4ace9ad60ba3cf7cf5aaabc2d480170f9},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2024-06-18 06:11:20.648000,{cgif},{43976ce4ace9ad60ba3cf7cf5aaabc2d480170f9},2024-06-19 06:32:09.203000,{cgif},{6945c56fe830229a7d3834b54abab921a07809c5},884.0,919.0,884.0,919.0,0.0,0.0
cgif,2024-08-13 06:08:43.694000,{cgif},{6945c56fe830229a7d3834b54abab921a07809c5},2024-08-14 06:29:57.022000,{cgif},{c234bc27d4012548faa13798c203219b59b77b09},884.0,919.0,970.0,1005.0,86.0,0.3259004217216557
