project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
checkstyle,2023-07-13 06:16:05.537000,{checkstyle},{88486f7ca9795f613d28fa6c2a53beccef521dfc},2023-07-14 06:34:32.205000,{checkstyle},{c4e0aadca2a2888044a96e4f0bef2864b615ae8f},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-14 06:34:32.205000,{checkstyle},{c4e0aadca2a2888044a96e4f0bef2864b615ae8f},2023-07-15 06:11:07.439000,{checkstyle},{41572dac51680bac020cac3dfc3d866320b38e73},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-15 06:11:07.439000,{checkstyle},{41572dac51680bac020cac3dfc3d866320b38e73},2023-07-16 06:06:27.946000,{checkstyle},{89e3ffcf7c2a7f764c5e76d52af25d8283b3d3b3},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-16 06:06:27.946000,{checkstyle},{89e3ffcf7c2a7f764c5e76d52af25d8283b3d3b3},2023-07-17 06:09:10.723000,{checkstyle},{e3d8c85805787a6af627ad5e7c133f67186a06c3},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-17 06:09:10.723000,{checkstyle},{e3d8c85805787a6af627ad5e7c133f67186a06c3},2023-07-18 06:15:41.332000,{checkstyle},{979e474dcf76b3fe80c33c687db6c8da625b6b57},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-18 06:15:41.332000,{checkstyle},{979e474dcf76b3fe80c33c687db6c8da625b6b57},2023-07-19 07:15:50.603000,{checkstyle},{8b7dac5792b450386651647e2c8a5fa84e1d7f97},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-19 07:15:50.603000,{checkstyle},{8b7dac5792b450386651647e2c8a5fa84e1d7f97},2023-07-20 06:24:06.868000,{checkstyle},{834e5ed9177b81c6ef73e8bba967f131db2d2c74},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-20 06:24:06.868000,{checkstyle},{834e5ed9177b81c6ef73e8bba967f131db2d2c74},2023-07-21 06:32:11.113000,{checkstyle},{83abd26f905a6f9b0124193c881e2256293bde43},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-21 06:32:11.113000,{checkstyle},{83abd26f905a6f9b0124193c881e2256293bde43},2023-07-23 06:07:16.945000,{checkstyle},{f4a33f90bf8eda8ef2cdf7f66fd60878d2aa1736},9712.0,15353.0,9712.0,15353.0,0.0,0.0
checkstyle,2023-07-25 06:50:31.476000,{checkstyle},{f4a33f90bf8eda8ef2cdf7f66fd60878d2aa1736},2023-07-25 23:42:46.682000,{checkstyle},{bb64c20cbcf6e543b297b6e809f379bd8746b5e7},9716.0,15353.0,9716.0,15353.0,0.0,0.0
