project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
clamav,2019-03-13 14:18:08.045000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356048}",2019-03-14 14:13:59.449000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356145}",37350.0,105685.0,37349.0,105685.0,0.0,-0.0009462080711557519
clamav,2019-03-14 14:13:59.449000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356145}",2019-03-15 14:14:52.138000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356259}",37349.0,105685.0,37350.0,105685.0,0.0,0.0009462080711557519
clamav,2019-03-15 14:14:52.138000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356259}",2019-03-16 14:15:45.983000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356323}",37350.0,105685.0,37349.0,105685.0,0.0,-0.0009462080711557519
clamav,2019-03-16 14:15:45.983000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356323}",2019-03-17 14:13:51.090000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356330}",37349.0,105685.0,37349.0,105685.0,0.0,0.0
clamav,2019-03-17 14:13:51.090000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356330}",2019-03-18 14:15:27.591000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356367}",37349.0,105685.0,37350.0,105685.0,0.0,0.0009462080711557519
clamav,2019-03-18 14:15:27.591000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356367}",2019-03-19 14:16:46.006000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356454}",37350.0,105685.0,37349.0,105685.0,0.0,-0.0009462080711557519
clamav,2019-03-19 14:16:46.006000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356454}",2019-03-20 14:13:47.086000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356553}",37349.0,105685.0,37349.0,105685.0,0.0,0.0
clamav,2019-03-20 14:13:47.086000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356553}",2019-03-21 14:16:17.099000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356664}",37349.0,105685.0,37349.0,105685.0,0.0,0.0
clamav,2019-03-21 14:16:17.099000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356664}",2019-03-22 14:16:30.924000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356750}",37349.0,105685.0,37401.0,105685.0,0.0,0.049202819700056466
clamav,2019-03-22 14:16:30.924000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356750}",2019-03-23 14:15:30.373000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356832}",37401.0,105685.0,37402.0,105685.0,0.0,0.0009462080711486465
clamav,2019-03-23 14:15:30.373000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356832}",2019-03-24 14:16:05.619000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356854}",37402.0,105685.0,37401.0,105685.0,0.0,-0.0009462080711486465
clamav,2019-03-24 14:16:05.619000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356854}",2019-03-25 14:19:37.886000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356895}",37401.0,105685.0,37400.0,105685.0,0.0,-0.0009462080711557519
clamav,2019-03-25 14:19:37.886000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,5087673200af439707dab8ae44c7b567cdabc567,356895}",2019-04-01 14:15:23.259000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,1cdec93956bc3032d8263497e34425d9e42b16db,357385}",37400.0,105685.0,37510.0,105923.0,238.0,0.024334778254356593
clamav,2019-04-01 14:15:23.259000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,1cdec93956bc3032d8263497e34425d9e42b16db,357385}",2019-04-02 15:45:27.425000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,1cdec93956bc3032d8263497e34425d9e42b16db,357480}",37510.0,105923.0,37510.0,105923.0,0.0,0.0
clamav,2019-04-02 15:45:27.425000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,1cdec93956bc3032d8263497e34425d9e42b16db,357480}",2019-04-04 14:10:25.472000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,091a447a08d85fd152226efabc006f18c9311ec9,357692}",37510.0,105923.0,37558.0,105925.0,2.0,0.04464644764428982
clamav,2019-04-04 14:10:25.472000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,091a447a08d85fd152226efabc006f18c9311ec9,357692}",2019-04-05 14:13:24.796000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,091a447a08d85fd152226efabc006f18c9311ec9,357760}",37558.0,105925.0,37559.0,105925.0,0.0,0.0009440641963678331
clamav,2019-04-05 14:13:24.796000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,091a447a08d85fd152226efabc006f18c9311ec9,357760}",2019-04-06 14:12:11.930000,"{clamav-fuzz-corpus,clamav-devel,libfuzzer}","{8f89e7e0481f2e9f8f4eaa74364b06e3fb78bd0b,091a447a08d85fd152226efabc006f18c9311ec9,357838}",37559.0,105925.0,37515.0,105925.0,0.0,-0.041538824640078076
