project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
clib,2020-12-09 07:30:41.233000,"{clib,afl}","{6f50ba12e1dcefcfc5d57f027205c06c7a6b5354,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-10 06:03:44.472000,"{clib,afl}","{d6719d6f89a6f2d3802ab8bf5b2559c03c4a714b,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4209.0,939.0,4195.0,-14.0,0.07445309174874026
clib,2021-01-07 09:31:25.141000,"{clib,afl}","{d6719d6f89a6f2d3802ab8bf5b2559c03c4a714b,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-08 08:29:33.421000,"{clib,afl}","{caeae20142fd6b47dd5cdb273beecf2902d05f56,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4195.0,939.0,4195.0,0.0,0.0
clib,2021-01-10 06:04:11.584000,"{clib,afl}","{caeae20142fd6b47dd5cdb273beecf2902d05f56,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-11 06:42:19.267000,"{clib,afl}","{0fc8b978868312a5c02366bf0d18d3b638760364,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4195.0,939.0,4195.0,0.0,0.0
clib,2021-01-11 06:42:19.267000,"{clib,afl}","{0fc8b978868312a5c02366bf0d18d3b638760364,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-12 08:23:40.026000,"{clib,afl}","{6af90193d7803a9a68223eb6ccb01e8c481eba8f,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4195.0,939.0,4197.0,2.0,-0.010666566703100955
clib,2021-01-13 07:29:38.678000,"{clib,afl}","{6af90193d7803a9a68223eb6ccb01e8c481eba8f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-14 06:37:48.938000,"{clib,afl}","{732526fda2ac6d7341c9aa779b767ededa8cbc8a,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4197.0,939.0,4197.0,0.0,0.0
clib,2021-01-14 06:37:48.938000,"{clib,afl}","{732526fda2ac6d7341c9aa779b767ededa8cbc8a,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-15 07:45:06.176000,"{clib,afl}","{35f061fc3d2e667b554cab11f990f95e9f1bc68e,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4197.0,939.0,4200.0,3.0,-0.015980802614112832
clib,2021-01-15 07:45:06.176000,"{clib,afl}","{35f061fc3d2e667b554cab11f990f95e9f1bc68e,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-16 06:31:57.202000,"{clib,afl}","{de8b558e18b8ed6e0e577edae6ba0bf3a3038c31,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4200.0,939.0,4200.0,0.0,0.0
clib,2021-01-19 09:18:56.999000,"{clib,afl}","{de8b558e18b8ed6e0e577edae6ba0bf3a3038c31,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-20 09:30:37.488000,"{clib,afl}","{c388648f1a43eb2c991785025b5d315241c3a971,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4200.0,939.0,4200.0,0.0,0.0
clib,2021-01-21 08:02:36.671000,"{clib,afl}","{c388648f1a43eb2c991785025b5d315241c3a971,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-22 08:56:54.608000,"{clib,afl}","{2cead30ca13b868e9cd8fd3b57be5cc8793dc44d,82b5e359463238d790cadbe2dd494d6a4928bff3}",939.0,4200.0,939.0,4200.0,0.0,0.0
clib,2021-01-25 09:19:58.453000,"{clib,afl}","{2cead30ca13b868e9cd8fd3b57be5cc8793dc44d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-26 10:03:12.385000,"{clib,aflplusplus,afl}","{a2cfd2aa03fa4c593d50a9769ddd1e1070290e3d,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",934.0,4200.0,939.0,4200.0,0.0,0.1190476190476204
clib,2021-01-31 08:15:43.549000,"{clib,aflplusplus,afl}","{a2cfd2aa03fa4c593d50a9769ddd1e1070290e3d,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 06:22:21.283000,"{clib,aflplusplus}","{a2cfd2aa03fa4c593d50a9769ddd1e1070290e3d,068bef5eab942df0a133c92522f2ab81b28ac636}",939.0,4200.0,939.0,4200.0,0.0,0.0
