project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cmake,2021-01-27 07:19:43.181000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,675d81be6c728d21b78314f763ba060855b1366b,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-28 09:18:16.619000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,f2c4ea6807c29aed6453012b604788e81200584a,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",3260.0,7693.0,3267.0,7693.0,0.0,0.09099181073703022
cmake,2021-01-28 09:18:16.619000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,f2c4ea6807c29aed6453012b604788e81200584a,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-29 09:34:52.478000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,59b5b6e11c243e4d45e57caf939107ef9fc44c75,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-01-29 09:34:52.478000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,59b5b6e11c243e4d45e57caf939107ef9fc44c75,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-30 07:58:12.884000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,93eef927779c14214d7730ccc6cbb94a04126af7,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-01-30 07:58:12.884000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,93eef927779c14214d7730ccc6cbb94a04126af7,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-31 08:56:53.808000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,8a2fd1bfe006b9c5e3985d0473aabc9c9dd15603,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-01-31 08:56:53.808000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,8a2fd1bfe006b9c5e3985d0473aabc9c9dd15603,068bef5eab942df0a133c92522f2ab81b28ac636,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-01 06:54:16.629000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,755c948976d2eb80ed91224c3bb5f2ff7bfbd95c,068bef5eab942df0a133c92522f2ab81b28ac636}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-02-01 06:54:16.629000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,755c948976d2eb80ed91224c3bb5f2ff7bfbd95c,068bef5eab942df0a133c92522f2ab81b28ac636}",2021-02-02 08:16:01.893000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,3e76fe735425b248763f4d0559e02f63391fca8f,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-02-02 08:16:01.893000,"{fuzzing-corpus,CMake,aflplusplus,afl}","{d5aaf2c8654592f65e8792d12800317200446e7c,3e76fe735425b248763f4d0559e02f63391fca8f,654f389e73c9fd5b7e141b33ea28ab0fdda3178f,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-02-03 07:15:14.298000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,af695cee7346fa0eee478f71952fd02f0df989cf,1f71b85426f837ebcae8381897d44a3a67c73a4f}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-02-03 07:15:14.298000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,af695cee7346fa0eee478f71952fd02f0df989cf,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-05 06:21:37.768000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,80a7d2b14bf931096909262dd8fd13ca2725562c,1f71b85426f837ebcae8381897d44a3a67c73a4f}",3267.0,7693.0,3267.0,7693.0,0.0,0.0
cmake,2021-02-05 06:21:37.768000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,80a7d2b14bf931096909262dd8fd13ca2725562c,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-06 06:24:50.844000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,51f7d7e919bab508d898770f44a1f57e7a748895,1f71b85426f837ebcae8381897d44a3a67c73a4f}",3267.0,7693.0,3969.0,7693.0,0.0,9.125178733913948
cmake,2021-02-06 06:24:50.844000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,51f7d7e919bab508d898770f44a1f57e7a748895,1f71b85426f837ebcae8381897d44a3a67c73a4f}",2021-02-07 09:33:18.678000,"{fuzzing-corpus,CMake,aflplusplus}","{d5aaf2c8654592f65e8792d12800317200446e7c,db0a73434992f0c9314a22f9b3ec92cc4bbb85cf,a763c61d89f90330bcde7c294c57cfccda1431b8}",3969.0,7693.0,3969.0,7693.0,0.0,0.0
