project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
configparser,2023-02-22 06:14:14.478000,{configparser},{f0a49a313a92459341b468ed719c7013ce587edf},2023-02-23 06:51:09.760000,{configparser},{8b5181b4f270be88f3e4572300406587fdbd4a6e},372.0,769.0,372.0,769.0,0.0,0.0
configparser,2023-04-05 06:11:53.617000,{configparser},{8b5181b4f270be88f3e4572300406587fdbd4a6e},2023-04-06 06:43:21.003000,{configparser},{11f9796eb3c1d487974c4f3ff5c0ebdc490c90a9},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-05-10 07:00:11.104000,{configparser},{11f9796eb3c1d487974c4f3ff5c0ebdc490c90a9},2023-05-11 06:56:02.558000,{configparser},{777928ae9654152162d86d031a3e4bd1e07500eb},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-05-28 06:52:56.367000,{configparser},{777928ae9654152162d86d031a3e4bd1e07500eb},2023-05-29 06:13:07.659000,{configparser},{fd20dac5eb698e621975065d848eea7d87a2b2bc},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-06-18 07:10:09.038000,{configparser},{fd20dac5eb698e621975065d848eea7d87a2b2bc},2023-06-19 06:29:17.082000,{configparser},{f0e19f01ee9cf2dc2597ed4dd066b77c8697cc95},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-06-21 07:44:07.279000,{configparser},{f0e19f01ee9cf2dc2597ed4dd066b77c8697cc95},2023-06-22 06:26:29.064000,{configparser},{0417e016588fa24d1c6705bd873e8529de57e0af},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-06-23 06:08:20.020000,{configparser},{0417e016588fa24d1c6705bd873e8529de57e0af},2023-06-24 06:43:31.835000,{configparser},{5bef0622f39f5b707ff9f2542637a448a968ec38},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-07-05 06:59:32.360000,{configparser},{5bef0622f39f5b707ff9f2542637a448a968ec38},2023-07-06 06:12:11.890000,{configparser},{10d12c4eeff218caf3aecedf3e26cd7efa628368},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-07-07 06:40:12.212000,{configparser},{10d12c4eeff218caf3aecedf3e26cd7efa628368},2023-07-08 06:37:53.481000,{configparser},{4990ba132450e218d9695ba74d4a139913459b17},378.0,771.0,378.0,771.0,0.0,0.0
configparser,2023-07-08 06:37:53.481000,{configparser},{4990ba132450e218d9695ba74d4a139913459b17},2023-07-09 07:00:27.295000,{configparser},{4087cfa0ead223ae73351e6bbdf08417b74e7587},378.0,771.0,367.0,748.0,-23.0,0.03693376890905142
configparser,2023-08-06 07:13:00.199000,{configparser},{4087cfa0ead223ae73351e6bbdf08417b74e7587},2023-08-07 06:47:29.297000,{configparser},{af4b267555f732f396f1452ff3ab04c8754a753b},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2023-10-08 07:08:32.231000,{configparser},{af4b267555f732f396f1452ff3ab04c8754a753b},2023-10-09 06:24:21.594000,{configparser},{8411aecbfc0fcc6b88d1b5618a0a05d9f6ff6d32},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2023-11-30 06:47:36.736000,{configparser},{8411aecbfc0fcc6b88d1b5618a0a05d9f6ff6d32},2023-12-01 07:08:10.144000,{configparser},{f89abbba87b8406458ea177a3efb62a2043f8a1b},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2023-12-04 06:35:07.878000,{configparser},{f89abbba87b8406458ea177a3efb62a2043f8a1b},2023-12-05 07:09:49.914000,{configparser},{17432aa1a99f16888ec76633597870cbd33cd3d9},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2023-12-23 07:28:45.285000,{configparser},{17432aa1a99f16888ec76633597870cbd33cd3d9},2023-12-24 06:39:58.466000,{configparser},{971c1e9d3ff05ca9d30cddffc63edefb21c33f12},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2023-12-26 06:49:54.772000,{configparser},{971c1e9d3ff05ca9d30cddffc63edefb21c33f12},2023-12-27 07:52:30.220000,{configparser},{19253a4e076a0e0d1be374b6440fe7dd8aeeb578},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2024-02-07 06:25:09.274000,{configparser},{19253a4e076a0e0d1be374b6440fe7dd8aeeb578},2024-02-25 06:34:16.434000,{configparser},{b244f597d871a83986d5146ab49a4e7c19f8b528},367.0,748.0,367.0,748.0,0.0,0.0
configparser,2024-04-14 06:18:57.747000,{configparser},{b244f597d871a83986d5146ab49a4e7c19f8b528},2024-04-15 06:25:09.638000,{configparser},{98f23b522d4765585931e3e1aedd99f1f477210e},367.0,748.0,405.0,772.0,24.0,3.396968773378404
configparser,2024-04-18 06:19:09.741000,{configparser},{98f23b522d4765585931e3e1aedd99f1f477210e},2024-04-19 06:27:41.535000,{configparser},{b8210bfac7c45dd425e13482b01680eb000a9eb0},405.0,772.0,405.0,772.0,0.0,0.0
configparser,2024-04-23 06:30:11.549000,{configparser},{b8210bfac7c45dd425e13482b01680eb000a9eb0},2024-04-24 06:15:49.496000,{configparser},{052d10b52ccd1ab5d6f8d82c16bde65c568f9289},405.0,772.0,405.0,772.0,0.0,0.0
configparser,2024-04-24 09:06:55.387000,{configparser},{052d10b52ccd1ab5d6f8d82c16bde65c568f9289},2024-04-25 06:24:06.076000,{configparser},{1a457112ec6a3614a0eeea33dbf8e4d33d0da91b},405.0,772.0,405.0,772.0,0.0,0.0
configparser,2024-05-16 06:05:01.735000,{configparser},{1a457112ec6a3614a0eeea33dbf8e4d33d0da91b},2024-05-17 06:33:06.583000,{configparser},{c0cc2b4e842244803378eceff5186a6810c90585},405.0,772.0,405.0,772.0,0.0,0.0
configparser,2024-06-21 06:06:32.924000,{configparser},{c0cc2b4e842244803378eceff5186a6810c90585},2024-06-22 06:22:16.271000,{configparser},{a6c28ef5ffb0051b2290ac8434da53bb036257d2},405.0,772.0,405.0,772.0,0.0,0.0
configparser,2024-07-19 06:35:26.720000,{configparser},{a6c28ef5ffb0051b2290ac8434da53bb036257d2},2024-07-20 06:36:32.701000,{configparser},{a090089bec977f682deff747e775c359cd917791},405.0,772.0,405.0,772.0,0.0,0.0
configparser,2024-08-18 06:07:24.281000,{configparser},{a090089bec977f682deff747e775c359cd917791},2024-08-19 06:22:13.866000,{configparser},{d4a49e97b08883f8f89ace13f8f812f07f58ef2f},405.0,772.0,406.0,778.0,6.0,-0.27604992207999146
configparser,2024-08-21 06:17:21.112000,{configparser},{d4a49e97b08883f8f89ace13f8f812f07f58ef2f},2024-08-22 06:11:26.276000,{configparser},{caaaf93694c019e5e69676150f7e15bba7223f29},406.0,778.0,406.0,778.0,0.0,0.0
configparser,2024-08-25 06:08:45.367000,{configparser},{caaaf93694c019e5e69676150f7e15bba7223f29},2024-08-26 06:22:16.984000,{configparser},{bd94112b7eb3ef9fbbce25dbc6b2cda82af990e9},406.0,778.0,406.0,778.0,0.0,0.0
