project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
connectedhomeip,2023-04-16 06:57:06.751000,{connectedhomeip},{2e4064e17b2bfa8394100483279a4bbaf9d40b42},2023-04-17 06:58:48.573000,{connectedhomeip},{3037a8af3173c20f0dfb2b38dcf6dc119e959e74},2297.0,10305.0,2353.0,10305.0,0.0,0.543425521591459
connectedhomeip,2023-04-17 06:58:48.573000,{connectedhomeip},{3037a8af3173c20f0dfb2b38dcf6dc119e959e74},2023-04-18 06:45:23.618000,{connectedhomeip},{19909cecb91d2b0f4623c7f9144398eadd638c8c},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-18 06:45:23.618000,{connectedhomeip},{19909cecb91d2b0f4623c7f9144398eadd638c8c},2023-04-19 06:52:48.372000,{connectedhomeip},{b8368a1ae85be85a068feb563a8db658c6659a58},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-19 06:52:48.372000,{connectedhomeip},{b8368a1ae85be85a068feb563a8db658c6659a58},2023-04-20 07:31:08.166000,{connectedhomeip},{e2341d8c82578fc6649ba380399ece85848fc2bc},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-20 07:31:08.166000,{connectedhomeip},{e2341d8c82578fc6649ba380399ece85848fc2bc},2023-04-21 07:06:51.994000,{connectedhomeip},{f3f7ecdc7ed681b0fc34a63764273cf5d6b06ae2},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-21 07:06:51.994000,{connectedhomeip},{f3f7ecdc7ed681b0fc34a63764273cf5d6b06ae2},2023-04-22 07:03:46.503000,{connectedhomeip},{65f075c73127d8ec3b2d9a6f11a2ac4256e355e1},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-23 07:20:41.440000,{connectedhomeip},{65f075c73127d8ec3b2d9a6f11a2ac4256e355e1},2023-04-24 06:49:42.309000,{connectedhomeip},{de0dfcfbc42fe574774dc440a0e89a8884b28573},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-24 06:49:42.309000,{connectedhomeip},{de0dfcfbc42fe574774dc440a0e89a8884b28573},2023-04-25 07:16:32.391000,{connectedhomeip},{bcf1b80f82f68e1b7de218a13b485e3a387b9d31},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-25 07:16:32.391000,{connectedhomeip},{bcf1b80f82f68e1b7de218a13b485e3a387b9d31},2023-04-27 06:38:18.700000,{connectedhomeip},{c1108d7f7360e9065c9e3dd5f4d2d9cfabdffbbe},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-27 06:38:18.700000,{connectedhomeip},{c1108d7f7360e9065c9e3dd5f4d2d9cfabdffbbe},2023-04-28 07:12:43.049000,{connectedhomeip},{f1096a5d76d7830ce2b7e5ecc5bb342270d95dfe},2353.0,10305.0,2353.0,10305.0,0.0,0.0
connectedhomeip,2023-04-28 07:12:43.049000,{connectedhomeip},{f1096a5d76d7830ce2b7e5ecc5bb342270d95dfe},2023-05-10 06:36:15.516000,{connectedhomeip},{65a3b3848f152004fad1fbb06e80f629a27c2782},2353.0,10305.0,2357.0,10309.0,4.0,0.029941380954891628
connectedhomeip,2023-05-10 06:36:15.516000,{connectedhomeip},{65a3b3848f152004fad1fbb06e80f629a27c2782},2023-05-11 06:40:37.483000,{connectedhomeip},{8635ca4d36ffaa3289f63c2eee4921e534f8e820},2357.0,10309.0,2357.0,10309.0,0.0,0.0
connectedhomeip,2023-05-11 06:40:37.483000,{connectedhomeip},{8635ca4d36ffaa3289f63c2eee4921e534f8e820},2023-05-12 07:05:37.088000,{connectedhomeip},{a3b400568cbace2b8fd328325d93685fc2ad5512},2357.0,10309.0,2357.0,10324.0,15.0,-0.03321898098842979
connectedhomeip,2023-05-12 07:05:37.088000,{connectedhomeip},{a3b400568cbace2b8fd328325d93685fc2ad5512},2023-05-13 07:08:52.795000,{connectedhomeip},{42f38de199e79f77e48b39a220393fcc68bbd3d7},2357.0,10324.0,2357.0,10324.0,0.0,0.0
connectedhomeip,2023-05-13 07:08:52.795000,{connectedhomeip},{42f38de199e79f77e48b39a220393fcc68bbd3d7},2023-05-14 06:55:39.499000,{connectedhomeip},{4083b32732b04aeec63b8f03ebd1e12ade78dd0f},2357.0,10324.0,2357.0,10324.0,0.0,0.0
connectedhomeip,2023-05-14 06:55:39.499000,{connectedhomeip},{4083b32732b04aeec63b8f03ebd1e12ade78dd0f},2023-05-15 06:43:51.432000,{connectedhomeip},{a33249db16d3bb351038e68d997db4c0ba5d003c},2357.0,10324.0,2357.0,10324.0,0.0,0.0
connectedhomeip,2023-05-15 06:43:51.432000,{connectedhomeip},{a33249db16d3bb351038e68d997db4c0ba5d003c},2023-05-18 06:25:35.797000,{connectedhomeip},{a295e01694bf7ef57d3fa2c0d54c75b05d6d599a},2357.0,10324.0,2357.0,10382.0,58.0,-0.127543566111612
connectedhomeip,2023-05-18 06:25:35.797000,{connectedhomeip},{a295e01694bf7ef57d3fa2c0d54c75b05d6d599a},2023-05-19 06:23:35.079000,{connectedhomeip},{2affb17113dc4ad86d55c7a63a91386938fed5bd},2357.0,10382.0,2357.0,10382.0,0.0,0.0
connectedhomeip,2023-05-19 06:23:35.079000,{connectedhomeip},{2affb17113dc4ad86d55c7a63a91386938fed5bd},2023-05-20 06:43:23.524000,{connectedhomeip},{bfa05804ac3c224c9e70921a857ffcac32ccc7f4},2357.0,10382.0,2357.0,10367.0,-15.0,0.032848588937785195
