project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
coveragepy,2022-08-21 06:14:37.267000,"{coveragepy,aflplusplus}","{816acad2de49e82e3903f4736d611e715a0b5780,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-22 06:37:42.178000,"{coveragepy,aflplusplus}","{274de050dac6876976bbf57f9da39997225371f9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-08-23 17:39:04.037000,"{coveragepy,aflplusplus}","{274de050dac6876976bbf57f9da39997225371f9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-23 21:39:54.480000,"{coveragepy,aflplusplus}","{3fac1386203b0ac74d028321759f03d97a2b053d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-08-24 06:39:00.373000,"{coveragepy,aflplusplus}","{3fac1386203b0ac74d028321759f03d97a2b053d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-25 06:25:03.648000,"{coveragepy,aflplusplus}","{ccc82ead73b1cd756cd3b24ea6bb1d8d7faaa79c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-08-25 06:25:03.648000,"{coveragepy,aflplusplus}","{ccc82ead73b1cd756cd3b24ea6bb1d8d7faaa79c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-26 06:26:17.087000,"{coveragepy,aflplusplus}","{3455622cd4927639c4cc3ca608190ef8dc7705f4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-08-27 06:03:35.948000,"{coveragepy,aflplusplus}","{3455622cd4927639c4cc3ca608190ef8dc7705f4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-28 06:04:18.235000,"{coveragepy,aflplusplus}","{37ac634031e0cf43c4fe63249f79c025609b53a2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-08-29 06:41:46.771000,"{coveragepy,aflplusplus}","{37ac634031e0cf43c4fe63249f79c025609b53a2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-30 06:33:33.124000,"{coveragepy,aflplusplus}","{fcb782df20dee25944f27a8a3104e8d5d150c249,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-01 06:30:45.356000,"{coveragepy,aflplusplus}","{fcb782df20dee25944f27a8a3104e8d5d150c249,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-02 06:03:25.241000,"{coveragepy,aflplusplus}","{f9c56567008f2539a075329d04f33ccb59d6eab3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-03 06:03:10.730000,"{coveragepy,aflplusplus}","{f9c56567008f2539a075329d04f33ccb59d6eab3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-04 06:14:13.895000,"{coveragepy,aflplusplus}","{2a8969dabb414cc04c5c411a5817e929b0de49c2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-04 06:14:13.895000,"{coveragepy,aflplusplus}","{2a8969dabb414cc04c5c411a5817e929b0de49c2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-05 06:39:11.442000,"{coveragepy,aflplusplus}","{8a34193cfd976645b0373334d32da06c7ad5ab09,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-05 06:39:11.442000,"{coveragepy,aflplusplus}","{8a34193cfd976645b0373334d32da06c7ad5ab09,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:41:26.813000,"{coveragepy,centipede,aflplusplus}","{8a34193cfd976645b0373334d32da06c7ad5ab09,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-06 06:41:26.813000,"{coveragepy,centipede,aflplusplus}","{8a34193cfd976645b0373334d32da06c7ad5ab09,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:36:55.630000,"{coveragepy,centipede,aflplusplus}","{8a34193cfd976645b0373334d32da06c7ad5ab09,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-07 06:36:55.630000,"{coveragepy,centipede,aflplusplus}","{8a34193cfd976645b0373334d32da06c7ad5ab09,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-09 06:04:00.079000,"{coveragepy,centipede,aflplusplus}","{c4ad568695e40d4a0f5341abcfb49b0172df67a6,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-11 06:34:43,"{coveragepy,centipede,aflplusplus}","{c4ad568695e40d4a0f5341abcfb49b0172df67a6,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:03:10.202000,"{coveragepy,centipede,aflplusplus}","{c4ad568695e40d4a0f5341abcfb49b0172df67a6,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-13 06:07:30.933000,"{coveragepy,centipede,aflplusplus}","{c4ad568695e40d4a0f5341abcfb49b0172df67a6,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-14 06:20:05.490000,"{coveragepy,centipede,aflplusplus}","{a462893ecb747b8d1a6e877e5cac083d53254df1,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-15 06:37:09.845000,"{coveragepy,centipede,aflplusplus}","{a462893ecb747b8d1a6e877e5cac083d53254df1,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:09:57.271000,"{coveragepy,centipede,aflplusplus}","{a462893ecb747b8d1a6e877e5cac083d53254df1,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-16 06:09:57.271000,"{coveragepy,centipede,aflplusplus}","{a462893ecb747b8d1a6e877e5cac083d53254df1,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-17 06:16:58.006000,"{coveragepy,centipede,aflplusplus}","{7b690aa976a6bb30261d68344104f817a812a677,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-17 06:16:58.006000,"{coveragepy,centipede,aflplusplus}","{7b690aa976a6bb30261d68344104f817a812a677,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-18 06:43:05.363000,"{coveragepy,centipede,aflplusplus}","{5908ca17f844edf8def46ee28fdf5aeeec4257fe,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-19 06:38:06.432000,"{coveragepy,centipede,aflplusplus}","{5908ca17f844edf8def46ee28fdf5aeeec4257fe,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:04:46.498000,"{coveragepy,centipede,aflplusplus}","{5908ca17f844edf8def46ee28fdf5aeeec4257fe,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-20 06:04:46.498000,"{coveragepy,centipede,aflplusplus}","{5908ca17f844edf8def46ee28fdf5aeeec4257fe,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-21 06:30:30.069000,"{coveragepy,centipede,aflplusplus}","{2c4bd7f1f9e8c3c429db2b9cfdc33ba0881f8fde,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-21 06:30:30.069000,"{coveragepy,centipede,aflplusplus}","{2c4bd7f1f9e8c3c429db2b9cfdc33ba0881f8fde,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:31:39.310000,"{coveragepy,centipede,aflplusplus}","{2c4bd7f1f9e8c3c429db2b9cfdc33ba0881f8fde,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-26 06:21:10.560000,"{coveragepy,centipede,aflplusplus}","{2c4bd7f1f9e8c3c429db2b9cfdc33ba0881f8fde,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-27 06:03:41.685000,"{coveragepy,centipede,aflplusplus}","{fd36918609a18bd36a7e2c3b208220cf25c0957d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-27 06:03:41.685000,"{coveragepy,centipede,aflplusplus}","{fd36918609a18bd36a7e2c3b208220cf25c0957d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-28 06:36:01.211000,"{coveragepy,centipede,aflplusplus}","{d296083bbed850a5f13459a163633fc6fb9289ea,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-29 06:45:33.320000,"{coveragepy,centipede,aflplusplus}","{d296083bbed850a5f13459a163633fc6fb9289ea,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-30 06:27:41.251000,"{coveragepy,centipede,aflplusplus}","{0a885162775d32d6f8932690fdbd167b45618e03,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-09-30 06:27:41.251000,"{coveragepy,centipede,aflplusplus}","{0a885162775d32d6f8932690fdbd167b45618e03,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-01 06:05:11.395000,"{coveragepy,centipede,aflplusplus}","{8bdaafe103e36ec6428a5bf8d1d6a807a1269a1f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-10-01 06:05:11.395000,"{coveragepy,centipede,aflplusplus}","{8bdaafe103e36ec6428a5bf8d1d6a807a1269a1f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-02 06:23:46.226000,"{coveragepy,centipede,aflplusplus}","{08712e99bbfff973cca786aab04875b79c4e0fba,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
coveragepy,2022-10-04 06:31:05.168000,"{coveragepy,centipede,aflplusplus}","{08712e99bbfff973cca786aab04875b79c4e0fba,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-05 06:29:29.661000,"{coveragepy,centipede,aflplusplus}","{66be37c2a00ed18f657404adee18d5674ff8cab1,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",813.0,3196.0,813.0,3196.0,0.0,0.0
