project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cpuinfo,2023-05-12 06:32:43.620000,{cpuinfo},{b16eacd5291c99dfcf88c9a0b575d577ea456753},2023-05-13 06:04:58.734000,{cpuinfo},{f44a9dabb2192ffb203ddd0c71f6373c7d82faed},321.0,1652.0,320.0,1652.0,0.0,-0.060532687651331685
cpuinfo,2023-06-23 06:11:39.920000,{cpuinfo},{f44a9dabb2192ffb203ddd0c71f6373c7d82faed},2023-06-24 06:59:39.370000,{cpuinfo},{a4dc1da46c9206797d4a354201c27d7a01090095},321.0,1652.0,321.0,1652.0,0.0,0.0
cpuinfo,2023-06-27 06:26:33.598000,{cpuinfo},{a4dc1da46c9206797d4a354201c27d7a01090095},2023-06-28 07:24:05.426000,{cpuinfo},{5366f69c0f998e943a338f282b774c6a4386b005},321.0,1652.0,320.0,1652.0,0.0,-0.060532687651331685
cpuinfo,2023-07-08 06:14:27.669000,{cpuinfo},{5366f69c0f998e943a338f282b774c6a4386b005},2023-07-09 06:20:43.222000,{cpuinfo},{512e9d0258212d6759729330b445fa41f4fa0a49},321.0,1652.0,320.0,1652.0,0.0,-0.060532687651331685
cpuinfo,2023-07-13 07:10:42.072000,{cpuinfo},{512e9d0258212d6759729330b445fa41f4fa0a49},2023-07-14 07:09:33.249000,{cpuinfo},{87d8234510367db49a65535021af5e1838a65ac2},320.0,1652.0,320.0,1652.0,0.0,0.0
cpuinfo,2023-07-18 06:05:43.361000,{cpuinfo},{87d8234510367db49a65535021af5e1838a65ac2},2023-07-19 06:37:06.390000,{cpuinfo},{47727656bd89a8243fc4aa25eec34732c0394a75},321.0,1652.0,321.0,1652.0,0.0,0.0
cpuinfo,2023-07-19 06:37:06.390000,{cpuinfo},{47727656bd89a8243fc4aa25eec34732c0394a75},2023-07-20 07:16:33.819000,{cpuinfo},{4e72fe75989da328a6c52b3fb2e87f25aa71b0c8},321.0,1652.0,321.0,1652.0,0.0,0.0
cpuinfo,2023-07-20 07:16:33.819000,{cpuinfo},{4e72fe75989da328a6c52b3fb2e87f25aa71b0c8},2023-07-21 06:18:59.493000,{cpuinfo},{60480b7098c8ddc73d611285fc478dec66e4edf9},321.0,1652.0,321.0,1652.0,0.0,0.0
cpuinfo,2023-07-26 07:17:57.824000,{cpuinfo},{60480b7098c8ddc73d611285fc478dec66e4edf9},2023-07-27 06:19:34.964000,{cpuinfo},{d7069b3919d1b65da5e8e333cb5817570a30b49a},320.0,1652.0,320.0,1652.0,0.0,0.0
cpuinfo,2023-08-10 06:04:38.482000,{cpuinfo},{d7069b3919d1b65da5e8e333cb5817570a30b49a},2023-08-11 06:53:30.904000,{cpuinfo},{c13d0bbb266d200a13532b5915d704c30d21081b},321.0,1652.0,321.0,1652.0,0.0,0.0
cpuinfo,2023-08-15 06:52:16.542000,{cpuinfo},{c13d0bbb266d200a13532b5915d704c30d21081b},2023-08-16 06:45:12.201000,{cpuinfo},{859edec185f1013e5f7d0463fa3a9415ecf2a8d8},319.0,1652.0,321.0,1652.0,0.0,0.12106537530266337
cpuinfo,2023-08-16 06:45:12.201000,{cpuinfo},{859edec185f1013e5f7d0463fa3a9415ecf2a8d8},2023-08-17 06:34:30.679000,{cpuinfo},{959002f82d7962a473d8bf301845f2af720e0aa4},321.0,1652.0,319.0,1652.0,0.0,-0.12106537530266337
cpuinfo,2023-10-19 07:21:18.280000,{cpuinfo},{959002f82d7962a473d8bf301845f2af720e0aa4},2023-10-20 06:08:48.892000,{cpuinfo},{76d5e8f5b563daa65340a60fce0e9aec73a936df},321.0,1652.0,320.0,1652.0,0.0,-0.060532687651331685
cpuinfo,2023-11-03 06:15:12.553000,{cpuinfo},{76d5e8f5b563daa65340a60fce0e9aec73a936df},2023-11-04 06:37:51.772000,{cpuinfo},{d6860c477c99f1fce9e28eb206891af3c0e1a1d7},321.0,1652.0,321.0,1659.0,7.0,-0.08198731112268831
cpuinfo,2023-11-14 06:20:11.715000,{cpuinfo},{d6860c477c99f1fce9e28eb206891af3c0e1a1d7},2023-11-15 06:07:18.482000,{cpuinfo},{4e5be9e1c6c5895bc5105a92d587bc9df8d2522b},319.0,1659.0,321.0,1812.0,153.0,-1.513219085941028
cpuinfo,2023-11-16 06:13:57.594000,{cpuinfo},{4e5be9e1c6c5895bc5105a92d587bc9df8d2522b},2023-11-17 06:04:44.023000,{cpuinfo},{20bd32c1b50d8d70f8ddd67e7e8782bf3847ebad},320.0,1812.0,320.0,1812.0,0.0,0.0
cpuinfo,2023-11-20 07:20:42.825000,{cpuinfo},{20bd32c1b50d8d70f8ddd67e7e8782bf3847ebad},2023-11-21 06:55:18.457000,{cpuinfo},{ef634603954d88d2643d5809011288b890ac126e},320.0,1812.0,319.0,1812.0,0.0,-0.05518763796909454
cpuinfo,2023-11-28 07:11:13.539000,{cpuinfo},{ef634603954d88d2643d5809011288b890ac126e},2023-11-29 07:18:05.696000,{cpuinfo},{9d809924011af8ff49dadbda1499dc5193f1659c},321.0,1812.0,319.0,1812.0,0.0,-0.11037527593818552
cpuinfo,2023-11-30 06:41:48.399000,{cpuinfo},{9d809924011af8ff49dadbda1499dc5193f1659c},2023-12-01 06:59:58.662000,{cpuinfo},{b8b29a164e7704b75ad66b072aa2db409cc941fd},321.0,1812.0,319.0,1812.0,0.0,-0.11037527593818552
cpuinfo,2023-12-06 07:13:00.631000,{cpuinfo},{b8b29a164e7704b75ad66b072aa2db409cc941fd},2023-12-08 07:05:36.330000,{cpuinfo},{2f4c278f7aa3e9a451c14c3e9a02c3e091140d96},316.0,1812.0,321.0,1812.0,0.0,0.2759381898454727
cpuinfo,2024-01-05 06:15:05.264000,{cpuinfo},{2f4c278f7aa3e9a451c14c3e9a02c3e091140d96},2024-01-06 07:03:28.846000,{cpuinfo},{42bff7ad39de3eb520cb20ab27f51ed816935edc},319.0,1812.0,350.0,1908.0,96.0,0.7389590014855543
cpuinfo,2024-01-08 06:16:39.459000,{cpuinfo},{42bff7ad39de3eb520cb20ab27f51ed816935edc},2024-01-09 06:21:27.143000,{cpuinfo},{76cc10d627add77922dc24521b332a055a4d6d77},350.0,1908.0,348.0,1908.0,0.0,-0.10482180293501386
cpuinfo,2024-01-22 06:56:14.061000,{cpuinfo},{76cc10d627add77922dc24521b332a055a4d6d77},2024-01-23 08:16:05.342000,{cpuinfo},{9321265af2078e98b91774a53bdccaea0f6665f8},350.0,1908.0,350.0,1908.0,0.0,0.0
cpuinfo,2024-01-23 08:16:05.342000,{cpuinfo},{9321265af2078e98b91774a53bdccaea0f6665f8},2024-01-24 07:16:18.479000,{cpuinfo},{9484a6c590f831a30c1eec1311568b1a967a89dc},350.0,1908.0,348.0,1908.0,0.0,-0.10482180293501386
cpuinfo,2024-02-26 06:22:45.222000,{cpuinfo},{9484a6c590f831a30c1eec1311568b1a967a89dc},2024-02-27 06:12:46.601000,{cpuinfo},{aa4b2163b99ac9534194520f70b93eeefb0b3b4e},345.0,1908.0,345.0,1908.0,0.0,0.0
cpuinfo,2024-03-15 06:30:12.325000,{cpuinfo},{aa4b2163b99ac9534194520f70b93eeefb0b3b4e},2024-03-16 06:30:08.536000,{cpuinfo},{fb08ae018ef8d8f71e3a2960c0982f90b688fe06},350.0,1908.0,349.0,1908.0,0.0,-0.05241090146750693
cpuinfo,2024-03-16 06:30:08.536000,{cpuinfo},{fb08ae018ef8d8f71e3a2960c0982f90b688fe06},2024-03-17 06:19:36.455000,{cpuinfo},{6543fec09b2f04ac4a666882998b534afc9c1349},349.0,1908.0,349.0,1908.0,0.0,0.0
cpuinfo,2024-03-27 06:40:32.574000,{cpuinfo},{6543fec09b2f04ac4a666882998b534afc9c1349},2024-03-28 06:28:36.454000,{cpuinfo},{f42f5eaf0bbeabd3a1153651cd2a5989faac4f58},350.0,1908.0,345.0,1936.0,28.0,-0.5235675797425401
cpuinfo,2024-04-17 06:38:36.437000,{cpuinfo},{f42f5eaf0bbeabd3a1153651cd2a5989faac4f58},2024-04-18 02:41:18.377000,{cpuinfo},{3c8b1533ac03dd6531ab6e7b9245d488f13a82a5},350.0,1936.0,350.0,1957.0,21.0,-0.1939952786564021
cpuinfo,2024-06-02 06:20:57.176000,{cpuinfo},{3c8b1533ac03dd6531ab6e7b9245d488f13a82a5},2024-06-03 06:21:37.773000,{cpuinfo},{05332fd802d9109a2a151ec32154b107c1e5caf9},349.0,1957.0,349.0,1957.0,0.0,0.0
cpuinfo,2024-07-09 06:11:31.182000,{cpuinfo},{05332fd802d9109a2a151ec32154b107c1e5caf9},2024-07-10 06:07:19.354000,{cpuinfo},{ca678952a9a8eaa6de112d154e8e104b22f9ab3f},346.0,1957.0,351.0,1957.0,0.0,0.2554931016862554
cpuinfo,2024-08-07 06:30:34.475000,{cpuinfo},{ca678952a9a8eaa6de112d154e8e104b22f9ab3f},2024-08-08 06:08:29.129000,{cpuinfo},{16bfc1622c6902d6f91d316ec54894910c620325},351.0,1957.0,350.0,1964.0,7.0,-0.11484180762149876
