project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
croniter,2022-09-05 06:21:31.839000,"{croniter,aflplusplus}","{bb5a45196e5f8f15fd0890f4ee5e9697671a3fe2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:11:46.247000,"{croniter,centipede,aflplusplus}","{bb5a45196e5f8f15fd0890f4ee5e9697671a3fe2,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",4686.0,21923.0,4686.0,21923.0,0.0,0.0
croniter,2022-09-06 06:11:46.247000,"{croniter,centipede,aflplusplus}","{bb5a45196e5f8f15fd0890f4ee5e9697671a3fe2,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:03:39.272000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",4686.0,21923.0,4686.0,21926.0,3.0,-0.0029245843074150457
croniter,2022-09-07 06:03:39.272000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:05:35.705000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",4686.0,21926.0,4686.0,21926.0,0.0,0.0
croniter,2022-09-11 06:23:06.782000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:05:28.272000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",4686.0,21926.0,4686.0,21926.0,0.0,0.0
croniter,2022-09-15 06:16:25.376000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:36:28.434000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",4686.0,21926.0,4686.0,21926.0,0.0,0.0
croniter,2022-09-19 06:05:18.833000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:26:44.501000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",4686.0,21926.0,4686.0,21926.0,0.0,0.0
croniter,2022-09-21 06:34:54.721000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:44:55.545000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4686.0,21926.0,4686.0,21926.0,0.0,0.0
croniter,2022-10-26 19:10:23.815000,"{croniter,centipede,aflplusplus}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:48:10.639000,"{croniter,centipede}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,baa82e7189677bb9086beb5d9b5e58018d991607}",4689.0,21929.0,4689.0,21929.0,0.0,0.0
croniter,2022-11-16 06:34:40.129000,"{croniter,centipede}","{8204e097c0fea16838cb9a21a768c50ef45ad6b9,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:39:38.717000,{croniter},{8204e097c0fea16838cb9a21a768c50ef45ad6b9},4689.0,21929.0,4689.0,21929.0,0.0,0.0
croniter,2022-11-22 06:24:28.845000,{croniter},{8204e097c0fea16838cb9a21a768c50ef45ad6b9},2022-11-23 06:29:44.065000,{croniter},{523e25fda9415e9a76d6294ea32302de2d9e2703},4617.0,21928.0,4617.0,21928.0,0.0,0.0
croniter,2023-04-07 06:40:11.800000,{croniter},{523e25fda9415e9a76d6294ea32302de2d9e2703},2023-04-08 07:26:38.851000,{croniter},{e9f72c7c45f9de7910febafffd7fa71e1f0c6a82},1098.0,2553.0,1107.0,2563.0,10.0,0.18334675920046095
croniter,2023-04-12 06:29:03.421000,{croniter},{e9f72c7c45f9de7910febafffd7fa71e1f0c6a82},2023-04-13 06:36:38.427000,{croniter},{aa0a1f2b01e709ba0505ffa59adb9174bda25f7f},1115.0,2563.0,1156.0,2606.0,43.0,0.8554645496796098
croniter,2023-05-25 06:11:47.253000,{croniter},{aa0a1f2b01e709ba0505ffa59adb9174bda25f7f},2023-05-26 06:27:51.775000,{croniter},{a62a5af478ab547f2b648ca7dd7fa9b6af12bb90},1158.0,2606.0,1164.0,2612.0,6.0,0.1276357187266015
croniter,2023-06-15 07:06:50.844000,{croniter},{a62a5af478ab547f2b648ca7dd7fa9b6af12bb90},2023-06-16 07:44:18.629000,{croniter},{24bd21607d7bcf8c50ccc55eca8c485f5f8b88b4},1164.0,2612.0,1173.0,2622.0,10.0,0.17328927218505896
