project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cryptography,2022-05-27 06:31:29.829000,"{cryptography,aflplusplus}","{f70e334a52fdf5bd1ad42460efb78d989f8535d9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-28 06:43:30.610000,"{cryptography,aflplusplus}","{0077708d891c4647a12aacaa81c525f3ca1c57c7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5002.0,13997.0,5003.0,14000.0,3.0,-0.0005149062554252737
cryptography,2022-05-30 06:14:19.861000,"{cryptography,aflplusplus}","{0077708d891c4647a12aacaa81c525f3ca1c57c7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-31 06:10:44.028000,"{cryptography,aflplusplus}","{1df2544a73d8d13a9075e8578e85d52db15c41bd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5003.0,14000.0,5003.0,14000.0,0.0,0.0
cryptography,2022-05-31 06:10:44.028000,"{cryptography,aflplusplus}","{1df2544a73d8d13a9075e8578e85d52db15c41bd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-01 06:39:32.620000,"{cryptography,aflplusplus}","{0ded455a53d9b2de61d5cac5149779d0e95d91bd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5003.0,14000.0,5009.0,14015.0,15.0,0.00456398756434595
cryptography,2022-06-02 06:38:00.541000,"{cryptography,aflplusplus}","{0ded455a53d9b2de61d5cac5149779d0e95d91bd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-03 06:11:49.348000,"{cryptography,aflplusplus}","{3e1533e92fb47addcdd03ccf72b94f3060e23d91,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5009.0,14015.0,0.0,0.0
cryptography,2022-06-03 06:11:49.348000,"{cryptography,aflplusplus}","{3e1533e92fb47addcdd03ccf72b94f3060e23d91,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-04 06:29:32.693000,"{cryptography,aflplusplus}","{da73db4019dff7da3d7ec6348d163dd30cfa5202,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5009.0,14015.0,0.0,0.0
cryptography,2022-06-04 06:29:32.693000,"{cryptography,aflplusplus}","{da73db4019dff7da3d7ec6348d163dd30cfa5202,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-05 06:08:15.182000,"{cryptography,aflplusplus}","{ba5701f4ed31768dc5706fced1ca3f82d5cb98a3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5009.0,14015.0,0.0,0.0
cryptography,2022-06-05 06:08:15.182000,"{cryptography,aflplusplus}","{ba5701f4ed31768dc5706fced1ca3f82d5cb98a3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-06 06:07:58.414000,"{cryptography,aflplusplus}","{b4cf8acc720f87aa4bad2e4de83d82c8357d87c7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5009.0,14015.0,0.0,0.0
cryptography,2022-06-06 06:07:58.414000,"{cryptography,aflplusplus}","{b4cf8acc720f87aa4bad2e4de83d82c8357d87c7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-07 06:38:28.319000,"{cryptography,aflplusplus}","{a200e4096c2bcd693f6496c0ff8f2f761142c528,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5009.0,14015.0,0.0,0.0
cryptography,2022-06-07 06:38:28.319000,"{cryptography,aflplusplus}","{a200e4096c2bcd693f6496c0ff8f2f761142c528,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-08 06:06:23.106000,"{cryptography,aflplusplus}","{03a3603b9028751d88e1d3988d06f46ed428015c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5009.0,14015.0,0.0,0.0
cryptography,2022-06-08 06:06:23.106000,"{cryptography,aflplusplus}","{03a3603b9028751d88e1d3988d06f46ed428015c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-09 06:40:02.398000,"{cryptography,aflplusplus}","{749150e1fdc6d1fb82e338927ed3139c1d08900e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5009.0,14015.0,5011.0,14017.0,2.0,0.009168826671427155
cryptography,2022-06-09 06:40:02.398000,"{cryptography,aflplusplus}","{749150e1fdc6d1fb82e338927ed3139c1d08900e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-10 06:06:35.447000,"{cryptography,aflplusplus}","{c6b121d321ae87a71be76ac2976fbddf426d08d6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5011.0,14017.0,5011.0,14017.0,0.0,0.0
cryptography,2022-06-10 06:06:35.447000,"{cryptography,aflplusplus}","{c6b121d321ae87a71be76ac2976fbddf426d08d6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-11 06:06:35.293000,"{cryptography,aflplusplus}","{fa672d622be154963ea2a58dde586dd6784fadb8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5011.0,14017.0,5011.0,14017.0,0.0,0.0
cryptography,2022-06-14 06:07:20.896000,"{cryptography,aflplusplus}","{fa672d622be154963ea2a58dde586dd6784fadb8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-15 06:19:26.532000,"{cryptography,aflplusplus}","{9c7484046fc5715448435a0d75c1aba71cbff271,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5011.0,14017.0,5011.0,14017.0,0.0,0.0
cryptography,2022-06-15 06:19:26.532000,"{cryptography,aflplusplus}","{9c7484046fc5715448435a0d75c1aba71cbff271,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-16 06:24:18.727000,"{cryptography,aflplusplus}","{3d3f3bb435a520affa0739a4e298a1f277a63398,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5011.0,14017.0,5011.0,14017.0,0.0,0.0
cryptography,2022-06-18 06:18:37.363000,"{cryptography,aflplusplus}","{3d3f3bb435a520affa0739a4e298a1f277a63398,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-19 06:15:05.878000,"{cryptography,aflplusplus}","{d4f10821c559c775993bb2af967c75868cb56cbc,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5011.0,14017.0,5011.0,14017.0,0.0,0.0
cryptography,2022-06-19 06:15:05.878000,"{cryptography,aflplusplus}","{d4f10821c559c775993bb2af967c75868cb56cbc,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-20 06:28:36.495000,"{cryptography,aflplusplus}","{6c74134cf449c2647579c4f90710842e555bcfed,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5011.0,14017.0,5012.0,14019.0,2.0,0.0020330341536549668
cryptography,2022-06-20 06:28:36.495000,"{cryptography,aflplusplus}","{6c74134cf449c2647579c4f90710842e555bcfed,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-21 06:13:44.745000,"{cryptography,aflplusplus}","{612d103afdd59cc0ad3898f69bb510ae089c96ef,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5012.0,14019.0,5012.0,14019.0,0.0,0.0
cryptography,2022-06-21 06:13:44.745000,"{cryptography,aflplusplus}","{612d103afdd59cc0ad3898f69bb510ae089c96ef,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-22 06:11:30.275000,"{cryptography,aflplusplus}","{97a53392017080eea27e6a6b858e898efb1fa066,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5012.0,14019.0,5012.0,14019.0,0.0,0.0
cryptography,2022-06-22 06:11:30.275000,"{cryptography,aflplusplus}","{97a53392017080eea27e6a6b858e898efb1fa066,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-23 06:38:37.870000,"{cryptography,aflplusplus}","{bf0ea9df2da0565714e5d2bf674d7064f79a9094,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5012.0,14019.0,nan,nan,nan,nan
cryptography,2022-06-23 06:38:37.870000,"{cryptography,aflplusplus}","{bf0ea9df2da0565714e5d2bf674d7064f79a9094,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-24 06:19:36.142000,"{cryptography,aflplusplus}","{a6afd20b7e78173899c7e28082909815784f7294,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,5554.0,14704.0,nan,nan
cryptography,2022-06-25 06:12:35.511000,"{cryptography,aflplusplus}","{a6afd20b7e78173899c7e28082909815784f7294,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-26 06:56:04.194000,"{cryptography,aflplusplus}","{851c3a2cedba69c3c8bd66a02b61cad0f6201072,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5554.0,14704.0,5554.0,14704.0,0.0,0.0
cryptography,2022-06-27 07:11:40.473000,"{cryptography,aflplusplus}","{851c3a2cedba69c3c8bd66a02b61cad0f6201072,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-29 06:19:50.529000,"{cryptography,aflplusplus}","{5c33dcac2603cd09eacbb59274f0ee0064036649,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5554.0,14704.0,5554.0,14704.0,0.0,0.0
cryptography,2022-06-30 06:12:17.467000,"{cryptography,aflplusplus}","{5c33dcac2603cd09eacbb59274f0ee0064036649,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-01 06:34:27.360000,"{cryptography,aflplusplus}","{56fd22ce07b9fa9b27401989d300f6a18af97365,c208dcf9c573e3d85990c7dea777646f7fa4961c}",5554.0,14704.0,5554.0,14704.0,0.0,0.0
