project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
cryptsetup,2022-10-08 06:10:50.965000,"{cryptsetup,centipede,aflplusplus}","{cc276527c786a324fe716a15f4d06a4e85474536,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-09 06:34:20.525000,"{cryptsetup,centipede,aflplusplus}","{dab939c3c90f2cc2b4ce1abf14299796892f722f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",20519.0,240266.0,20646.0,240266.0,0.0,0.05285808229212563
cryptsetup,2022-10-10 06:10:01.543000,"{cryptsetup,centipede,aflplusplus}","{dab939c3c90f2cc2b4ce1abf14299796892f722f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-12 06:44:42.565000,"{cryptsetup,centipede,aflplusplus}","{d05a2a6c99b9ab1208fd1d5a4339d9840fdd2d20,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",21161.0,240266.0,21883.0,240230.0,-36.0,0.301865144186225
cryptsetup,2022-10-13 06:32:57.106000,"{cryptsetup,centipede,aflplusplus}","{d05a2a6c99b9ab1208fd1d5a4339d9840fdd2d20,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-14 06:24:12.405000,"{cryptsetup,centipede,aflplusplus}","{d260ca66808033a854c6c2bb317d91f3cea588b6,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",21883.0,240230.0,22511.0,240274.0,44.0,0.2597001580309133
cryptsetup,2022-10-14 06:24:12.405000,"{cryptsetup,centipede,aflplusplus}","{d260ca66808033a854c6c2bb317d91f3cea588b6,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-15 06:09:37.959000,"{cryptsetup,centipede,aflplusplus}","{00baa9275668fccd25512d08cc2d70304808a8eb,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",22511.0,240274.0,22580.0,240274.0,0.0,0.028717214513429568
cryptsetup,2022-10-18 06:20:53.581000,"{cryptsetup,centipede,aflplusplus}","{00baa9275668fccd25512d08cc2d70304808a8eb,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-19 06:25:32.423000,"{cryptsetup,centipede,aflplusplus}","{23f49eca43ae86e94a91000e99f08552b8d0825e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",22988.0,240295.0,22987.0,240328.0,33.0,-0.001729706716758983
cryptsetup,2022-10-19 06:25:32.423000,"{cryptsetup,centipede,aflplusplus}","{23f49eca43ae86e94a91000e99f08552b8d0825e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-20 06:21:01.944000,"{cryptsetup,centipede,aflplusplus}","{b380fa74941647f3e9d9d41baba336d2d89e4b22,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",22987.0,240328.0,23012.0,240354.0,26.0,0.009366659333657879
cryptsetup,2022-10-20 06:21:01.944000,"{cryptsetup,centipede,aflplusplus}","{b380fa74941647f3e9d9d41baba336d2d89e4b22,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-20 23:35:42.118000,"{cryptsetup,centipede,aflplusplus}","{3e4c69a01709d35322ffa17c5360608907a207d7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",23012.0,240354.0,23012.0,240354.0,0.0,0.0
cryptsetup,2022-10-22 06:53:53.042000,"{cryptsetup,centipede,aflplusplus}","{3e4c69a01709d35322ffa17c5360608907a207d7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-23 06:12:04.772000,"{cryptsetup,centipede,aflplusplus}","{cde7b90735b55a526078efb0194af1f4c0d7330c,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",23323.0,240345.0,23408.0,240785.0,440.0,0.01756859615810491
cryptsetup,2022-10-26 15:07:18.939000,"{cryptsetup,centipede,aflplusplus}","{cde7b90735b55a526078efb0194af1f4c0d7330c,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 18:37:07.160000,"{cryptsetup,centipede,aflplusplus}","{57d4c677bdf835e4436f2a0c5a7b51f437da142e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",23476.0,240747.0,23476.0,240747.0,0.0,0.0
cryptsetup,2022-10-26 19:17:28.948000,"{cryptsetup,centipede,aflplusplus}","{57d4c677bdf835e4436f2a0c5a7b51f437da142e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:24:33.575000,"{cryptsetup,centipede}","{57d4c677bdf835e4436f2a0c5a7b51f437da142e,baa82e7189677bb9086beb5d9b5e58018d991607}",23476.0,240747.0,23463.0,240725.0,-22.0,-0.004509174596222465
