project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
curl,2019-03-13 13:50:11.030000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,dd8a19f8a05b59394d1ab33c09497e8db884742a,356046}",2019-03-14 13:49:04.484000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,697147896375124a1fb4e216de48bbd42019d82a,356140}",48778.0,195440.0,48774.0,195437.0,-3.0,-0.001663584018544384
curl,2019-03-14 13:49:04.484000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,697147896375124a1fb4e216de48bbd42019d82a,356140}",2019-03-15 13:48:55.040000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,76cc14ba43a5df551d67f3a9ea012059aea67a39,356258}",48774.0,195437.0,48770.0,195437.0,0.0,-0.0020466953545117406
curl,2019-03-15 13:48:55.040000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,76cc14ba43a5df551d67f3a9ea012059aea67a39,356258}",2019-03-16 13:48:27.678000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,76cc14ba43a5df551d67f3a9ea012059aea67a39,356322}",48770.0,195437.0,48775.0,195437.0,0.0,0.0025583691931423402
curl,2019-03-16 13:48:27.678000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,76cc14ba43a5df551d67f3a9ea012059aea67a39,356322}",2019-03-17 13:49:24.814000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,76cc14ba43a5df551d67f3a9ea012059aea67a39,356330}",48775.0,195437.0,48770.0,195437.0,0.0,-0.0025583691931423402
curl,2019-03-17 13:49:24.814000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,76cc14ba43a5df551d67f3a9ea012059aea67a39,356330}",2019-03-18 13:49:45.976000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,dc5edf912495b521bcd223ce7f54f8da6b7e0c14,356366}",48770.0,195437.0,48775.0,195441.0,4.0,0.002047588108741394
curl,2019-03-18 13:49:45.976000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,dc5edf912495b521bcd223ce7f54f8da6b7e0c14,356366}",2019-03-20 13:48:51.273000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,7550f62d079477413590ac79281159dbbde341b7,356553}",48775.0,195441.0,48771.0,195441.0,0.0,-0.002046653465754389
curl,2019-03-20 13:48:51.273000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,7550f62d079477413590ac79281159dbbde341b7,356553}",2019-03-21 13:48:59.988000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,efd9fba68189c70c2a48d9726b25df25ba87fcd0,356663}",48771.0,195441.0,48778.0,195441.0,0.0,0.003581643565066628
curl,2019-03-21 13:48:59.988000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,efd9fba68189c70c2a48d9726b25df25ba87fcd0,356663}",2019-03-22 13:50:30.560000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,28a55a5309463a9ce078814168ab79a868002161,356747}",48778.0,195441.0,48771.0,195441.0,0.0,-0.003581643565066628
curl,2019-03-22 13:50:30.560000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,28a55a5309463a9ce078814168ab79a868002161,356747}",2019-03-23 13:49:30.521000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,7c46691178f37b8da8360ea1ef0d8bebb060abf4,356831}",48771.0,195441.0,48771.0,195441.0,0.0,0.0
curl,2019-03-23 13:49:30.521000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,7c46691178f37b8da8360ea1ef0d8bebb060abf4,356831}",2019-03-24 13:48:49.281000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,48287c9c96c5e9f0dd5a23bda7c4b54789a60316,356853}",48771.0,195441.0,48809.0,195441.0,0.0,0.019443207924645378
curl,2019-03-24 13:48:49.281000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,48287c9c96c5e9f0dd5a23bda7c4b54789a60316,356853}",2019-03-25 13:54:19.443000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,a375ab3be458c1aed126efc9739cf4d6eae9d59b,356894}",48809.0,195441.0,48809.0,195441.0,0.0,0.0
curl,2019-03-25 13:54:19.443000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,a375ab3be458c1aed126efc9739cf4d6eae9d59b,356894}",2019-04-01 13:49:54.228000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,18d11614293c455419843a527f3ead7f63fddac7,357381}",48809.0,195441.0,48776.0,195442.0,1.0,-0.017012585714702766
curl,2019-04-01 13:49:54.228000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,18d11614293c455419843a527f3ead7f63fddac7,357381}",2019-04-02 15:12:41.256000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,d110d96b981fb0d0df54ded3f7fc876be891e2e3,357478}",48776.0,195442.0,48776.0,195442.0,0.0,0.0
curl,2019-04-02 15:12:41.256000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,d110d96b981fb0d0df54ded3f7fc876be891e2e3,357478}",2019-04-03 13:44:52.898000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,6227e2bd07246de7a751b8de8cece6020802c264,357577}",48776.0,195442.0,48779.0,195453.0,11.0,0.00013034125168687183
curl,2019-04-03 13:44:52.898000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,6227e2bd07246de7a751b8de8cece6020802c264,357577}",2019-04-04 13:46:45.291000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,16c1e444f33c2cf6e292458e65e74c263d2d6b9e,357691}",48779.0,195453.0,48783.0,195453.0,0.0,0.002046527809753229
curl,2019-04-04 13:46:45.291000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,16c1e444f33c2cf6e292458e65e74c263d2d6b9e,357691}",2019-04-05 13:48:42.871000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,55734f3a27c2d495f724ea50d196fc9d9a91966b,357760}",48783.0,195453.0,48780.0,195450.0,-3.0,-0.001151819776886498
curl,2019-04-05 13:48:42.871000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,55734f3a27c2d495f724ea50d196fc9d9a91966b,357760}",2019-04-06 13:47:04.426000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,55734f3a27c2d495f724ea50d196fc9d9a91966b,357838}",48780.0,195450.0,48780.0,195450.0,0.0,0.0
curl,2019-04-06 13:47:04.426000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,55734f3a27c2d495f724ea50d196fc9d9a91966b,357838}",2019-04-07 13:45:55.299000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,2f44e94efb3df8e50bb2ddbc4ec6b569a6424517,357864}",48780.0,195450.0,48430.0,194846.0,-604.0,-0.10226278708062608
curl,2019-04-07 13:45:55.299000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,2f44e94efb3df8e50bb2ddbc4ec6b569a6424517,357864}",2019-04-08 13:46:04.534000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,f4b69012307580119409100f5934d7621ea545c9,357910}",48430.0,194846.0,48402.0,194858.0,12.0,-0.01590012379860184
curl,2019-04-08 13:46:04.534000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,f4b69012307580119409100f5934d7621ea545c9,357910}",2019-04-09 13:49:06.362000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,c4e0be44089408d65220ab0174ad3443724092a0,358002}",48402.0,194858.0,48365.0,194858.0,0.0,-0.018988186268973806
curl,2019-04-09 13:49:06.362000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,c4e0be44089408d65220ab0174ad3443724092a0,358002}",2019-04-10 13:48:36.867000,"{curl_fuzzer,curl,libfuzzer}","{2d3d4983a13461cb991d5974c8db44246f05d1a8,c4e0be44089408d65220ab0174ad3443724092a0,358082}",48365.0,194858.0,48369.0,194858.0,0.0,0.0020527768939402335
