project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
dav1d,2019-03-13 13:54:21.965000,"{dav1d,libfuzzer}","{408d0486889f4f6d92f73abdeaef250659a10bc7,356048}",2019-03-14 13:53:34.338000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356145}",14831.0,15152.0,14831.0,15152.0,0.0,0.0
dav1d,2019-03-14 13:53:34.338000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356145}",2019-03-15 13:52:47.627000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356259}",14831.0,15152.0,14831.0,15152.0,0.0,0.0
dav1d,2019-03-15 13:52:47.627000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356259}",2019-03-16 13:52:24.263000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356323}",14831.0,15152.0,14721.0,15152.0,0.0,-0.7259767687434078
dav1d,2019-03-16 13:52:24.263000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356323}",2019-03-17 13:52:18.836000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356330}",14721.0,15152.0,14831.0,15152.0,0.0,0.7259767687434078
dav1d,2019-03-17 13:52:18.836000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356330}",2019-03-18 13:53:46.787000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356367}",14831.0,15152.0,14831.0,15152.0,0.0,0.0
dav1d,2019-03-18 13:53:46.787000,"{dav1d,libfuzzer}","{3680b11a60ed63893705d877c75e78a1a4860f3c,356367}",2019-03-19 13:52:14.873000,"{dav1d,libfuzzer}","{585ac4624890355f6df219cf081d055d367347c2,356453}",14831.0,15152.0,14837.0,15158.0,6.0,0.0008385798417833712
dav1d,2019-03-19 13:52:14.873000,"{dav1d,libfuzzer}","{585ac4624890355f6df219cf081d055d367347c2,356453}",2019-03-20 13:50:48.521000,"{dav1d,libfuzzer}","{585ac4624890355f6df219cf081d055d367347c2,356553}",14837.0,15158.0,14837.0,15158.0,0.0,0.0
dav1d,2019-03-20 13:50:48.521000,"{dav1d,libfuzzer}","{585ac4624890355f6df219cf081d055d367347c2,356553}",2019-03-21 13:52:18.605000,"{dav1d,libfuzzer}","{080200166645d1c2026be2fac8392e5ab21e557a,356664}",14837.0,15158.0,14837.0,15158.0,0.0,0.0
dav1d,2019-03-21 13:52:18.605000,"{dav1d,libfuzzer}","{080200166645d1c2026be2fac8392e5ab21e557a,356664}",2019-03-22 13:53:59.403000,"{dav1d,libfuzzer}","{080200166645d1c2026be2fac8392e5ab21e557a,356750}",14837.0,15158.0,14727.0,15158.0,0.0,-0.725689404934684
dav1d,2019-03-22 13:53:59.403000,"{dav1d,libfuzzer}","{080200166645d1c2026be2fac8392e5ab21e557a,356750}",2019-03-23 13:51:41.876000,"{dav1d,libfuzzer}","{080200166645d1c2026be2fac8392e5ab21e557a,356832}",14727.0,15158.0,14837.0,15158.0,0.0,0.725689404934684
