project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
dill,2023-02-19 06:30:36.348000,{dill},{57dfdecdbae61d634dcbe2a5af5c3d74311afd40},2023-02-20 06:35:22.927000,{dill},{0d996d039216c073161204fe8ffea057351c20c3},717.0,2739.0,717.0,2739.0,0.0,0.0
dill,2023-02-20 06:35:22.927000,{dill},{0d996d039216c073161204fe8ffea057351c20c3},2023-02-21 06:03:52.538000,{dill},{0e3e7b59715496b54c088162a0091d313d86aa4f},717.0,2739.0,717.0,2739.0,0.0,0.0
dill,2023-03-07 06:04:05.841000,{dill},{0e3e7b59715496b54c088162a0091d313d86aa4f},2023-03-08 06:04:28.892000,{dill},{322cf1b00c2ca8035e5efe0ff28b4e19394b8402},736.0,2749.0,743.0,2791.0,42.0,-0.1520894409471616
dill,2023-03-13 06:32:42.462000,{dill},{322cf1b00c2ca8035e5efe0ff28b4e19394b8402},2023-03-14 06:20:54.830000,{dill},{a4885301c8fa27477261464dcdfd6f673161f188},743.0,2791.0,743.0,2791.0,0.0,0.0
dill,2023-03-20 06:06:18.349000,{dill},{a4885301c8fa27477261464dcdfd6f673161f188},2023-03-22 06:31:19.845000,{dill},{0379c71a011adc67724ee1f6278a727b2261d917},743.0,2791.0,744.0,2792.0,1.0,0.02628177553926392
dill,2023-03-26 06:04:02.157000,{dill},{0379c71a011adc67724ee1f6278a727b2261d917},2023-03-27 07:31:57.323000,{dill},{580ccdd3b755ed182ddee8e839f4692b8b596a95},744.0,2792.0,745.0,2812.0,20.0,-0.15396560789412916
dill,2023-04-03 07:27:19.737000,{dill},{580ccdd3b755ed182ddee8e839f4692b8b596a95},2023-04-04 07:32:16.954000,{dill},{4e420e3e754706875e664dfc5566dae6727cc3bd},745.0,2812.0,745.0,2812.0,0.0,0.0
dill,2023-05-23 06:38:46.819000,{dill},{4e420e3e754706875e664dfc5566dae6727cc3bd},2023-05-24 06:46:30.209000,{dill},{b48198f2ff556a98e2ae4514efecf8754cd0e25e},745.0,2812.0,745.0,2812.0,0.0,0.0
dill,2023-05-28 07:33:17.235000,{dill},{b48198f2ff556a98e2ae4514efecf8754cd0e25e},2023-05-29 06:07:49.897000,{dill},{f7a2282b99dd0cd2dfe1ac30a57d5719d59eae88},745.0,2812.0,746.0,2815.0,3.0,0.007289237447228203
dill,2023-06-06 07:13:11.823000,{dill},{f7a2282b99dd0cd2dfe1ac30a57d5719d59eae88},2023-06-07 07:19:33.521000,{dill},{4f3fe3da7ebfc1b7a1cc88fbc3f0ebfbd1973aa3},746.0,2815.0,746.0,2816.0,1.0,-0.00941082673987026
dill,2023-06-24 06:11:48.226000,{dill},{4f3fe3da7ebfc1b7a1cc88fbc3f0ebfbd1973aa3},2023-06-25 06:54:45.604000,{dill},{c172f595f4ff28b274e744dbfc376838b1797016},746.0,2816.0,746.0,2815.0,-1.0,0.00941082673987026
dill,2023-06-30 06:28:56.830000,{dill},{c172f595f4ff28b274e744dbfc376838b1797016},2023-07-01 06:46:41.560000,{dill},{d031d061b96acb59567d80f91c1d07227acaeec0},746.0,2815.0,746.0,2815.0,0.0,0.0
dill,2023-07-05 06:04:25.772000,{dill},{d031d061b96acb59567d80f91c1d07227acaeec0},2023-07-06 06:12:17.905000,{dill},{9338a483f4b9eaaac91f95400e8fe5595e6ca775},746.0,2815.0,746.0,2815.0,0.0,0.0
