project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
dng_sdk,2021-10-04 09:09:16.489000,"{dng_sdk,aflplusplus}","{ecabd93fc5caf3c1de5acc37ab4cbab08c3e029c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-05 07:09:40.186000,"{dng_sdk,aflplusplus}","{7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",9189.0,33377.0,9544.0,33377.0,0.0,1.0636066752554107
dng_sdk,2021-11-03 08:53:45.852000,"{dng_sdk,aflplusplus}","{7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-04 08:31:17.923000,"{exif-samples,dng_sdk,aflplusplus}","{2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",19206.0,35505.0,19209.0,35505.0,0.0,0.008449514152943038
dng_sdk,2021-11-08 11:01:20.373000,"{exif-samples,dng_sdk,aflplusplus}","{2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-09 08:50:33.842000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{a7f351d7a29150ae15d5fe9764862373b9a0dd9d,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",19484.0,35512.0,19503.0,35512.0,0.0,0.05350304122550398
dng_sdk,2021-11-09 08:50:33.842000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{a7f351d7a29150ae15d5fe9764862373b9a0dd9d,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-10 07:12:36.407000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{5063f0f62499d35f2b035478d6d49b136d01bb74,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",19503.0,35512.0,19503.0,35512.0,0.0,0.0
dng_sdk,2021-11-10 07:12:36.407000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{5063f0f62499d35f2b035478d6d49b136d01bb74,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-11 09:03:36.105000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{b175b58a96441b122ff4a62814d471aa1772952b,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",19503.0,35512.0,19650.0,35547.0,35.0,0.35946264847913767
dng_sdk,2021-11-11 09:03:36.105000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{b175b58a96441b122ff4a62814d471aa1772952b,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 10:31:07.696000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{b175b58a96441b122ff4a62814d471aa1772952b,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,533e979010ca338df6fc415d87668f8187752915}",19650.0,35547.0,19722.0,35547.0,0.0,0.20254873829015452
dng_sdk,2021-11-15 07:12:31.829000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{b175b58a96441b122ff4a62814d471aa1772952b,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,533e979010ca338df6fc415d87668f8187752915}",2021-11-16 08:11:38.579000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{c4f643aecaa32b04024903f8b5fbeeaebdb4fb79,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,533e979010ca338df6fc415d87668f8187752915}",19720.0,35547.0,19750.0,35547.0,0.0,0.08439530762088765
dng_sdk,2021-11-16 08:11:38.579000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{c4f643aecaa32b04024903f8b5fbeeaebdb4fb79,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,533e979010ca338df6fc415d87668f8187752915}",2021-11-17 07:13:48.431000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{5383db638ce7905b3938c8f11d995955bb32d06f,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,533e979010ca338df6fc415d87668f8187752915}",19750.0,35547.0,19775.0,35548.0,1.0,0.06876448058445561
dng_sdk,2021-11-17 07:13:48.431000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{5383db638ce7905b3938c8f11d995955bb32d06f,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 06:07:46.843000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{acde79e1c7d99d30deb029d880202682b66d25ee,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,132630d48d0f9fe50e9388f941433c85636587da}",19775.0,35548.0,19780.0,35550.0,2.0,0.010935076868392457
dng_sdk,2021-11-18 06:07:46.843000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{acde79e1c7d99d30deb029d880202682b66d25ee,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-19 10:10:35.607000,"{TiffLibrary,image-tiff,exif-samples,dng_sdk,aflplusplus}","{4cfc90eab55ad967b4b236f09d6d3582564d8e63,d7d63e648b4ffe772edebda808edd70c3ec4916a,2a62d69683c154ffe03b4502bdfa3248d8a1b05c,7415528a1df22d393fbaabb7bcf4df5883d5df3e,132630d48d0f9fe50e9388f941433c85636587da}",19780.0,35550.0,19748.0,35550.0,0.0,-0.09001406469760553
