project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
dovecot,2020-06-09 13:40:30.134000,"{dovecot,afl}","{f4df52788c96c2552947f616c4e37893dc36afb8,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-10 13:40:37.350000,"{dovecot,afl}","{fba805db1b2041763ff0420368fd5d8bb7763689,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1086.0,17022.0,1086.0,17110.0,88.0,-0.03281345054816409
dovecot,2020-06-15 13:40:42.826000,"{dovecot,afl}","{fba805db1b2041763ff0420368fd5d8bb7763689,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-06-16 13:39:48.145000,"{dovecot,afl}","{f5befde9939b105b490cd475df380c3220275bb6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1086.0,17110.0,1086.0,38269.0,21159.0,-3.5093593432287196
dovecot,2020-06-30 13:44:28.721000,"{dovecot,afl}","{f5befde9939b105b490cd475df380c3220275bb6,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-07-01 13:42:52.027000,"{dovecot,afl}","{f5befde9939b105b490cd475df380c3220275bb6,518e42281f77768215851d31fc61e8970ce21481}",9010.0,38574.0,9014.0,38574.0,0.0,0.010369679058431558
dovecot,2020-07-04 13:39:40.295000,"{dovecot,afl}","{f5befde9939b105b490cd475df380c3220275bb6,518e42281f77768215851d31fc61e8970ce21481}",2020-07-05 13:40:12.267000,"{dovecot,afl}","{f5befde9939b105b490cd475df380c3220275bb6,82b5e359463238d790cadbe2dd494d6a4928bff3}",8997.0,38574.0,8997.0,38574.0,0.0,0.0
dovecot,2020-09-09 06:14:32.130000,"{dovecot,afl}","{f5befde9939b105b490cd475df380c3220275bb6,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-09-12 07:21:01.057000,"{dovecot,afl}","{a35e5ca4c20479ceada42be73cf99a1668fa5df1,82b5e359463238d790cadbe2dd494d6a4928bff3}",8422.0,36459.0,8511.0,38224.0,1765.0,-0.8338049290870728
dovecot,2020-11-04 08:46:27.068000,"{dovecot,afl}","{a35e5ca4c20479ceada42be73cf99a1668fa5df1,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-07 06:22:28.555000,"{dovecot,afl}","{ee2d38fc66fafa741274eb9a6d31f2eeab83ed52,82b5e359463238d790cadbe2dd494d6a4928bff3}",8529.0,38224.0,8535.0,38323.0,99.0,-0.04198542467674571
dovecot,2020-11-17 06:49:00.431000,"{dovecot,afl}","{ee2d38fc66fafa741274eb9a6d31f2eeab83ed52,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-18 09:36:46.628000,"{dovecot,afl}","{5cf0b4a495ac027de3bb23e5b49a9c46565ba9f2,82b5e359463238d790cadbe2dd494d6a4928bff3}",8539.0,38323.0,8519.0,38304.0,-19.0,-0.0411614580162194
dovecot,2020-11-18 09:36:46.628000,"{dovecot,afl}","{5cf0b4a495ac027de3bb23e5b49a9c46565ba9f2,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-19 08:23:04.614000,"{dovecot,afl}","{977b91ddb33daa8c7a0a23df2a5c95c0a8829f40,82b5e359463238d790cadbe2dd494d6a4928bff3}",8519.0,38304.0,7286.0,35050.0,-3254.0,-1.4530505710305235
dovecot,2020-12-28 06:24:08.776000,"{dovecot,afl}","{977b91ddb33daa8c7a0a23df2a5c95c0a8829f40,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-29 09:00:49.358000,"{dovecot,afl}","{776570c099a82dec6215b98887dfc7ac380a324d,82b5e359463238d790cadbe2dd494d6a4928bff3}",8463.0,35077.0,7278.0,33921.0,-1156.0,-2.6711853891369124
dovecot,2021-01-10 07:15:31.076000,"{dovecot,afl}","{776570c099a82dec6215b98887dfc7ac380a324d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-15 07:33:21.231000,"{dovecot,afl}","{6d9008af1daf710112ffb6fc1b3da0a0e0c0625f,82b5e359463238d790cadbe2dd494d6a4928bff3}",7266.0,33921.0,0.0,36605.0,2684.0,-21.420359069602902
