project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
eigen,2019-08-16 14:01:20.512000,"{libfuzzer,eigen}","{369109,8071cda5714d7f454205b60b2f851986d53e8f33}",2019-08-17 14:05:56.415000,"{libfuzzer,eigen}","{369187,8071cda5714d7f454205b60b2f851986d53e8f33}",270.0,2534.0,270.0,2534.0,0.0,0.0
eigen,2019-08-17 14:05:56.415000,"{libfuzzer,eigen}","{369187,8071cda5714d7f454205b60b2f851986d53e8f33}",2019-08-18 14:02:48.251000,"{libfuzzer,eigen}","{369208,8071cda5714d7f454205b60b2f851986d53e8f33}",270.0,2534.0,270.0,2534.0,0.0,0.0
eigen,2019-08-18 14:02:48.251000,"{libfuzzer,eigen}","{369208,8071cda5714d7f454205b60b2f851986d53e8f33}",2019-08-19 14:26:35.619000,"{libfuzzer,eigen}","{369261,8071cda5714d7f454205b60b2f851986d53e8f33}",270.0,2534.0,270.0,2534.0,0.0,0.0
eigen,2019-08-19 14:26:35.619000,"{libfuzzer,eigen}","{369261,8071cda5714d7f454205b60b2f851986d53e8f33}",2019-08-20 14:03:05.364000,"{libfuzzer,eigen}","{369386,1ad0d300da0fe84862e5c25fcf6ac4650343aede}",270.0,2534.0,270.0,2534.0,0.0,0.0
eigen,2019-08-20 14:03:05.364000,"{libfuzzer,eigen}","{369386,1ad0d300da0fe84862e5c25fcf6ac4650343aede}",2019-08-21 14:07:17.411000,"{libfuzzer,eigen}","{369528,1ad0d300da0fe84862e5c25fcf6ac4650343aede}",270.0,2534.0,270.0,2534.0,0.0,0.0
eigen,2019-08-21 14:07:17.411000,"{libfuzzer,eigen}","{369528,1ad0d300da0fe84862e5c25fcf6ac4650343aede}",2019-08-22 14:07:45.946000,"{libfuzzer,eigen}","{369652,ce9508807f3fa0ee1244ea80f3f0e695ab14bef2}",270.0,2534.0,270.0,2573.0,39.0,-0.1615035133532583
eigen,2019-08-22 14:07:45.946000,"{libfuzzer,eigen}","{369652,ce9508807f3fa0ee1244ea80f3f0e695ab14bef2}",2019-08-23 14:07:20.174000,"{libfuzzer,eigen}","{369759,2787c186a6701ccd37557d076f937fa12c299ca1}",270.0,2573.0,270.0,2573.0,0.0,0.0
eigen,2019-08-23 14:07:20.174000,"{libfuzzer,eigen}","{369759,2787c186a6701ccd37557d076f937fa12c299ca1}",2019-08-24 13:59:45.174000,"{libfuzzer,eigen}","{369846,2787c186a6701ccd37557d076f937fa12c299ca1}",270.0,2573.0,270.0,2573.0,0.0,0.0
eigen,2019-08-24 13:59:45.174000,"{libfuzzer,eigen}","{369846,2787c186a6701ccd37557d076f937fa12c299ca1}",2019-08-25 13:58:30.039000,"{libfuzzer,eigen}","{369867,2787c186a6701ccd37557d076f937fa12c299ca1}",270.0,2573.0,270.0,2573.0,0.0,0.0
eigen,2019-08-25 13:58:30.039000,"{libfuzzer,eigen}","{369867,2787c186a6701ccd37557d076f937fa12c299ca1}",2019-08-26 14:05:58.997000,"{libfuzzer,eigen}","{369911,2787c186a6701ccd37557d076f937fa12c299ca1}",270.0,2573.0,270.0,2573.0,0.0,0.0
