project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
et-xmlfile,2022-08-30 06:36:46.650000,"{et_xmlfile,lxml,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c742576c105f40fc8b754fcae56fee4aa35840a3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-31 06:14:25.451000,"{et_xmlfile,lxml,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-05 06:45:47.715000,"{et_xmlfile,lxml,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:41:31.327000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-06 06:41:31.327000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:25:43.450000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-07 06:25:43.450000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:07:19.944000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-11 06:28:42.024000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:21:25.435000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-15 06:23:04.818000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:28:36.083000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-16 06:28:36.083000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7bafe60135c4bae61b250b5e236407a8e579be5e,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-17 06:08:09.010000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,95f8006336889df154c45130db1ec897b424e529,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-19 06:06:37.036000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,95f8006336889df154c45130db1ec897b424e529,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:08:44.302000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,95f8006336889df154c45130db1ec897b424e529,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-09-21 06:20:38.022000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,95f8006336889df154c45130db1ec897b424e529,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:34:04.783000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,95f8006336889df154c45130db1ec897b424e529,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-10-24 06:15:08.593000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,95f8006336889df154c45130db1ec897b424e529,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-24 17:49:29.526000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,77413c28e237f3f4bf2363150aaab9d2f7705f7b,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1216.0,4895.0,1216.0,4895.0,0.0,0.0
et-xmlfile,2022-10-26 19:24:44.150000,"{et_xmlfile,lxml,centipede,aflplusplus}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,77413c28e237f3f4bf2363150aaab9d2f7705f7b,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:15:48.142000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,77413c28e237f3f4bf2363150aaab9d2f7705f7b,baa82e7189677bb9086beb5d9b5e58018d991607}",1243.0,5217.0,1219.0,4898.0,-319.0,1.0617556559017665
et-xmlfile,2022-11-07 06:11:05.093000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,77413c28e237f3f4bf2363150aaab9d2f7705f7b,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-08 06:32:03.202000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,1f1927fd618cae32e010c8c303dc9c44a319de1c,baa82e7189677bb9086beb5d9b5e58018d991607}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-11-08 06:32:03.202000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,1f1927fd618cae32e010c8c303dc9c44a319de1c,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-12 06:39:52.539000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,f136f95b735c000134ec03d8abf23a405d0f2222,baa82e7189677bb9086beb5d9b5e58018d991607}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-11-12 06:39:52.539000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,f136f95b735c000134ec03d8abf23a405d0f2222,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-13 06:37:26.522000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,eddd78d320b97a9170704009d871db337ece8069,baa82e7189677bb9086beb5d9b5e58018d991607}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-11-16 06:07:47.708000,"{et_xmlfile,lxml,centipede}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,eddd78d320b97a9170704009d871db337ece8069,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:28:28.925000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,eddd78d320b97a9170704009d871db337ece8069}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-12-01 06:33:10.170000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,eddd78d320b97a9170704009d871db337ece8069}",2022-12-02 06:48:19.462000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,14ff7f365168b96ae9ccb9a8127d48fb8a87e265}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-12-02 06:48:19.462000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,14ff7f365168b96ae9ccb9a8127d48fb8a87e265}",2022-12-03 06:19:15.801000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,aabb5ee34815a6d182a293add0e71c3b0601be93}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-12-06 06:54:37.337000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,aabb5ee34815a6d182a293add0e71c3b0601be93}",2022-12-07 06:33:50.128000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,e8f088ae9710216e92e88eb5a432476ce582d76d}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2022-12-13 06:39:11.604000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,e8f088ae9710216e92e88eb5a432476ce582d76d}",2022-12-14 06:11:36.325000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c17c1ca0496fbde3827c01cecd6a37d848142772}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2023-01-03 06:30:23.572000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c17c1ca0496fbde3827c01cecd6a37d848142772}",2023-01-03 21:33:48.233000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,d5593c118856d3eba1eef181e3e0c666ded11f35}",1219.0,4898.0,1219.0,4898.0,0.0,0.0
et-xmlfile,2023-03-03 06:39:36.815000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,d5593c118856d3eba1eef181e3e0c666ded11f35}",2023-03-04 06:15:27.159000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,3d4e60f2835e4d85fd357c182656d3eca534f2ff}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-03-25 06:59:20.313000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,3d4e60f2835e4d85fd357c182656d3eca534f2ff}",2023-03-26 06:41:26.042000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,4aa4d6cf26d9061a083dfe82ade8d1641237b73b}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-03-26 06:41:26.042000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,4aa4d6cf26d9061a083dfe82ade8d1641237b73b}",2023-03-27 06:27:05.565000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,d35f44e2d3da16d756467e1b9dd4001cb1f60d44}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-03-27 06:27:05.565000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,d35f44e2d3da16d756467e1b9dd4001cb1f60d44}",2023-03-28 06:40:13.169000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,dfdd910453e24f48dfe550060065cb7dbdd41728}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-03-29 06:54:44.464000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,dfdd910453e24f48dfe550060065cb7dbdd41728}",2023-03-30 06:12:30.372000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,11b33a83ad689bd16bd0a98c14cda51a90572b73}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-05-11 06:56:44.265000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,11b33a83ad689bd16bd0a98c14cda51a90572b73}",2023-05-12 06:06:09.846000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c6b7e621e4696c02bf8f6ea423ffbbf2109748ab}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-05-19 06:55:41.433000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c6b7e621e4696c02bf8f6ea423ffbbf2109748ab}",2023-05-20 06:53:27.545000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,bf03e4507c0d5154dfd1b7e00427db403a7421fa}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-05-25 06:08:36.261000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,bf03e4507c0d5154dfd1b7e00427db403a7421fa}",2023-05-26 07:14:55.876000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,0268b8eb3287655303869e7b4e617ff0734fdfc4}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-06-16 06:24:50.344000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,0268b8eb3287655303869e7b4e617ff0734fdfc4}",2023-06-17 06:30:41.233000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,ec0b59be3074c9ce83ba01b71b7218d3d6069954}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-07-04 07:04:08.047000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,ec0b59be3074c9ce83ba01b71b7218d3d6069954}",2023-07-05 06:19:41.977000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,dd2c36688cde9140c4798089d717b4873e4e45cd}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-07-05 06:19:41.977000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,dd2c36688cde9140c4798089d717b4873e4e45cd}",2023-07-06 07:12:05.702000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,72f5a287a4016ecb405f2e8a4a03ae22a5b0b496}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-07-12 06:49:38.050000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,72f5a287a4016ecb405f2e8a4a03ae22a5b0b496}",2023-07-13 06:40:52.061000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,4bfab2c821961fb4c5ed8a04e329778c9b09a1df}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-07-14 06:16:08.985000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,4bfab2c821961fb4c5ed8a04e329778c9b09a1df}",2023-07-15 06:30:31.299000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,57d328d611ea5b3f49a6c132617e37f29a36525e}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-08-11 07:25:44.866000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,57d328d611ea5b3f49a6c132617e37f29a36525e}",2023-08-12 06:09:06.657000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,0287e36aa8d3b7c6ef074761cf3c3c833e09d3f1}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-08-12 06:09:06.657000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,0287e36aa8d3b7c6ef074761cf3c3c833e09d3f1}",2023-08-13 06:51:31.503000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7f445cfd0166534417597f2fa2502d99734687bc}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-08-24 06:33:07.768000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7f445cfd0166534417597f2fa2502d99734687bc}",2023-08-25 06:23:23.759000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,762f62c5a1ab62ce37397aeeab2c27fdcc14ca66}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-09-21 06:48:31.052000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,762f62c5a1ab62ce37397aeeab2c27fdcc14ca66}",2023-09-22 06:18:37.853000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,b8b47a6b51b1ad2b6e8c6813ebc709664749999b}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-10-07 06:39:15.061000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,b8b47a6b51b1ad2b6e8c6813ebc709664749999b}",2023-10-08 06:42:43.137000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,062ae8ce77d26bb5ce69a27f03cecd750c60e3b8}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-10-09 06:11:30.376000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,062ae8ce77d26bb5ce69a27f03cecd750c60e3b8}",2023-10-10 07:03:46.622000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,bf6a2739d02b6bab2c4543281f16a17c576efbf9}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-10-15 06:34:51.636000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,bf6a2739d02b6bab2c4543281f16a17c576efbf9}",2023-10-16 06:32:06.567000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,27a9b5da463152b88a171e5565053d6ee2462f11}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-10-19 07:06:34.873000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,27a9b5da463152b88a171e5565053d6ee2462f11}",2023-10-20 07:13:59.977000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c3a92ba58b77eae7e32a0a86ad1d191664f11f87}",68.0,111.0,68.0,111.0,0.0,0.0
et-xmlfile,2023-10-30 06:25:30.438000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,c3a92ba58b77eae7e32a0a86ad1d191664f11f87}",2023-10-31 07:04:25.968000,"{et_xmlfile,lxml}","{b388ce185542adc588564dbe58e9a3d76e7e9aae,7356acba91bcf37b2c1c6ab5b7c9e37a4f1145b9}",68.0,111.0,68.0,111.0,0.0,0.0
