project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
exiv2,2021-08-26 06:38:47.453000,"{exiv2,aflplusplus}","{c9f253f0e5674194045db8f78e53ce7e647b8a69,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-08-30 08:07:16.582000,"{exiv2,aflplusplus}","{cb16324bcf7254faddeabb922f4b887eac8a83ab,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",12748.0,30747.0,12734.0,30837.0,90.0,-0.16640678401381592
exiv2,2021-09-02 06:10:00.390000,"{exiv2,aflplusplus}","{cb16324bcf7254faddeabb922f4b887eac8a83ab,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-03 06:22:24.540000,"{exiv2,aflplusplus}","{7caf4479c8b003471e4ddf8f9aed4d000dcd4e10,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",13633.0,30837.0,13657.0,30834.0,-3.0,0.08213756350887991
exiv2,2021-09-03 06:22:24.540000,"{exiv2,aflplusplus}","{7caf4479c8b003471e4ddf8f9aed4d000dcd4e10,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-06 06:29:00.264000,"{exiv2,aflplusplus}","{5f2cbdf6b0f46385e43b7190d6c1fb3517d6a325,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",13657.0,30834.0,13760.0,30834.0,0.0,0.3340468314198617
exiv2,2021-09-09 08:45:53.192000,"{exiv2,aflplusplus}","{5f2cbdf6b0f46385e43b7190d6c1fb3517d6a325,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-16 11:59:07.270000,"{exiv2,aflplusplus}","{774e6625e3ed4fb6d330d8ad40677fafecf125f7,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",13873.0,30834.0,15870.0,30954.0,120.0,6.277085194668906
exiv2,2021-09-18 09:32:53.972000,"{exiv2,aflplusplus}","{774e6625e3ed4fb6d330d8ad40677fafecf125f7,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-19 06:30:25.817000,"{exiv2,aflplusplus}","{7cb65d1e25f009c094d49400757f3a97677c6bcc,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16459.0,30954.0,16424.0,30954.0,0.0,-0.11307100859340125
exiv2,2021-09-19 06:30:25.817000,"{exiv2,aflplusplus}","{7cb65d1e25f009c094d49400757f3a97677c6bcc,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-20 07:09:03.450000,"{exiv2,aflplusplus}","{801e20123ad2886f65ab2c7c7b90439e5364f5fa,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16424.0,30954.0,16445.0,30959.0,5.0,0.059262350458269
exiv2,2021-09-20 07:09:03.450000,"{exiv2,aflplusplus}","{801e20123ad2886f65ab2c7c7b90439e5364f5fa,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-22 08:47:44.719000,"{exiv2,aflplusplus}","{be296814c1d73aefe1164c8d377acc4082dcd924,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16445.0,30959.0,16629.0,30963.0,4.0,0.5873954538277317
exiv2,2021-09-22 08:47:44.719000,"{exiv2,aflplusplus}","{be296814c1d73aefe1164c8d377acc4082dcd924,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-23 09:58:12.173000,"{exiv2,aflplusplus}","{7d2eb4ad0987bd5f90b42ad3ddd9d9b6e5a7bd0d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16629.0,30963.0,16629.0,30967.0,4.0,-0.006937195884241021
exiv2,2021-09-23 09:58:12.173000,"{exiv2,aflplusplus}","{7d2eb4ad0987bd5f90b42ad3ddd9d9b6e5a7bd0d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-24 07:58:40.411000,"{exiv2,aflplusplus}","{41543e99b5d890b07a8e28d1de9b83729494dee9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16629.0,30967.0,16629.0,30967.0,0.0,0.0
exiv2,2021-09-24 07:58:40.411000,"{exiv2,aflplusplus}","{41543e99b5d890b07a8e28d1de9b83729494dee9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-25 07:02:16.869000,"{exiv2,aflplusplus}","{e2f3d6d2d747236a6f49d06d47d9872b240a2887,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16629.0,30967.0,16629.0,30967.0,0.0,0.0
exiv2,2021-09-25 07:02:16.869000,"{exiv2,aflplusplus}","{e2f3d6d2d747236a6f49d06d47d9872b240a2887,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-26 06:41:38.540000,"{exiv2,aflplusplus}","{b27aa0b82c5b89cead7c5ef176edf426d0879bbd,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16629.0,30967.0,16574.0,30977.0,10.0,-0.19488623786709525
exiv2,2021-09-27 10:58:36.410000,"{exiv2,aflplusplus}","{b27aa0b82c5b89cead7c5ef176edf426d0879bbd,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-30 09:34:39.780000,"{exiv2,aflplusplus}","{887acd098add2fb64ad5bed2f57eae90b2111fa3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16574.0,30977.0,16737.0,30986.0,9.0,0.5105035204535113
exiv2,2021-10-02 10:17:48.639000,"{exiv2,aflplusplus}","{887acd098add2fb64ad5bed2f57eae90b2111fa3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-04 09:17:52.944000,"{exiv2,aflplusplus}","{6de681538baeff2aa938fa35e53f5a09fb7d699b,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",17042.0,30986.0,16749.0,30986.0,0.0,-0.9455883302136456
exiv2,2021-10-04 09:17:52.944000,"{exiv2,aflplusplus}","{6de681538baeff2aa938fa35e53f5a09fb7d699b,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-05 10:59:03.769000,"{exiv2,aflplusplus}","{2b040e925fc70e1a73123088e2023bae40da8383,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16749.0,30986.0,16632.0,30986.0,0.0,-0.3775898793003307
exiv2,2021-10-09 07:23:12.624000,"{exiv2,aflplusplus}","{2b040e925fc70e1a73123088e2023bae40da8383,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-10 06:21:08.929000,"{exiv2,aflplusplus}","{937264b7a8ef3e8ab668adfe80d029edc7ed2fd1,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16686.0,30986.0,16673.0,30986.0,0.0,-0.041954431033360606
