project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
firestore,2019-04-03 13:39:50.325000,"{firebase-ios-sdk,libfuzzer}","{8cc5d652ec237a8da655696e5c1003f2c07f0cc8,357579}",2019-04-04 13:41:13.552000,"{firebase-ios-sdk,libfuzzer}","{267e9a6ece89887e29ecfe3352bd98f44ddeef51,357692}",1609.0,10110.0,1611.0,10110.0,0.0,0.019782393669634857
firestore,2019-04-04 13:41:13.552000,"{firebase-ios-sdk,libfuzzer}","{267e9a6ece89887e29ecfe3352bd98f44ddeef51,357692}",2019-04-05 13:44:25.131000,"{firebase-ios-sdk,libfuzzer}","{45909c3ceb2318cd537adbd6930ba004d809a729,357760}",1611.0,10110.0,1611.0,10132.0,22.0,-0.03459966425380934
firestore,2019-04-05 13:44:25.131000,"{firebase-ios-sdk,libfuzzer}","{45909c3ceb2318cd537adbd6930ba004d809a729,357760}",2019-04-06 13:40:06.156000,"{firebase-ios-sdk,libfuzzer}","{43b3dc629e990adf5222f1e4c0af4cb97f6f23aa,357838}",1611.0,10132.0,1611.0,10132.0,0.0,0.0
firestore,2019-04-06 13:40:06.156000,"{firebase-ios-sdk,libfuzzer}","{43b3dc629e990adf5222f1e4c0af4cb97f6f23aa,357838}",2019-04-07 13:39:30.459000,"{firebase-ios-sdk,libfuzzer}","{43b3dc629e990adf5222f1e4c0af4cb97f6f23aa,357864}",1611.0,10132.0,1611.0,10132.0,0.0,0.0
firestore,2019-04-07 13:39:30.459000,"{firebase-ios-sdk,libfuzzer}","{43b3dc629e990adf5222f1e4c0af4cb97f6f23aa,357864}",2019-04-08 13:39:55.764000,"{firebase-ios-sdk,libfuzzer}","{6f040b31ae0609bf92bdceaef3ad89580480074f,357910}",1611.0,10132.0,1611.0,10132.0,0.0,0.0
firestore,2019-04-08 13:39:55.764000,"{firebase-ios-sdk,libfuzzer}","{6f040b31ae0609bf92bdceaef3ad89580480074f,357910}",2019-04-09 14:01:33.810000,"{firebase-ios-sdk,libfuzzer}","{d5cb5f7f985111ce4d65865f5c3bd0d80d5d45d3,358003}",1611.0,10132.0,1611.0,10136.0,4.0,-0.006274711300960689
firestore,2019-04-09 14:01:33.810000,"{firebase-ios-sdk,libfuzzer}","{d5cb5f7f985111ce4d65865f5c3bd0d80d5d45d3,358003}",2019-04-10 13:44:29.698000,"{firebase-ios-sdk,libfuzzer}","{51159943d9c5c16d7e8d3d99e98595a0af9e7572,358083}",1611.0,10136.0,1611.0,10136.0,0.0,0.0
firestore,2019-04-10 13:44:29.698000,"{firebase-ios-sdk,libfuzzer}","{51159943d9c5c16d7e8d3d99e98595a0af9e7572,358083}",2019-04-11 13:42:12.164000,"{firebase-ios-sdk,libfuzzer}","{64b270b6d021d1361c0c217c61f053a3905b09f7,358165}",1611.0,10136.0,1611.0,10136.0,0.0,0.0
firestore,2019-04-11 13:42:12.164000,"{firebase-ios-sdk,libfuzzer}","{64b270b6d021d1361c0c217c61f053a3905b09f7,358165}",2019-04-12 13:39:16.017000,"{firebase-ios-sdk,libfuzzer}","{8c356798fc603157bf0766bd4f6f4c1c2e55cc32,358283}",1611.0,10136.0,1611.0,10136.0,0.0,0.0
firestore,2019-04-12 13:39:16.017000,"{firebase-ios-sdk,libfuzzer}","{8c356798fc603157bf0766bd4f6f4c1c2e55cc32,358283}",2019-04-13 13:42:39.352000,"{firebase-ios-sdk,libfuzzer}","{bbbaa7b037c2ea477170b27fe49355ab58d1ebd7,358331}",1611.0,10136.0,1604.0,10248.0,112.0,-0.2420092210419167
