project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
flate2-rs,2021-04-23 09:32:40.046000,"{flate2-rs,aflplusplus}","{7546110602fcc934ae506ed8d5cd9516e945d1ee,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-04-24 07:56:02.222000,"{flate2-rs,aflplusplus}","{c37824894daacc0ad7bbca566c48a897cf973c4f,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",3030.0,5087.0,3030.0,5113.0,26.0,-0.3028854743423679
flate2-rs,2021-04-30 10:33:16.541000,"{flate2-rs,aflplusplus}","{c37824894daacc0ad7bbca566c48a897cf973c4f,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 07:07:41.432000,"{flate2-rs,aflplusplus}","{c37824894daacc0ad7bbca566c48a897cf973c4f,f4cc718fdc4571f56280a1efad3645125bee2154}",3030.0,5082.0,3030.0,5082.0,0.0,0.0
flate2-rs,2021-05-24 06:13:49.568000,"{flate2-rs,aflplusplus}","{c37824894daacc0ad7bbca566c48a897cf973c4f,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 10:34:50.609000,"{flate2-rs,aflplusplus}","{19708cfa6808298eaa74e4c5b22ba666f8b92a37,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",3102.0,5230.0,3102.0,5230.0,0.0,0.0
flate2-rs,2021-06-14 10:00:58.598000,"{flate2-rs,aflplusplus}","{19708cfa6808298eaa74e4c5b22ba666f8b92a37,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 06:55:52.625000,"{flate2-rs,aflplusplus}","{19708cfa6808298eaa74e4c5b22ba666f8b92a37,ade8cdca55951958024c86766453430f904381c5}",3115.0,5440.0,3115.0,5440.0,0.0,0.0
flate2-rs,2021-07-07 06:08:00.942000,"{flate2-rs,aflplusplus}","{19708cfa6808298eaa74e4c5b22ba666f8b92a37,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 08:22:46.879000,"{flate2-rs,aflplusplus}","{19708cfa6808298eaa74e4c5b22ba666f8b92a37,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",3115.0,5440.0,3115.0,5440.0,0.0,0.0
flate2-rs,2021-07-12 06:56:51.033000,"{flate2-rs,aflplusplus}","{19708cfa6808298eaa74e4c5b22ba666f8b92a37,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-13 10:25:28.569000,"{flate2-rs,aflplusplus}","{33f9f3d028848760207bb3f6618669bf5ef02c3d,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",3115.0,5440.0,3115.0,5440.0,0.0,0.0
flate2-rs,2021-07-14 09:35:49.821000,"{flate2-rs,aflplusplus}","{33f9f3d028848760207bb3f6618669bf5ef02c3d,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-15 06:50:19.987000,"{flate2-rs,aflplusplus}","{33f9f3d028848760207bb3f6618669bf5ef02c3d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3115.0,5440.0,3115.0,5440.0,0.0,0.0
flate2-rs,2021-08-21 06:19:43.216000,"{flate2-rs,aflplusplus}","{33f9f3d028848760207bb3f6618669bf5ef02c3d,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-05 10:14:46.919000,"{flate2-rs,aflplusplus}","{63ecb8c0407c619c7a20529699b89369061ece88,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",3115.0,5440.0,3159.0,5501.0,61.0,0.16489314776991648
flate2-rs,2021-11-11 09:34:22.735000,"{flate2-rs,aflplusplus}","{63ecb8c0407c619c7a20529699b89369061ece88,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 07:54:22.102000,"{flate2-rs,aflplusplus}","{63ecb8c0407c619c7a20529699b89369061ece88,533e979010ca338df6fc415d87668f8187752915}",3154.0,5501.0,3154.0,5501.0,0.0,0.0
flate2-rs,2021-11-17 07:25:59.335000,"{flate2-rs,aflplusplus}","{63ecb8c0407c619c7a20529699b89369061ece88,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 10:14:43.695000,"{flate2-rs,aflplusplus}","{63ecb8c0407c619c7a20529699b89369061ece88,132630d48d0f9fe50e9388f941433c85636587da}",3139.0,5501.0,3139.0,5501.0,0.0,0.0
