project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
fmt,2020-10-17 08:26:13.580000,"{fmt,afl}","{bd3c792507e1a1003f7532088e976665dcbe4628,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-18 07:06:53.151000,"{fmt,afl}","{20d4f2e83677be035a15693127e404c4a5d68ac9,82b5e359463238d790cadbe2dd494d6a4928bff3}",3644.0,4559.0,3675.0,4562.0,3.0,0.6269641763467604
fmt,2020-10-18 07:06:53.151000,"{fmt,afl}","{20d4f2e83677be035a15693127e404c4a5d68ac9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-19 08:53:17.287000,"{fmt,afl}","{f468b203add3b04fb8fac473ec7a04ed64c429c1,82b5e359463238d790cadbe2dd494d6a4928bff3}",3675.0,4562.0,3671.0,4555.0,-7.0,0.03598186902638645
fmt,2020-10-19 08:53:17.287000,"{fmt,afl}","{f468b203add3b04fb8fac473ec7a04ed64c429c1,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-20 07:44:24.025000,"{fmt,afl}","{17fba753c45b75848f0281c64be89a908275e7f8,82b5e359463238d790cadbe2dd494d6a4928bff3}",3671.0,4555.0,3671.0,4555.0,0.0,0.0
fmt,2020-10-20 07:44:24.025000,"{fmt,afl}","{17fba753c45b75848f0281c64be89a908275e7f8,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-21 08:36:19.509000,"{fmt,afl}","{2a3f4de3f49f12842c3bf4cdb7570a158cfe6452,82b5e359463238d790cadbe2dd494d6a4928bff3}",3671.0,4555.0,3673.0,4557.0,2.0,0.008517553120881871
fmt,2020-10-21 08:36:19.509000,"{fmt,afl}","{2a3f4de3f49f12842c3bf4cdb7570a158cfe6452,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-22 06:58:17.275000,"{fmt,afl}","{86287b8d5625ef390da6ef10fc77a872b8ad41ac,82b5e359463238d790cadbe2dd494d6a4928bff3}",3673.0,4557.0,3679.0,4564.0,7.0,0.007842044397406767
fmt,2020-10-22 06:58:17.275000,"{fmt,afl}","{86287b8d5625ef390da6ef10fc77a872b8ad41ac,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-23 08:26:47.533000,"{fmt,afl}","{90071c1df04ca774edfcee7e889d3e4a7ef2dd0d,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4564.0,3679.0,4565.0,1.0,-0.01765807553373122
fmt,2020-10-24 06:32:27.790000,"{fmt,afl}","{90071c1df04ca774edfcee7e889d3e4a7ef2dd0d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-25 09:38:02.096000,"{fmt,afl}","{530cf316b81270c8a318b8e9033739ae07b7f31b,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4565.0,3679.0,4565.0,0.0,0.0
fmt,2020-10-25 09:38:02.096000,"{fmt,afl}","{530cf316b81270c8a318b8e9033739ae07b7f31b,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-26 09:20:12.682000,"{fmt,afl}","{df4bd60f42f549679b14f3624838b249219afdd9,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4565.0,3679.0,4565.0,0.0,0.0
fmt,2020-10-26 09:20:12.682000,"{fmt,afl}","{df4bd60f42f549679b14f3624838b249219afdd9,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-27 06:12:46.309000,"{fmt,afl}","{4fe0b11195b7cd71f39253c44db2c9dddf6b82d4,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4565.0,3679.0,4565.0,0.0,0.0
fmt,2020-10-27 06:12:46.309000,"{fmt,afl}","{4fe0b11195b7cd71f39253c44db2c9dddf6b82d4,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-28 09:02:31.714000,"{fmt,afl}","{cb224ecaa375e22ace3b844358a63ba16b4df061,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4565.0,3679.0,4565.0,0.0,0.0
fmt,2020-10-28 09:02:31.714000,"{fmt,afl}","{cb224ecaa375e22ace3b844358a63ba16b4df061,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-29 08:34:27.664000,"{fmt,afl}","{bb68f6089b346a02777664144e692d2d0d3e5e21,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4565.0,3679.0,4565.0,0.0,0.0
fmt,2020-10-29 08:34:27.664000,"{fmt,afl}","{bb68f6089b346a02777664144e692d2d0d3e5e21,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-10-30 07:33:09.935000,"{fmt,afl}","{112755cf910c118afc2ae5578bf53d1cb558fda0,82b5e359463238d790cadbe2dd494d6a4928bff3}",3679.0,4565.0,3682.0,4579.0,14.0,-0.18088674258670778
fmt,2020-10-31 07:09:50.715000,"{fmt,afl}","{112755cf910c118afc2ae5578bf53d1cb558fda0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-01 08:05:09.594000,"{fmt,afl}","{e50ced88c6f0db6c7c2e16cfb9aec4c9ab4df09c,82b5e359463238d790cadbe2dd494d6a4928bff3}",3682.0,4579.0,3682.0,4579.0,0.0,0.0
fmt,2020-11-02 06:59:26.113000,"{fmt,afl}","{e50ced88c6f0db6c7c2e16cfb9aec4c9ab4df09c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-03 06:14:12.144000,"{fmt,afl}","{86bf6045c65e97a9bb7bcf26dd60b71313d698fb,82b5e359463238d790cadbe2dd494d6a4928bff3}",3682.0,4579.0,3682.0,4579.0,0.0,0.0
fmt,2020-11-03 06:14:12.144000,"{fmt,afl}","{86bf6045c65e97a9bb7bcf26dd60b71313d698fb,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-04 08:23:27.505000,"{fmt,afl}","{49544ea9432a13285846aca6d191f01e8ed00655,82b5e359463238d790cadbe2dd494d6a4928bff3}",3682.0,4579.0,3685.0,4582.0,3.0,0.012825903539862793
