project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
freeradius,2021-11-03 06:12:48.503000,"{freeradius-server,aflplusplus}","{1dfd996127ae384799e6a82f330366dfcd93cf7c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-04 06:48:33.639000,"{freeradius-server,aflplusplus}","{ba75eb22b1f270b2ffa7bb86cbc2960df08492a5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10106.0,35042.0,10107.0,35067.0,25.0,-0.017708727650326495
freeradius,2021-11-04 06:48:33.639000,"{freeradius-server,aflplusplus}","{ba75eb22b1f270b2ffa7bb86cbc2960df08492a5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-06 06:28:36.854000,"{freeradius-server,aflplusplus}","{6516c9c92a386bc9b403fa38685c9d5cfd74a9ea,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10107.0,35067.0,10110.0,35090.0,23.0,-0.010342128685582708
freeradius,2021-11-06 06:28:36.854000,"{freeradius-server,aflplusplus}","{6516c9c92a386bc9b403fa38685c9d5cfd74a9ea,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-07 10:56:40.088000,"{freeradius-server,aflplusplus}","{a342b56ee20f159721c074151093c2433689aff1,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10110.0,35090.0,10111.0,35090.0,0.0,0.0028498147620403813
freeradius,2021-11-07 10:56:40.088000,"{freeradius-server,aflplusplus}","{a342b56ee20f159721c074151093c2433689aff1,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-08 06:08:54.572000,"{freeradius-server,aflplusplus}","{adcc65b0baef83136b5a2c21018cd44fcc92a311,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10111.0,35090.0,10112.0,35090.0,0.0,0.0028498147620403813
freeradius,2021-11-08 06:08:54.572000,"{freeradius-server,aflplusplus}","{adcc65b0baef83136b5a2c21018cd44fcc92a311,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-09 09:43:17.731000,"{freeradius-server,aflplusplus}","{3640acdb31c6285247be60b7b56176957e920fc6,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10112.0,35090.0,10115.0,35090.0,0.0,0.008549444286121144
freeradius,2021-11-09 09:43:17.731000,"{freeradius-server,aflplusplus}","{3640acdb31c6285247be60b7b56176957e920fc6,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-10 10:03:43.927000,"{freeradius-server,aflplusplus}","{495b166f60019894a17fcb958c7583945facce7c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10115.0,35090.0,10115.0,35090.0,0.0,0.0
freeradius,2021-11-10 10:03:43.927000,"{freeradius-server,aflplusplus}","{495b166f60019894a17fcb958c7583945facce7c,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-11 10:43:25.420000,"{freeradius-server,aflplusplus}","{23b5b0e39a65c652d4b0e9c8992dbdb664b5dfe6,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",10115.0,35090.0,10111.0,35090.0,0.0,-0.011399259048161525
freeradius,2021-11-11 10:43:25.420000,"{freeradius-server,aflplusplus}","{23b5b0e39a65c652d4b0e9c8992dbdb664b5dfe6,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 10:28:10.884000,"{freeradius-server,aflplusplus}","{3ac24b1de85ba3e101d20750ea4a80ae67080c59,533e979010ca338df6fc415d87668f8187752915}",10111.0,35090.0,10115.0,35090.0,0.0,0.011399259048161525
freeradius,2021-11-12 10:28:10.884000,"{freeradius-server,aflplusplus}","{3ac24b1de85ba3e101d20750ea4a80ae67080c59,533e979010ca338df6fc415d87668f8187752915}",2021-11-13 08:49:54.785000,"{freeradius-server,aflplusplus}","{4512200851b4d0d7131ff7314259f8d9394764db,533e979010ca338df6fc415d87668f8187752915}",10115.0,35090.0,10112.0,35254.0,164.0,-0.1426063344913615
freeradius,2021-11-13 08:49:54.785000,"{freeradius-server,aflplusplus}","{4512200851b4d0d7131ff7314259f8d9394764db,533e979010ca338df6fc415d87668f8187752915}",2021-11-14 06:14:26.034000,"{freeradius-server,aflplusplus}","{47ff6eb3e6308c95cd6ded337cda006f0b6bc680,533e979010ca338df6fc415d87668f8187752915}",10112.0,35254.0,10114.0,35266.0,12.0,-0.004088902620157597
