project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
freetype2,2019-03-13 13:25:51.593000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356046}",2019-03-14 13:26:08.829000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356140}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-14 13:26:08.829000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356140}",2019-03-15 13:25:46.401000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356258}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-15 13:25:46.401000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356258}",2019-03-16 13:25:14.875000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356322}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-16 13:25:14.875000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356322}",2019-03-17 13:25:25.165000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356330}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-17 13:25:25.165000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356330}",2019-03-18 13:26:26.322000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356365}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-18 13:26:26.322000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356365}",2019-03-19 13:25:14.967000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356451}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-19 13:25:14.967000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356451}",2019-03-20 13:24:38.822000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356552}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-20 13:24:38.822000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356552}",2019-03-21 13:25:31.715000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356662}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-21 13:25:31.715000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356662}",2019-03-22 13:25:41.199000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356747}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
freetype2,2019-03-22 13:25:41.199000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356747}",2019-03-23 13:24:54.705000,"{freetype2-testing,text-rendering-tests,libfuzzer}","{ab6d7178d0301a7ed5c84af222f2fc8f6d6ff20e,fd08268cf5892b2b980c0ff340ae7b5bced7da7c,356831}",82273.0,95997.0,82273.0,95997.0,0.0,0.0
