project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
g-api-auth-library-python,2022-07-28 06:04:59.441000,"{google-auth-library-python,aflplusplus}","{67091d0d5c03e22d29bc6a0e02f01a909ba1d888,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-29 06:06:38.475000,"{google-auth-library-python,aflplusplus}","{34b78973418101fbf2326d9dba6d68e2eeb1b4c8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-07-29 06:06:38.475000,"{google-auth-library-python,aflplusplus}","{34b78973418101fbf2326d9dba6d68e2eeb1b4c8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-30 06:05:41.681000,"{google-auth-library-python,aflplusplus}","{575c07824b734e8e9d8d543c4a534a723bee2db7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-01 06:21:12.931000,"{google-auth-library-python,aflplusplus}","{575c07824b734e8e9d8d543c4a534a723bee2db7,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-02 06:15:28.059000,"{google-auth-library-python,aflplusplus}","{f8d776a290270da8c43b0f5ba8e8a1fabfcf4dd3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-02 06:15:28.059000,"{google-auth-library-python,aflplusplus}","{f8d776a290270da8c43b0f5ba8e8a1fabfcf4dd3,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-03 06:21:55.371000,"{google-auth-library-python,aflplusplus}","{b2a901b91b4e5ba3a1b4a079655b39dce55710c5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-03 06:21:55.371000,"{google-auth-library-python,aflplusplus}","{b2a901b91b4e5ba3a1b4a079655b39dce55710c5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-04 06:06:34.588000,"{google-auth-library-python,aflplusplus}","{8d15f69711f38196934eabff5f05be26b3afcbf6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-04 15:56:53.626000,"{google-auth-library-python,aflplusplus}","{8d15f69711f38196934eabff5f05be26b3afcbf6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-05 06:05:08.781000,"{google-auth-library-python,aflplusplus}","{b62c25ca408f72d86fda35b611edb3d2c6eb4f85,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-05 06:05:08.781000,"{google-auth-library-python,aflplusplus}","{b62c25ca408f72d86fda35b611edb3d2c6eb4f85,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-05 18:04:00.500000,"{google-auth-library-python,aflplusplus}","{032fb8d1685a50081974ba85e6ead946f30a1ea8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-05 18:04:00.500000,"{google-auth-library-python,aflplusplus}","{032fb8d1685a50081974ba85e6ead946f30a1ea8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-06 06:07:49.491000,"{google-auth-library-python,aflplusplus}","{e9b83040c8073a33a0713499a1d0806e02d0aabb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-15 06:44:04.074000,"{google-auth-library-python,aflplusplus}","{e9b83040c8073a33a0713499a1d0806e02d0aabb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-16 06:40:04.583000,"{google-auth-library-python,aflplusplus}","{26f5c11de3a25a0df15c041b29ba25e213b8d71f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-18 06:09:09.943000,"{google-auth-library-python,aflplusplus}","{26f5c11de3a25a0df15c041b29ba25e213b8d71f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-19 06:06:48.353000,"{google-auth-library-python,aflplusplus}","{124bae60771a8984674a1d7eeab3ec22b2fa0033,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
g-api-auth-library-python,2022-08-19 06:06:48.353000,"{google-auth-library-python,aflplusplus}","{124bae60771a8984674a1d7eeab3ec22b2fa0033,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-20 06:33:02.596000,"{google-auth-library-python,aflplusplus}","{3fd4b0ddb72a1ede2e3bf4e6da928db95f23caa6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",8148.0,30599.0,8148.0,30599.0,0.0,0.0
