project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
g-py-crc32c,2022-07-15 06:16:51.751000,"{python-crc32c,aflplusplus}","{0fb3b88131aeee316e6d6f607fa32ec4767e4386,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-16 06:03:47.400000,"{python-crc32c,aflplusplus}","{32eefef8b96f9994e1ba4b3e60b91dc809d25fea,c208dcf9c573e3d85990c7dea777646f7fa4961c}",810.0,2859.0,810.0,2859.0,0.0,0.0
g-py-crc32c,2022-08-02 06:06:39.331000,"{python-crc32c,aflplusplus}","{32eefef8b96f9994e1ba4b3e60b91dc809d25fea,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-03 06:14:32.999000,"{python-crc32c,aflplusplus}","{9be2d165b3ed7861e5329c305ab192d65b61b18f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-08-11 06:24:38.370000,"{python-crc32c,aflplusplus}","{9be2d165b3ed7861e5329c305ab192d65b61b18f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-12 06:03:16.971000,"{python-crc32c,aflplusplus}","{6df4e4fa01d3130714750eeac784d79bf7b9e729,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-08-29 06:17:20.835000,"{python-crc32c,aflplusplus}","{6df4e4fa01d3130714750eeac784d79bf7b9e729,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-30 06:10:52.341000,"{python-crc32c,aflplusplus}","{59cc99b3446a60b057845df1e432fc59ffaf885e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-08-31 06:03:13.112000,"{python-crc32c,aflplusplus}","{59cc99b3446a60b057845df1e432fc59ffaf885e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-01 06:23:19.509000,"{python-crc32c,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-09-05 06:26:14.097000,"{python-crc32c,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:20:54.503000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-09-06 06:20:54.503000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:40:12.972000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-09-07 06:40:12.972000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:17:18.251000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-09-11 06:22:08.206000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:20:16.195000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
g-py-crc32c,2022-09-13 06:11:15.962000,"{python-crc32c,centipede,aflplusplus}","{55e54f7a081b91a2601d0f5a64d712c449ed81f1,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-14 06:23:53.748000,"{python-crc32c,centipede,aflplusplus}","{7b7225e0a9252b6260f3933484b9f113ec6d3d1d,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",827.0,2905.0,827.0,2905.0,0.0,0.0
