project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
gc-iam,2022-08-17 06:12:18.366000,"{python-iam,aflplusplus}","{5fee9c9c90ab19f0fedfae4d07b7004896faaefb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-18 06:08:14.227000,"{python-iam,aflplusplus}","{7b30d08e7c4ddde0e4444f96488b31ce03b0ed5b,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13792.0,51041.0,13792.0,51041.0,0.0,0.0
gc-iam,2022-08-19 06:06:59.568000,"{python-iam,aflplusplus}","{7b30d08e7c4ddde0e4444f96488b31ce03b0ed5b,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-20 06:18:01.657000,"{python-iam,aflplusplus}","{bbe8e3d3e1be719d4d617e3e7536d6a331f85f66,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13792.0,51041.0,13793.0,51043.0,2.0,0.0009003618847920336
gc-iam,2022-08-24 06:08:12.508000,"{python-iam,aflplusplus}","{bbe8e3d3e1be719d4d617e3e7536d6a331f85f66,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-25 06:23:03.158000,"{python-iam,aflplusplus}","{1d1ba7dd417166a5988cc7a227e8111f9bc27ab4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13800.0,51050.0,13800.0,51050.0,0.0,0.0
gc-iam,2022-08-29 06:09:54.143000,"{python-iam,aflplusplus}","{1d1ba7dd417166a5988cc7a227e8111f9bc27ab4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-30 06:32:38.129000,"{python-iam,aflplusplus}","{0141aca547fdb5ccc6d692214d76081cb2014182,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13800.0,51050.0,13800.0,51050.0,0.0,0.0
gc-iam,2022-09-01 06:17:21.002000,"{python-iam,aflplusplus}","{0141aca547fdb5ccc6d692214d76081cb2014182,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-02 06:05:27.328000,"{python-iam,aflplusplus}","{2c79bab71ac27cdead4eeb5a32a746a37d28daa8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13800.0,51050.0,13807.0,51069.0,19.0,0.0036496876026603786
gc-iam,2022-09-02 06:05:27.328000,"{python-iam,aflplusplus}","{2c79bab71ac27cdead4eeb5a32a746a37d28daa8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-03 06:15:51.065000,"{python-iam,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13807.0,51069.0,13807.0,51069.0,0.0,0.0
gc-iam,2022-09-05 06:23:54.878000,"{python-iam,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:27:42.173000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13807.0,51069.0,13807.0,51069.0,0.0,0.0
gc-iam,2022-09-06 06:27:42.173000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:05:54.733000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13807.0,51069.0,13807.0,51069.0,0.0,0.0
gc-iam,2022-09-07 06:05:54.733000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:11:57.809000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13807.0,51069.0,13807.0,51069.0,0.0,0.0
gc-iam,2022-09-11 06:22:48.461000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:31:00.934000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13806.0,51082.0,13806.0,51082.0,0.0,0.0
gc-iam,2022-09-13 06:42:43.776000,"{python-iam,centipede,aflplusplus}","{671b5383e856600df136d29419b368103e6bbb84,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-14 06:27:18.672000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13806.0,51082.0,13806.0,51085.0,3.0,-0.0015871860337810517
gc-iam,2022-09-15 06:17:24.436000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:13:07.553000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",13806.0,51085.0,13806.0,51085.0,0.0,0.0
gc-iam,2022-09-19 06:11:59.622000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:20:31.855000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",13806.0,51085.0,13806.0,51085.0,0.0,0.0
gc-iam,2022-09-21 06:11:25.584000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:12:04.799000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",13806.0,51085.0,13806.0,51085.0,0.0,0.0
gc-iam,2022-09-29 06:39:09.668000,"{python-iam,centipede,aflplusplus}","{b8475f0f57d8b18e05f22163e30455735324681d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-30 06:06:02.009000,"{python-iam,centipede,aflplusplus}","{798577162b95a6774e02a05e92b9f76b85c78690,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",13827.0,51148.0,13827.0,51148.0,0.0,0.0
