project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
gcp-python-cloud-storage,2022-07-22 06:25:59.881000,"{python-storage,aflplusplus}","{5e06dc02f54fb54f4d1dbd61d273ffcd96fdd112,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-23 06:20:17.329000,"{python-storage,aflplusplus}","{4bd3d1ddf21196b075bbd84cdcb553c5d7355b93,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15132.0,61477.0,15132.0,61477.0,0.0,0.0
gcp-python-cloud-storage,2022-07-24 06:21:36.213000,"{python-storage,aflplusplus}","{4bd3d1ddf21196b075bbd84cdcb553c5d7355b93,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-25 06:27:25.696000,"{python-storage,aflplusplus}","{77dcfe7777619d2895bf6b61f0ac2cdaf281629e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15132.0,61477.0,15132.0,61477.0,0.0,0.0
gcp-python-cloud-storage,2022-08-03 06:10:22.071000,"{python-storage,aflplusplus}","{77dcfe7777619d2895bf6b61f0ac2cdaf281629e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-04 06:16:43.760000,"{python-storage,aflplusplus}","{a8023faf8644cb0ff78be9543d5e5bbaeb910203,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15146.0,61542.0,15146.0,61542.0,0.0,0.0
gcp-python-cloud-storage,2022-08-05 06:29:59.687000,"{python-storage,aflplusplus}","{a8023faf8644cb0ff78be9543d5e5bbaeb910203,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-05 18:03:44.396000,"{python-storage,aflplusplus}","{0b8eb058920daa2882568793ec47b7648593e15e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15146.0,61542.0,15146.0,61542.0,0.0,0.0
gcp-python-cloud-storage,2022-08-05 18:03:44.396000,"{python-storage,aflplusplus}","{0b8eb058920daa2882568793ec47b7648593e15e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-06 06:42:27.857000,"{python-storage,aflplusplus}","{5fa1947c8688139c46bf4df60a099f48d5070f44,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15146.0,61542.0,15146.0,61542.0,0.0,0.0
gcp-python-cloud-storage,2022-08-10 06:15:45.766000,"{python-storage,aflplusplus}","{5fa1947c8688139c46bf4df60a099f48d5070f44,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-11 06:28:37.238000,"{python-storage,aflplusplus}","{4c92a9afa4be21f979b3f2693f706605128293ea,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15146.0,61542.0,15146.0,61542.0,0.0,0.0
gcp-python-cloud-storage,2022-08-11 06:28:37.238000,"{python-storage,aflplusplus}","{4c92a9afa4be21f979b3f2693f706605128293ea,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-12 06:42:08.891000,"{python-storage,aflplusplus}","{7101f47fde663eec4bbaaa246c7fe4e973ca2506,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15146.0,61542.0,15146.0,61542.0,0.0,0.0
gcp-python-cloud-storage,2022-08-12 06:42:08.891000,"{python-storage,aflplusplus}","{7101f47fde663eec4bbaaa246c7fe4e973ca2506,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-13 06:31:17.748000,"{python-storage,aflplusplus}","{27f2641c7f6b24ff5e750490f87188e648a82a9e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15146.0,61542.0,15146.0,61542.0,0.0,0.0
gcp-python-cloud-storage,2022-08-23 17:41:41.878000,"{python-storage,aflplusplus}","{27f2641c7f6b24ff5e750490f87188e648a82a9e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-23 21:42:28.061000,"{python-storage,aflplusplus}","{8fd4c376bd5f031836feb8101c9c0c0d1c2e969d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61551.0,15154.0,61551.0,0.0,0.0
gcp-python-cloud-storage,2022-08-24 06:35:00.210000,"{python-storage,aflplusplus}","{8fd4c376bd5f031836feb8101c9c0c0d1c2e969d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-26 06:14:11.297000,"{python-storage,aflplusplus}","{e770f1b0355e22412114159b0558ad753ac9d28e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-08-26 06:14:11.297000,"{python-storage,aflplusplus}","{e770f1b0355e22412114159b0558ad753ac9d28e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-27 06:06:16.377000,"{python-storage,aflplusplus}","{02540438ac74e75f61e23bf86f97ed9a2816defd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-08-30 06:08:26.321000,"{python-storage,aflplusplus}","{02540438ac74e75f61e23bf86f97ed9a2816defd,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-31 06:28:45.699000,"{python-storage,aflplusplus}","{f105ed0e8d6664a565f00cc094216ef48291d960,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-08-31 06:28:45.699000,"{python-storage,aflplusplus}","{f105ed0e8d6664a565f00cc094216ef48291d960,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-01 06:37:56.807000,"{python-storage,aflplusplus}","{65053736c8ad2575288c668c06555761ebffafd6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-09-01 06:37:56.807000,"{python-storage,aflplusplus}","{65053736c8ad2575288c668c06555761ebffafd6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-02 06:42:40.235000,"{python-storage,aflplusplus}","{e92cd90af28854ac4e25024fa1adc0a27f93a4a4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-09-02 06:42:40.235000,"{python-storage,aflplusplus}","{e92cd90af28854ac4e25024fa1adc0a27f93a4a4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-03 06:04:05.514000,"{python-storage,aflplusplus}","{519074112775c19742522158f612b467cf590219,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-09-05 06:29:27.314000,"{python-storage,aflplusplus}","{519074112775c19742522158f612b467cf590219,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:33:26.046000,"{python-storage,centipede,aflplusplus}","{519074112775c19742522158f612b467cf590219,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-09-06 06:33:26.046000,"{python-storage,centipede,aflplusplus}","{519074112775c19742522158f612b467cf590219,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:06:30.891000,"{python-storage,centipede,aflplusplus}","{282e3b605e62c4f8d93debff20d40afbf2e718f5,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-09-07 06:06:30.891000,"{python-storage,centipede,aflplusplus}","{282e3b605e62c4f8d93debff20d40afbf2e718f5,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:15:55.057000,"{python-storage,centipede,aflplusplus}","{282e3b605e62c4f8d93debff20d40afbf2e718f5,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15154.0,61553.0,15154.0,61553.0,0.0,0.0
gcp-python-cloud-storage,2022-09-11 06:05:14.101000,"{python-storage,centipede,aflplusplus}","{282e3b605e62c4f8d93debff20d40afbf2e718f5,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:10:17.849000,"{python-storage,centipede,aflplusplus}","{282e3b605e62c4f8d93debff20d40afbf2e718f5,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15153.0,61566.0,15153.0,61566.0,0.0,0.0
gcp-python-cloud-storage,2022-09-13 06:06:14.742000,"{python-storage,centipede,aflplusplus}","{282e3b605e62c4f8d93debff20d40afbf2e718f5,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-14 06:08:46.728000,"{python-storage,centipede,aflplusplus}","{dd47bf0293d8687b7620fc5f28ffa068c1119dcb,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",15153.0,61566.0,15153.0,61569.0,3.0,-0.0011992696417024717
