project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
gdk-pixbuf,2020-11-28 08:06:17.474000,"{gdk-pixbuf,afl}","{abc3e9c1753eeecf82e2aec42f957c51bb0cf8d8,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-29 07:44:51.008000,"{gdk-pixbuf,afl}","{bf6e1fb8fa84aeedf91875a799836f84b4044020,82b5e359463238d790cadbe2dd494d6a4928bff3}",9557.0,179022.0,9557.0,179022.0,0.0,0.0
gdk-pixbuf,2020-11-29 07:44:51.008000,"{gdk-pixbuf,afl}","{bf6e1fb8fa84aeedf91875a799836f84b4044020,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-11-30 09:57:06.885000,"{gdk-pixbuf,afl}","{22c98d759ef833704bab916972469bddaa781e06,82b5e359463238d790cadbe2dd494d6a4928bff3}",9557.0,179022.0,9557.0,179023.0,1.0,-2.9819911535611254e-05
gdk-pixbuf,2020-12-02 07:53:55.881000,"{gdk-pixbuf,afl}","{22c98d759ef833704bab916972469bddaa781e06,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-03 06:18:50.863000,"{gdk-pixbuf,afl}","{418b7e104f447b127a0dfab3723a031342b0cec4,82b5e359463238d790cadbe2dd494d6a4928bff3}",9557.0,179023.0,9557.0,179023.0,0.0,0.0
gdk-pixbuf,2020-12-03 06:18:50.863000,"{gdk-pixbuf,afl}","{418b7e104f447b127a0dfab3723a031342b0cec4,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-04 06:24:31.492000,"{gdk-pixbuf,afl}","{3c6779c37482d8c322446629a5407d7bd912b23d,82b5e359463238d790cadbe2dd494d6a4928bff3}",9557.0,179023.0,9557.0,179023.0,0.0,0.0
gdk-pixbuf,2020-12-07 09:50:47.732000,"{gdk-pixbuf,afl}","{3c6779c37482d8c322446629a5407d7bd912b23d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-08 09:08:08.425000,"{gdk-pixbuf,afl}","{7e168dca2438f73cfb8534bb126e799a2185aa5d,82b5e359463238d790cadbe2dd494d6a4928bff3}",9557.0,179023.0,9558.0,179028.0,5.0,0.0004094772828002746
gdk-pixbuf,2020-12-12 07:10:54.281000,"{gdk-pixbuf,afl}","{7e168dca2438f73cfb8534bb126e799a2185aa5d,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-13 08:12:09.252000,"{gdk-pixbuf,afl}","{89a4cedc0d00fdea6f6c792baafe4cfc8e485fe0,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2020-12-14 08:22:51.764000,"{gdk-pixbuf,afl}","{89a4cedc0d00fdea6f6c792baafe4cfc8e485fe0,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-16 10:30:08.935000,"{gdk-pixbuf,afl}","{cb32c3448837fbae9830b9df08f55bb096e8c687,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2020-12-18 07:17:28.656000,"{gdk-pixbuf,afl}","{cb32c3448837fbae9830b9df08f55bb096e8c687,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-19 08:34:46.968000,"{gdk-pixbuf,afl}","{a4e2bdef06aa0c413376813592e39aafe18f021c,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2020-12-22 09:21:06.687000,"{gdk-pixbuf,afl}","{a4e2bdef06aa0c413376813592e39aafe18f021c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-23 07:37:44.544000,"{gdk-pixbuf,afl}","{3c17da4d022767403e11059d485f8475e864d9f3,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2020-12-27 07:26:38.358000,"{gdk-pixbuf,afl}","{3c17da4d022767403e11059d485f8475e864d9f3,82b5e359463238d790cadbe2dd494d6a4928bff3}",2020-12-28 08:03:31.605000,"{gdk-pixbuf,afl}","{e979462d4776556816c4fc937bac2402a44ac20c,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2021-01-02 09:21:35.169000,"{gdk-pixbuf,afl}","{e979462d4776556816c4fc937bac2402a44ac20c,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-03 08:11:48.803000,"{gdk-pixbuf,afl}","{f3c485373ce8066e85b20abb76cb722e945f23fd,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2021-01-03 08:11:48.803000,"{gdk-pixbuf,afl}","{f3c485373ce8066e85b20abb76cb722e945f23fd,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-04 08:03:00.403000,"{gdk-pixbuf,afl}","{7ccbdf549978d4cadd71986b673a5084879475ba,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
gdk-pixbuf,2021-01-04 08:03:00.403000,"{gdk-pixbuf,afl}","{7ccbdf549978d4cadd71986b673a5084879475ba,82b5e359463238d790cadbe2dd494d6a4928bff3}",2021-01-05 08:17:54.825000,"{gdk-pixbuf,afl}","{fe4bb95b4230ebf4b10b426b70fcc19f878ec310,82b5e359463238d790cadbe2dd494d6a4928bff3}",9558.0,179028.0,9558.0,179028.0,0.0,0.0
