project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
gimli,2023-03-04 06:06:53.755000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,409228963ecf962ab84bc29ba12e162037a4dc79}",2023-03-05 06:22:04.916000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,64e27af9015794300cd5a530234f21d52a79c7bb}",2762.0,17938.0,2762.0,17938.0,0.0,0.0
gimli,2023-05-04 06:12:24.729000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,64e27af9015794300cd5a530234f21d52a79c7bb}",2023-05-05 06:32:25.522000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,0c71b5a7a1e5eb76f7d288e3cdd4b00d61b368ac}",2762.0,17941.0,2762.0,17944.0,3.0,-0.002573825042963662
gimli,2023-05-11 06:24:28.143000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,0c71b5a7a1e5eb76f7d288e3cdd4b00d61b368ac}",2023-05-12 06:53:32.571000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,1fe9657a8407250f55201924fb826dac7d0bb4d7}",2762.0,17944.0,2762.0,17944.0,0.0,0.0
gimli,2023-05-17 06:11:00.048000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,1fe9657a8407250f55201924fb826dac7d0bb4d7}",2023-05-18 06:03:31.775000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,0ad25a73fb09fe45cc0b1f992c1391f28f51cb40}",2762.0,17944.0,2762.0,17944.0,0.0,0.0
gimli,2023-05-23 06:48:12.005000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,0ad25a73fb09fe45cc0b1f992c1391f28f51cb40}",2023-05-24 06:18:31.680000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,8936d96877cc5ace2a3092c16a385f651a5fc8d8}",2762.0,17944.0,2762.0,17944.0,0.0,0.0
gimli,2023-05-25 06:45:59.315000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,8936d96877cc5ace2a3092c16a385f651a5fc8d8}",2023-05-26 06:28:49.026000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,86159ed5bc7763188bbc6ceacab6e13680502ba4}",2762.0,17944.0,2762.0,17944.0,0.0,0.0
gimli,2023-05-27 06:39:44.611000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,86159ed5bc7763188bbc6ceacab6e13680502ba4}",2023-05-28 06:59:00.830000,"{gimli,corpus}","{86159ed5bc7763188bbc6ceacab6e13680502ba4,a7ee0766fbae852516eb19538637633892f72806}",2762.0,17944.0,2762.0,17944.0,0.0,0.0
gimli,2023-06-14 06:06:26.769000,"{gimli,corpus}","{86159ed5bc7763188bbc6ceacab6e13680502ba4,a7ee0766fbae852516eb19538637633892f72806}",2023-06-15 06:32:09.965000,"{gimli,corpus}","{c42dec01df24d9a5cdbdd8ca1aea555242cc64e9,a7ee0766fbae852516eb19538637633892f72806}",2762.0,17944.0,2762.0,17945.0,1.0,-0.0008577504429432281
gimli,2023-07-29 07:06:42.129000,"{gimli,corpus}","{c42dec01df24d9a5cdbdd8ca1aea555242cc64e9,a7ee0766fbae852516eb19538637633892f72806}",2023-07-30 06:08:48.820000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,c42dec01df24d9a5cdbdd8ca1aea555242cc64e9}",2762.0,17958.0,2762.0,17958.0,0.0,0.0
gimli,2023-08-06 06:22:33.614000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,c42dec01df24d9a5cdbdd8ca1aea555242cc64e9}",2023-08-07 06:26:32.069000,"{corpus,gimli}","{a7ee0766fbae852516eb19538637633892f72806,1c3d19bf7cff627efe7fbd860dce049925e34e3d}",2762.0,17958.0,2762.0,17943.0,-15.0,0.012857659158592938
