project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
gitdb,2023-09-10 06:12:46.164000,{gitdb},{8d92aba1e43bbf5b48e3a62dc6cd581d7bfdc1bb},2023-09-11 06:12:44.912000,{gitdb},{67ab5a74e064ea446f786ee5b7e594d03b2d140e},794.0,2391.0,794.0,2391.0,0.0,0.0
gitdb,2023-09-11 06:12:44.912000,{gitdb},{67ab5a74e064ea446f786ee5b7e594d03b2d140e},2023-09-12 08:23:34.671000,{gitdb},{d24f019f66f6e5999dd21490941666f2eb11e0bb},794.0,2391.0,794.0,2390.0,-1.0,0.01389450327150854
gitdb,2023-09-17 06:05:59.142000,{gitdb},{d24f019f66f6e5999dd21490941666f2eb11e0bb},2023-09-18 06:58:57.213000,{gitdb},{a898bef639e64507b02d45b4e3b37fd700ff745c},794.0,2390.0,794.0,2390.0,0.0,0.0
gitdb,2023-10-03 07:22:01.634000,{gitdb},{a898bef639e64507b02d45b4e3b37fd700ff745c},2023-10-05 06:15:39.804000,{gitdb},{256d341ab023d96e92550f8a029d300e4b3043d1},794.0,2390.0,794.0,2390.0,0.0,0.0
gitdb,2023-10-07 06:35:03.159000,{gitdb},{256d341ab023d96e92550f8a029d300e4b3043d1},2023-10-08 06:23:26.326000,{gitdb},{8ec23904f44fbbb9bb560b83bd891a9b48be7645},794.0,2390.0,795.0,2391.0,1.0,0.02792900153819744
gitdb,2023-10-13 06:29:09.849000,{gitdb},{8ec23904f44fbbb9bb560b83bd891a9b48be7645},2023-10-14 06:15:32.009000,{gitdb},{6a2270635842c4287ae14d94fdc3f9e1ddd0527a},795.0,2391.0,795.0,2391.0,0.0,0.0
gitdb,2023-10-20 07:09:43.991000,{gitdb},{6a2270635842c4287ae14d94fdc3f9e1ddd0527a},2023-10-21 06:24:40.818000,{gitdb},{ec58b7e55c8fec2479290a22faa293799f6805fc},795.0,2391.0,786.0,2381.0,-10.0,-0.23834655050939801
gitdb,2023-12-08 07:04:22.765000,{gitdb},{ec58b7e55c8fec2479290a22faa293799f6805fc},2023-12-09 06:54:00.615000,{gitdb},{b6539232ab73fa4ad37fe63131c1cbc671b462e7},786.0,2381.0,786.0,2381.0,0.0,0.0
gitdb,2024-06-09 06:14:15.726000,{gitdb},{b6539232ab73fa4ad37fe63131c1cbc671b462e7},2024-06-10 06:33:09.551000,{gitdb},{88da5efb96f3578a315c3e819ccf0f3edb080eec},786.0,2381.0,787.0,2380.0,-1.0,0.05588711755176945
gitdb,2024-10-08 13:42:23.367000,{gitdb},{88da5efb96f3578a315c3e819ccf0f3edb080eec},2024-10-11 08:14:56.566000,{gitdb},{a8c894f84a419b22583895789ef849090c2f7f49},787.0,2380.0,787.0,2380.0,0.0,0.0
