project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
glog,2023-02-27 06:05:23.115000,{glog},{a13d03babc574015e417a920968ec966a8fb68f5},2023-02-28 07:20:14.218000,{glog},{9c3d6d0e71c1c1020734d57cef1358b5a072cc04},799.0,899.0,801.0,899.0,0.0,0.22246941045607116
glog,2023-02-28 07:20:14.218000,{glog},{9c3d6d0e71c1c1020734d57cef1358b5a072cc04},2023-03-01 06:57:20.744000,{glog},{674283420118bb919f83ceb3d9dee31ef43ff3aa},801.0,899.0,797.0,894.0,-5.0,0.05088925552378498
glog,2023-05-10 07:14:28.326000,{glog},{674283420118bb919f83ceb3d9dee31ef43ff3aa},2023-05-11 06:43:22.678000,{glog},{aca9a23c83838997f22b9f6e6f9b6fc98f8b4705},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-05-15 07:11:57.452000,{glog},{aca9a23c83838997f22b9f6e6f9b6fc98f8b4705},2023-05-16 07:07:45.335000,{glog},{888f93947b60045f674f2c67a2c7e18505079050},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-05-25 07:01:30.336000,{glog},{888f93947b60045f674f2c67a2c7e18505079050},2023-05-26 06:14:12.263000,{glog},{22491eb1236c8b5c1dcba2ed3a213c74ce699988},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-06-05 06:21:51.484000,{glog},{22491eb1236c8b5c1dcba2ed3a213c74ce699988},2023-06-06 06:13:11.450000,{glog},{3a0d4d22c5ae0b9a2216988411cfa6bf860cc372},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-09-06 06:13:33.045000,{glog},{3a0d4d22c5ae0b9a2216988411cfa6bf860cc372},2023-09-07 06:49:53.174000,{glog},{6fbc93a7e42ee6b8bc5560c06641329134bbf0dc},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-09-07 06:49:53.174000,{glog},{6fbc93a7e42ee6b8bc5560c06641329134bbf0dc},2023-09-08 06:40:56.323000,{glog},{64827572c0612e6eb15ed324d8c4fa020a0c5a41},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-10-04 06:33:00.709000,{glog},{64827572c0612e6eb15ed324d8c4fa020a0c5a41},2023-10-05 07:23:00.274000,{glog},{3411d58669fe07e70335b252299432a00d1e7c6c},799.0,894.0,799.0,894.0,0.0,0.0
glog,2023-10-05 07:23:00.274000,{glog},{3411d58669fe07e70335b252299432a00d1e7c6c},2023-10-06 06:50:49.053000,{glog},{857df01007020bc4767d9f819891fb1b2da7cb86},799.0,894.0,827.0,931.0,37.0,-0.5443858928240957
glog,2023-10-06 06:50:49.053000,{glog},{857df01007020bc4767d9f819891fb1b2da7cb86},2023-10-07 07:02:14.088000,{glog},{f6e4d960e916be8f90e6504c341a18db44417783},827.0,931.0,840.0,940.0,9.0,0.5324862307744951
glog,2023-10-07 07:02:14.088000,{glog},{f6e4d960e916be8f90e6504c341a18db44417783},2023-10-08 07:14:09.054000,{glog},{615966eb6d65ab97775b647c4864eca35b536bfd},840.0,940.0,840.0,940.0,0.0,0.0
glog,2023-10-08 07:14:09.054000,{glog},{615966eb6d65ab97775b647c4864eca35b536bfd},2023-10-09 07:12:04.683000,{glog},{aebdfd605162f3fa85388fabf57b63b3b56bfe48},840.0,940.0,840.0,934.0,-6.0,0.5740580436466445
glog,2023-10-09 07:12:04.683000,{glog},{aebdfd605162f3fa85388fabf57b63b3b56bfe48},2023-10-10 07:16:16.442000,{glog},{b58718f37cf58fa17f48bf1d576974d133d89839},840.0,934.0,840.0,934.0,0.0,0.0
glog,2023-10-12 06:05:53.241000,{glog},{b58718f37cf58fa17f48bf1d576974d133d89839},2023-10-13 07:08:24.964000,{glog},{b45f5b4c82756fc4067260a30f841de283e7ec12},840.0,934.0,840.0,934.0,0.0,0.0
glog,2023-10-15 06:05:00.801000,{glog},{b45f5b4c82756fc4067260a30f841de283e7ec12},2023-10-16 06:04:04.485000,{glog},{931323df212c46e3a01b743d761c6ab8dc9f0d09},840.0,934.0,840.0,934.0,0.0,0.0
glog,2023-12-19 07:12:21.130000,{glog},{931323df212c46e3a01b743d761c6ab8dc9f0d09},2023-12-20 07:21:50.828000,{glog},{36ccb159f442a389ab2b48650d8034aa2a301b79},840.0,934.0,840.0,934.0,0.0,0.0
glog,2023-12-20 07:21:50.828000,{glog},{36ccb159f442a389ab2b48650d8034aa2a301b79},2023-12-21 06:18:52.387000,{glog},{6607b369d093e818b09900c9eb45605c24953c87},840.0,934.0,840.0,934.0,0.0,0.0
glog,2023-12-21 06:18:52.387000,{glog},{6607b369d093e818b09900c9eb45605c24953c87},2023-12-22 06:40:02.780000,{glog},{e92ab7df5220c2cce18cc7051b6cf885c18a536b},840.0,934.0,840.0,934.0,0.0,0.0
glog,2023-12-27 07:58:33.937000,{glog},{e92ab7df5220c2cce18cc7051b6cf885c18a536b},2023-12-28 07:20:18.395000,{glog},{ab2a1a851925ddabf82753b4888c18014d5603e0},840.0,934.0,840.0,943.0,9.0,-0.858347658050647
glog,2023-12-29 06:53:46.941000,{glog},{ab2a1a851925ddabf82753b4888c18014d5603e0},2023-12-30 06:04:08.668000,{glog},{546906f467de0194a778eb88e776396ccc4c1979},840.0,943.0,840.0,943.0,0.0,0.0
glog,2023-12-30 06:04:08.668000,{glog},{546906f467de0194a778eb88e776396ccc4c1979},2023-12-31 06:13:38.139000,{glog},{d29d02e8afc8afc87726c47dd91a89a5a51c84ec},840.0,943.0,802.0,903.0,-40.0,-0.26235160517140343
glog,2024-01-01 07:10:27.114000,{glog},{d29d02e8afc8afc87726c47dd91a89a5a51c84ec},2024-01-02 07:30:47.083000,{glog},{b1bc8e75cb18090bfd17023fe19fcf972e2a21ab},802.0,903.0,802.0,888.0,-15.0,1.5002544072311537
glog,2024-01-02 07:30:47.083000,{glog},{b1bc8e75cb18090bfd17023fe19fcf972e2a21ab},2024-01-03 06:07:19.427000,{glog},{003289671145a4996533a486b4a73224c0a888fd},802.0,888.0,802.0,893.0,5.0,-0.505684856188779
glog,2024-01-03 06:07:19.427000,{glog},{003289671145a4996533a486b4a73224c0a888fd},2024-01-04 06:08:59.625000,{glog},{cafba580ec4faeeb8e61a97f91819fd0db3205a0},802.0,893.0,807.0,893.0,0.0,0.5599104143337001
glog,2024-01-04 06:08:59.625000,{glog},{cafba580ec4faeeb8e61a97f91819fd0db3205a0},2024-01-05 06:12:14.535000,{glog},{b172be9564c665856dfe2f55ae0535bbd39a99fe},807.0,893.0,807.0,893.0,0.0,0.0
glog,2024-01-05 06:12:14.535000,{glog},{b172be9564c665856dfe2f55ae0535bbd39a99fe},2024-01-06 06:32:09.637000,{glog},{25a349f7aed01d1bd8f3626e961e3b350b6aa6fd},807.0,893.0,807.0,904.0,11.0,-1.0996293690354548
glog,2024-01-06 06:32:09.637000,{glog},{25a349f7aed01d1bd8f3626e961e3b350b6aa6fd},2024-01-07 06:11:17.583000,{glog},{489d35eb13a27e4f6b097e788d1ed1e970c01a6b},807.0,904.0,807.0,905.0,1.0,-0.09864078619274608
glog,2024-01-07 06:11:17.583000,{glog},{489d35eb13a27e4f6b097e788d1ed1e970c01a6b},2024-01-08 07:04:58.160000,{glog},{aaefca72b30608acf2ba78b41890fff487a2631b},807.0,905.0,807.0,958.0,53.0,-4.933274893597371
glog,2024-01-08 07:04:58.160000,{glog},{aaefca72b30608acf2ba78b41890fff487a2631b},2024-01-09 06:30:02.611000,{glog},{941c66fbcb65f30260b2b1c5083f6a4f9417fb58},807.0,958.0,807.0,958.0,0.0,0.0
glog,2024-01-09 06:30:02.611000,{glog},{941c66fbcb65f30260b2b1c5083f6a4f9417fb58},2024-01-10 06:26:54.845000,{glog},{8d13b3bb0cdb85315a7b98548c23d3d5ee3b9a30},807.0,958.0,807.0,867.0,-91.0,8.84158895045185
