project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
glom,2022-07-05 06:14:13.804000,"{glom,aflplusplus}","{599496d9f55f86f19402c692627ea51671c4e9f2,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-06 06:29:46.847000,"{glom,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3524.0,16713.0,3540.0,16733.0,20.0,0.07041728006182879
glom,2022-09-05 06:03:49.453000,"{glom,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-06 06:21:04.286000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-09-06 06:21:04.286000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,742e94b26247aaac4cddf0c5ca8787b3ea9fe571,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-07 06:29:34.670000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-09-07 06:29:34.670000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,534f097e68c469efb88a77116a28f713e67fe750,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-08 06:10:09.781000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-09-11 06:03:10.970000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,f29cab3bbe2dc1cf2661e74b6a85214bd23194cb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-12 06:17:32.775000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-09-15 06:36:28.425000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,a976295b2acaff8461a906c461f5bb25dafdf557,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-16 06:18:38.601000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-09-19 06:03:00.870000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-20 06:05:04.630000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-09-21 06:14:28.193000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:35:17.018000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",3557.0,16779.0,3557.0,16779.0,0.0,0.0
glom,2022-10-26 19:14:30.060000,"{glom,centipede,aflplusplus}","{94b63752c686a42bf71baeec15e250257aee167d,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:22:23.916000,"{glom,centipede}","{94b63752c686a42bf71baeec15e250257aee167d,baa82e7189677bb9086beb5d9b5e58018d991607}",3561.0,16800.0,3561.0,16800.0,0.0,0.0
glom,2022-11-16 06:15:31.227000,"{glom,centipede}","{94b63752c686a42bf71baeec15e250257aee167d,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-17 06:04:36.102000,{glom},{94b63752c686a42bf71baeec15e250257aee167d},3561.0,16799.0,3561.0,16799.0,0.0,0.0
glom,2022-12-06 06:25:49.224000,{glom},{94b63752c686a42bf71baeec15e250257aee167d},2022-12-07 06:04:33.608000,{glom},{2a428ecee66137dfe4d45524316b3ce0e4abb5a7},3561.0,16799.0,3561.0,16799.0,0.0,0.0
glom,2023-01-13 06:20:04.136000,{glom},{2a428ecee66137dfe4d45524316b3ce0e4abb5a7},2023-01-14 06:30:29.009000,{glom},{db6fee719cf4264048879de632f622d9ee073e8f},3640.0,17001.0,3640.0,17001.0,0.0,0.0
glom,2023-01-16 06:27:10.015000,{glom},{db6fee719cf4264048879de632f622d9ee073e8f},2023-01-17 06:29:18.396000,{glom},{eea15107675eff868c08e18454684faaefb358c9},3640.0,17001.0,3639.0,16983.0,-18.0,0.016804398207565185
glom,2023-01-18 06:26:36.045000,{glom},{eea15107675eff868c08e18454684faaefb358c9},2023-01-19 06:31:53.620000,{glom},{547698323a91dee53d18450495c25683360d251a},3639.0,16983.0,3657.0,16986.0,3.0,0.10218521553115778
glom,2023-01-19 07:40:31.341000,{glom},{547698323a91dee53d18450495c25683360d251a},2023-01-20 06:04:15.559000,{glom},{a8de39dda6e10f161d08ecdf09c1b3938c1e1b00},3657.0,16986.0,3700.0,16986.0,0.0,0.2531496526551251
glom,2023-02-27 06:28:08.574000,{glom},{a8de39dda6e10f161d08ecdf09c1b3938c1e1b00},2023-02-28 06:49:06.913000,{glom},{ec19f8b29e09408f946840e51d3fb4aeea0219e2},1758.0,6371.0,1751.0,6353.0,-18.0,-0.032002499915812166
glom,2023-03-15 06:10:23.990000,{glom},{ec19f8b29e09408f946840e51d3fb4aeea0219e2},2023-03-16 06:18:10.041000,{glom},{e34304301c1986e985a8e08052eaba516103012f},2139.0,6503.0,2139.0,6503.0,0.0,0.0
glom,2023-03-30 06:51:11.717000,{glom},{e34304301c1986e985a8e08052eaba516103012f},2023-03-31 06:51:54.108000,{glom},{e677614386116ceb5f018d47be9e3d2d907dbbce},2139.0,6503.0,2139.0,6503.0,0.0,0.0
glom,2023-04-04 06:20:52.877000,{glom},{e677614386116ceb5f018d47be9e3d2d907dbbce},2023-04-05 06:49:15.155000,{glom},{c97b71a1e4751d227898f2b31e885e001d4818cb},2139.0,6503.0,2138.0,6502.0,-1.0,-0.010321053345322184
glom,2023-08-22 06:07:28.820000,{glom},{c97b71a1e4751d227898f2b31e885e001d4818cb},2023-08-23 07:19:32.382000,{glom},{34315014fe16b4c1e144a1acdf480699bf2303fb},2138.0,6502.0,2138.0,6502.0,0.0,0.0
glom,2023-08-23 07:19:32.382000,{glom},{34315014fe16b4c1e144a1acdf480699bf2303fb},2023-08-24 07:18:25.657000,{glom},{1f883f0db898d6b15fcc0f293225dcccc16b2a57},2138.0,6502.0,2138.0,6502.0,0.0,0.0
