project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
gpsd,2022-10-02 06:04:27.557000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{6fded32d84b014afcd462beddce600e25362a031,e08af9db1545ff70046e59bcc4de4fc9e6d748e7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-03 06:47:25.834000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{1df61193e94b8d09537272a256ce19eefffa4257,e08af9db1545ff70046e59bcc4de4fc9e6d748e7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4596.0,32740.0,4644.0,32746.0,6.0,0.14401065030964766
gpsd,2022-10-05 06:03:58.450000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{1df61193e94b8d09537272a256ce19eefffa4257,e08af9db1545ff70046e59bcc4de4fc9e6d748e7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-06 06:28:35.928000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{1df61193e94b8d09537272a256ce19eefffa4257,fdd1f0d03f40b3545c8b12bbc2f597b1efac861a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",5042.0,32753.0,5109.0,32753.0,0.0,0.20456141422159746
gpsd,2022-10-06 06:28:35.928000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{1df61193e94b8d09537272a256ce19eefffa4257,fdd1f0d03f40b3545c8b12bbc2f597b1efac861a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-06 15:33:45.594000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{1df61193e94b8d09537272a256ce19eefffa4257,9e040ff74dc33fa30995b3a0d136f4ae4e18f53a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",5109.0,32753.0,5109.0,32753.0,0.0,0.0
gpsd,2022-10-07 07:06:01.782000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{1df61193e94b8d09537272a256ce19eefffa4257,9e040ff74dc33fa30995b3a0d136f4ae4e18f53a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-08 06:07:59.692000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{b80eea9c1df9ae1457607007a3e63730f0b7c0ae,9e040ff74dc33fa30995b3a0d136f4ae4e18f53a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",5115.0,32753.0,4975.0,32746.0,-7.0,-0.42419476484483454
gpsd,2022-10-09 06:19:32.400000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{b80eea9c1df9ae1457607007a3e63730f0b7c0ae,9e040ff74dc33fa30995b3a0d136f4ae4e18f53a,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-10 06:19:04.560000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{b80eea9c1df9ae1457607007a3e63730f0b7c0ae,e28844c6344840f08d5e1d14e0488bb32e02817f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4975.0,32746.0,4975.0,32746.0,0.0,0.0
gpsd,2022-10-12 06:09:27.076000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{b80eea9c1df9ae1457607007a3e63730f0b7c0ae,e28844c6344840f08d5e1d14e0488bb32e02817f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-13 06:33:50.835000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{0dbbb9b5caa79bd9e17cf884a88db927f8b9a59d,e28844c6344840f08d5e1d14e0488bb32e02817f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4975.0,32746.0,4975.0,32761.0,15.0,-0.006956149976049986
gpsd,2022-10-16 06:13:18.241000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{0dbbb9b5caa79bd9e17cf884a88db927f8b9a59d,e28844c6344840f08d5e1d14e0488bb32e02817f,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-17 06:36:04.312000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{0dbbb9b5caa79bd9e17cf884a88db927f8b9a59d,8a0e2a5fa9f13178e9452fda0d1c3bd81df96516,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4975.0,32761.0,4975.0,32761.0,0.0,0.0
gpsd,2022-10-18 06:25:58.697000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{0dbbb9b5caa79bd9e17cf884a88db927f8b9a59d,8a0e2a5fa9f13178e9452fda0d1c3bd81df96516,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-19 06:26:04.585000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{acfc4e107d3764a353ef4aec570cdb4c9e04b0f5,8a0e2a5fa9f13178e9452fda0d1c3bd81df96516,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4975.0,32761.0,4975.0,32761.0,0.0,0.0
gpsd,2022-10-19 06:26:04.585000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{acfc4e107d3764a353ef4aec570cdb4c9e04b0f5,8a0e2a5fa9f13178e9452fda0d1c3bd81df96516,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-20 06:49:48.686000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{a14719029ed4a41d7c5cb2ec3a5f3d296e7c986e,3d9e6b4a32d00f4604311004570edf80d0dd9759,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4975.0,32761.0,4975.0,32787.0,26.0,-0.012042248990981719
gpsd,2022-10-22 00:33:36.841000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{a14719029ed4a41d7c5cb2ec3a5f3d296e7c986e,3d9e6b4a32d00f4604311004570edf80d0dd9759,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-22 06:06:15.922000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{a423bbb480a011ca40fda050bfb88f6c8d334163,698701c5b4cfa7fc5e07f364fd7667afbeebd3c4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4975.0,32869.0,4975.0,32869.0,0.0,0.0
gpsd,2022-10-25 06:15:31.393000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{a423bbb480a011ca40fda050bfb88f6c8d334163,698701c5b4cfa7fc5e07f364fd7667afbeebd3c4,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-25 19:48:48.101000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{a423bbb480a011ca40fda050bfb88f6c8d334163,9b26df0397e3cefd879f08807b28d1e6bba771ee,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4961.0,32869.0,4961.0,32869.0,0.0,0.0
gpsd,2022-10-25 19:48:48.101000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{a423bbb480a011ca40fda050bfb88f6c8d334163,9b26df0397e3cefd879f08807b28d1e6bba771ee,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-26 06:18:57.891000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{c410963f64c337a385119721c48ae10184c3d0a0,733683c4823e897d5815ac817e0001d834e94f1e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",4961.0,32869.0,4975.0,32869.0,0.0,0.042593325017492134
gpsd,2022-10-26 19:41:52.903000,"{gpsd,oss-fuzz-bloat,centipede,aflplusplus}","{c410963f64c337a385119721c48ae10184c3d0a0,733683c4823e897d5815ac817e0001d834e94f1e,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-27 06:49:53.462000,"{gpsd,oss-fuzz-bloat,centipede}","{c410963f64c337a385119721c48ae10184c3d0a0,733683c4823e897d5815ac817e0001d834e94f1e,baa82e7189677bb9086beb5d9b5e58018d991607}",4975.0,32869.0,4975.0,32869.0,0.0,0.0
gpsd,2022-10-29 06:42:57.436000,"{gpsd,oss-fuzz-bloat,centipede}","{c410963f64c337a385119721c48ae10184c3d0a0,733683c4823e897d5815ac817e0001d834e94f1e,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-10-30 06:50:46.096000,"{gpsd,oss-fuzz-bloat,centipede}","{c410963f64c337a385119721c48ae10184c3d0a0,f640c413147aaf277647b14f46720291ec1cff26,baa82e7189677bb9086beb5d9b5e58018d991607}",4975.0,32869.0,4975.0,32869.0,0.0,0.0
gpsd,2022-11-02 06:19:06.366000,"{gpsd,oss-fuzz-bloat,centipede}","{c410963f64c337a385119721c48ae10184c3d0a0,f640c413147aaf277647b14f46720291ec1cff26,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-03 06:38:17.197000,"{gpsd,oss-fuzz-bloat,centipede}","{6871d68152c823e3518a90e3a4f88a96a846e30e,f640c413147aaf277647b14f46720291ec1cff26,baa82e7189677bb9086beb5d9b5e58018d991607}",4975.0,32869.0,4975.0,32869.0,0.0,0.0
gpsd,2022-11-03 06:38:17.197000,"{gpsd,oss-fuzz-bloat,centipede}","{6871d68152c823e3518a90e3a4f88a96a846e30e,f640c413147aaf277647b14f46720291ec1cff26,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-04 06:35:51.181000,"{gpsd,oss-fuzz-bloat,centipede}","{4aaef0f3ebd490a49a47ab1147a184b22a7293d5,f640c413147aaf277647b14f46720291ec1cff26,baa82e7189677bb9086beb5d9b5e58018d991607}",4975.0,32869.0,4975.0,32869.0,0.0,0.0
gpsd,2022-11-06 06:47:46.122000,"{gpsd,oss-fuzz-bloat,centipede}","{4aaef0f3ebd490a49a47ab1147a184b22a7293d5,f640c413147aaf277647b14f46720291ec1cff26,baa82e7189677bb9086beb5d9b5e58018d991607}",2022-11-07 06:30:34.748000,"{gpsd,oss-fuzz-bloat,centipede}","{4aaef0f3ebd490a49a47ab1147a184b22a7293d5,1f27aa1df1b3897acfe03c447899248e5ad9ec86,baa82e7189677bb9086beb5d9b5e58018d991607}",4975.0,32869.0,4975.0,32869.0,0.0,0.0
