project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
graphql-java,2023-08-07 07:22:44.823000,{graphql-java},{7f229de387e5e515e99ff270a1d1b9316b6e0338},2023-08-08 06:23:36.286000,{graphql-java},{0265179ff1823244b102cfc532fcd73dc6c82ab4},13107.0,275578.0,13406.0,275584.0,6.0,0.1083933134322379
graphql-java,2023-08-14 06:10:17.805000,{graphql-java},{0265179ff1823244b102cfc532fcd73dc6c82ab4},2023-08-15 07:11:08.755000,{graphql-java},{f19b31b1746ec1de74c53b1d884b424bd5e2023c},13565.0,275584.0,13565.0,275592.0,8.0,-0.00014288583565136292
graphql-java,2023-08-20 06:38:12.009000,{graphql-java},{f19b31b1746ec1de74c53b1d884b424bd5e2023c},2023-08-21 06:33:50.070000,{graphql-java},{8c03da5dcbddc3795e51e01e8d087c2e7e9559ec},13644.0,275592.0,13683.0,275592.0,0.0,0.014151354175737652
graphql-java,2023-08-21 06:33:50.070000,{graphql-java},{8c03da5dcbddc3795e51e01e8d087c2e7e9559ec},2023-08-22 06:33:21.316000,{graphql-java},{a54bb43936a3b68fe44ee55032e407c8a703c263},13683.0,275592.0,13684.0,275593.0,1.0,0.00034483840959609324
graphql-java,2023-08-22 06:33:21.316000,{graphql-java},{a54bb43936a3b68fe44ee55032e407c8a703c263},2023-08-23 06:29:52.827000,{graphql-java},{7088dee6a46ce36368de3fe6a5050261f23908f0},13684.0,275593.0,13744.0,275776.0,183.0,0.018461908856641784
graphql-java,2023-08-23 06:29:52.827000,{graphql-java},{7088dee6a46ce36368de3fe6a5050261f23908f0},2023-08-24 07:11:54.084000,{graphql-java},{72645a5715a01ea5819cfd7024ef5267f71735bb},13744.0,275776.0,13746.0,275793.0,17.0,0.00041798075427479375
graphql-java,2023-08-27 06:38:39.075000,{graphql-java},{72645a5715a01ea5819cfd7024ef5267f71735bb},2023-08-28 06:20:30.315000,{graphql-java},{e3c7df540be09690d4a06a9aaa9bf7dcaf30e346},13760.0,275793.0,13765.0,275810.0,17.0,0.0015053216485423349
graphql-java,2023-08-28 06:20:30.315000,{graphql-java},{e3c7df540be09690d4a06a9aaa9bf7dcaf30e346},2023-08-29 06:07:22.831000,{graphql-java},{edd26ccb957b65c6669782961830b5d74abfd43e},13765.0,275810.0,13765.0,275810.0,0.0,0.0
graphql-java,2023-08-31 07:15:24.814000,{graphql-java},{edd26ccb957b65c6669782961830b5d74abfd43e},2023-09-01 06:10:49.204000,{graphql-java},{c14a72f7994664900ff09661905cbbc3b6f40371},13728.0,275810.0,13728.0,275810.0,0.0,0.0
graphql-java,2023-09-03 07:18:01.443000,{graphql-java},{c14a72f7994664900ff09661905cbbc3b6f40371},2023-09-04 06:22:32.361000,{graphql-java},{bbc029ea4900777c169f046d1ee31dd0f791c1b3},13757.0,275810.0,13754.0,275810.0,0.0,-0.0010877053043758522
graphql-java,2023-09-04 06:22:32.361000,{graphql-java},{bbc029ea4900777c169f046d1ee31dd0f791c1b3},2023-09-05 06:19:14.216000,{graphql-java},{4be2e83289dd45eeddf8f37591378b0d4d6d1b96},13754.0,275810.0,13663.0,275810.0,0.0,-0.03299372756607788
graphql-java,2023-09-07 06:09:29.031000,{graphql-java},{4be2e83289dd45eeddf8f37591378b0d4d6d1b96},2023-09-08 06:21:26.963000,{graphql-java},{eb353dbd785dda91d46140ab8be05d10b999f6e4},13729.0,275810.0,13752.0,275810.0,0.0,0.00833907400021694
graphql-java,2023-09-11 07:02:01.667000,{graphql-java},{eb353dbd785dda91d46140ab8be05d10b999f6e4},2023-09-12 06:30:31.132000,{graphql-java},{aae306959581bc92b2a92b525c61cf82ac869e83},13762.0,275810.0,13762.0,275810.0,0.0,0.0
graphql-java,2023-10-10 06:07:43.244000,{graphql-java},{aae306959581bc92b2a92b525c61cf82ac869e83},2023-10-11 06:17:01.487000,{graphql-java},{dd50648b5e178f965918d0c352787bd81654c7fe},13782.0,275825.0,13879.0,275863.0,38.0,0.0344740956049705
graphql-java,2023-10-16 07:16:35.002000,{graphql-java},{dd50648b5e178f965918d0c352787bd81654c7fe},2023-10-17 07:02:01.659000,{graphql-java},{42870f311b3b16d76325d0c430e43ed0151eb37c},13922.0,275863.0,13946.0,275971.0,108.0,0.006721559654909726
