project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
grpc-httpjson-transcoding,2021-04-30 08:31:23.812000,"{grpc-httpjson-transcoding,aflplusplus}","{988796cc11c73e9f323d940e1dd497b5949d82f8,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 06:23:34.814000,"{grpc-httpjson-transcoding,aflplusplus}","{988796cc11c73e9f323d940e1dd497b5949d82f8,f4cc718fdc4571f56280a1efad3645125bee2154}",241.0,255.0,241.0,255.0,0.0,0.0
grpc-httpjson-transcoding,2021-05-07 08:49:01.791000,"{grpc-httpjson-transcoding,aflplusplus}","{988796cc11c73e9f323d940e1dd497b5949d82f8,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-08 06:58:15.810000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,f4cc718fdc4571f56280a1efad3645125bee2154}",241.0,255.0,241.0,255.0,0.0,0.0
grpc-httpjson-transcoding,2021-05-24 08:09:36.087000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 10:29:16.134000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",241.0,255.0,241.0,255.0,0.0,0.0
grpc-httpjson-transcoding,2021-06-14 09:27:52.838000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 07:46:45.838000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,ade8cdca55951958024c86766453430f904381c5}",241.0,255.0,241.0,255.0,0.0,0.0
grpc-httpjson-transcoding,2021-07-07 08:18:51.742000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,ade8cdca55951958024c86766453430f904381c5}",2021-07-08 09:58:03.277000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",241.0,255.0,241.0,255.0,0.0,0.0
grpc-httpjson-transcoding,2021-07-14 06:38:37.281000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-15 07:30:47.988000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",241.0,255.0,241.0,255.0,0.0,0.0
grpc-httpjson-transcoding,2021-09-22 07:37:34.953000,"{grpc-httpjson-transcoding,aflplusplus}","{f1591a41318104b7e27a26be12f502b106a16256,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-09-27 09:58:48.590000,"{grpc-httpjson-transcoding,aflplusplus}","{207b754f25b30487f7216cc9b3fd10c32e9d14ed,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",245.0,255.0,1741.0,53244.0,52989.0,-92.8085793704455
grpc-httpjson-transcoding,2021-11-04 07:40:23.229000,"{grpc-httpjson-transcoding,aflplusplus}","{207b754f25b30487f7216cc9b3fd10c32e9d14ed,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-05 06:56:42.598000,"{grpc-httpjson-transcoding,aflplusplus}","{6acdde98c94b70453b39a81fe7bf59b847188fc3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",1741.0,53244.0,1741.0,53244.0,0.0,0.0
grpc-httpjson-transcoding,2021-11-11 11:40:11.466000,"{grpc-httpjson-transcoding,aflplusplus}","{6acdde98c94b70453b39a81fe7bf59b847188fc3,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 10:18:24.438000,"{grpc-httpjson-transcoding,aflplusplus}","{6acdde98c94b70453b39a81fe7bf59b847188fc3,533e979010ca338df6fc415d87668f8187752915}",1741.0,53244.0,1741.0,53244.0,0.0,0.0
grpc-httpjson-transcoding,2021-11-17 06:11:17.884000,"{grpc-httpjson-transcoding,aflplusplus}","{6acdde98c94b70453b39a81fe7bf59b847188fc3,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 08:37:00.505000,"{grpc-httpjson-transcoding,aflplusplus}","{6acdde98c94b70453b39a81fe7bf59b847188fc3,132630d48d0f9fe50e9388f941433c85636587da}",1741.0,53244.0,1741.0,53244.0,0.0,0.0
