project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
guetzli,2019-03-13 14:34:58.508000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356052}",2019-03-14 14:32:48.071000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356152}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-14 14:32:48.071000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356152}",2019-03-15 14:31:50.454000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356263}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-15 14:31:50.454000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356263}",2019-03-16 14:30:07.749000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356323}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-16 14:30:07.749000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356323}",2019-03-17 14:29:34.202000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356331}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-17 14:29:34.202000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356331}",2019-03-18 14:34:49.837000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356370}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-18 14:34:49.837000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356370}",2019-03-19 14:31:43.623000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356456}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-19 14:31:43.623000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356456}",2019-03-20 14:27:56.293000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356555}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-20 14:27:56.293000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356555}",2019-03-21 14:32:39.223000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356667}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-21 14:32:39.223000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356667}",2019-03-22 14:33:23.383000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356751}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-22 14:33:23.383000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356751}",2019-03-23 14:32:30.255000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356832}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-23 14:32:30.255000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356832}",2019-03-24 14:27:50.894000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356855}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-24 14:27:50.894000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356855}",2019-03-25 14:39:31.855000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356899}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
guetzli,2019-03-25 14:39:31.855000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,356899}",2019-04-01 14:30:08.964000,"{guetzli,libfuzzer}","{0b78c7cc8b1b6cbaaf3d08b1facb599bcec1d101,357389}",4993.0,6144.0,4993.0,6144.0,0.0,0.0
