project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
haproxy,2020-04-30 13:42:46.696000,"{haproxy,afl}","{a911548715999c5d0b4eccdb026a119d4817b960,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-01 13:42:56.663000,"{haproxy,afl}","{86c6a9221aa5bd7516300f399e87aba09d61de06,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1302.0,88902.0,1302.0,88909.0,7.0,-0.00011530596304831775
haproxy,2020-05-01 13:42:56.663000,"{haproxy,afl}","{86c6a9221aa5bd7516300f399e87aba09d61de06,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-02 13:42:30.800000,"{haproxy,afl}","{9bcd973a818bcc737f627ef9cef211b33229f18f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1302.0,88909.0,1326.0,88922.0,13.0,0.026775854762842055
haproxy,2020-05-02 13:42:30.800000,"{haproxy,afl}","{9bcd973a818bcc737f627ef9cef211b33229f18f,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-03 13:42:17.999000,"{haproxy,afl}","{6318d33ce62580d6ba6d418890e69300715291c4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1326.0,88922.0,1326.0,88953.0,31.0,-0.0005196792736745781
haproxy,2020-05-03 13:42:17.999000,"{haproxy,afl}","{6318d33ce62580d6ba6d418890e69300715291c4,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-04 13:42:37.621000,"{haproxy,afl}","{f35d69e7fc13aab89afcf394c5b96133d3060c1a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1326.0,88953.0,1326.0,88953.0,0.0,0.0
haproxy,2020-05-04 13:42:37.621000,"{haproxy,afl}","{f35d69e7fc13aab89afcf394c5b96133d3060c1a,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-05 13:42:54.739000,"{haproxy,afl}","{0e9d87bf0676a0813cef6cb0c85e74e5707cff7d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1326.0,88953.0,1326.0,89236.0,283.0,-0.004727475265208891
haproxy,2020-05-05 13:42:54.739000,"{haproxy,afl}","{0e9d87bf0676a0813cef6cb0c85e74e5707cff7d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-06 13:42:50.084000,"{haproxy,afl}","{8d38f0affdbf1b3e558602ce6551dcc1cdb8c958,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1326.0,89236.0,1326.0,89335.0,99.0,-0.0016467094663275006
haproxy,2020-05-06 13:42:50.084000,"{haproxy,afl}","{8d38f0affdbf1b3e558602ce6551dcc1cdb8c958,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-07 13:42:51.845000,"{haproxy,afl}","{d888f0fc6ee63abf9dbdab49adf14b63f3ccb1ad,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1326.0,89335.0,1326.0,89352.0,17.0,-0.00028240119216760284
haproxy,2020-05-07 13:42:51.845000,"{haproxy,afl}","{d888f0fc6ee63abf9dbdab49adf14b63f3ccb1ad,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-08 13:42:42.114000,"{haproxy,afl}","{b530bac0f095f2607123b4cc70a577a3215343be,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1326.0,89352.0,1327.0,89375.0,23.0,0.0007369799150622747
haproxy,2020-05-08 13:42:42.114000,"{haproxy,afl}","{b530bac0f095f2607123b4cc70a577a3215343be,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-09 13:41:54.434000,"{haproxy,afl}","{5778fea4da95fd4318e9f8af9c25066eec81cb8d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1327.0,89375.0,1327.0,89375.0,0.0,0.0
haproxy,2020-05-10 13:42:42.145000,"{haproxy,afl}","{5778fea4da95fd4318e9f8af9c25066eec81cb8d,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",2020-05-11 13:41:41.171000,"{haproxy,afl}","{3e235d38ecbfbea1f7e600b6e5281b00c9c1d294,8da80951dd7eeeb3e3b5a3bcd36c485045f40274}",1327.0,89375.0,1327.0,89375.0,0.0,0.0
