project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
hiredis-py,2023-01-30 06:06:39.074000,{hiredis-py},{b56cda391e6e3142de3b1db6f6830c65789feb4f},2023-01-31 02:54:04.143000,{hiredis-py},{dd4c56281600639d0c97ff7b073c8696161c9199},893.0,3398.0,893.0,3398.0,0.0,0.0
hiredis-py,2023-02-02 06:34:29.014000,{hiredis-py},{dd4c56281600639d0c97ff7b073c8696161c9199},2023-02-03 06:59:21.919000,{hiredis-py},{73b8c9df62736fe88dda557bf522619def2977a1},893.0,3398.0,893.0,3398.0,0.0,0.0
hiredis-py,2023-02-12 06:32:18.698000,{hiredis-py},{73b8c9df62736fe88dda557bf522619def2977a1},2023-02-13 06:37:44.273000,{hiredis-py},{a5574a9e4544aa0e2864b8e4e4bdeab89c971831},893.0,3398.0,893.0,3398.0,0.0,0.0
hiredis-py,2023-02-13 06:37:44.273000,{hiredis-py},{a5574a9e4544aa0e2864b8e4e4bdeab89c971831},2023-02-13 19:33:19.219000,{hiredis-py},{8adb1b3cb38b82cdc73fa2d72879712da1f74e70},893.0,3398.0,893.0,3398.0,0.0,0.0
hiredis-py,2023-05-04 06:40:19.436000,{hiredis-py},{8adb1b3cb38b82cdc73fa2d72879712da1f74e70},2023-05-05 06:55:50.716000,{hiredis-py},{d3ce7c0bd21d71a64a23b0cf9f7c11a9656a1952},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2023-06-05 06:07:01.415000,{hiredis-py},{d3ce7c0bd21d71a64a23b0cf9f7c11a9656a1952},2023-06-06 06:08:25.871000,{hiredis-py},{57fa86db49fce80673e52ac6f906143f739c3178},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2023-07-12 06:08:24.447000,{hiredis-py},{57fa86db49fce80673e52ac6f906143f739c3178},2023-07-13 06:35:29.862000,{hiredis-py},{2505558a1b7623e533005acafdbe6fa328d07887},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2023-10-15 07:15:54.869000,{hiredis-py},{2505558a1b7623e533005acafdbe6fa328d07887},2023-10-16 06:10:23.737000,{hiredis-py},{861d51001b35d2b2162bd1152ce997824db674e8},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2023-12-13 06:56:27.274000,{hiredis-py},{861d51001b35d2b2162bd1152ce997824db674e8},2023-12-14 07:17:18.286000,{hiredis-py},{90ffc4d28d475e18952fbba018380697f9a3e135},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2023-12-14 07:17:18.286000,{hiredis-py},{90ffc4d28d475e18952fbba018380697f9a3e135},2023-12-15 06:58:54.867000,{hiredis-py},{870c0f585cf379f53a213ad6dc82cc79cdde0e5e},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2023-12-17 06:56:47.157000,{hiredis-py},{870c0f585cf379f53a213ad6dc82cc79cdde0e5e},2023-12-18 06:25:53.588000,{hiredis-py},{d50608e4c9ea45eafa122d914f9dadd5828f1a35},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2024-01-10 06:08:01.896000,{hiredis-py},{d50608e4c9ea45eafa122d914f9dadd5828f1a35},2024-01-11 07:09:12.381000,{hiredis-py},{64e3394548fe670e7853a2407799e13daa4bf2cb},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2024-07-03 06:28:07.332000,{hiredis-py},{64e3394548fe670e7853a2407799e13daa4bf2cb},2024-07-04 06:34:19.402000,{hiredis-py},{e70af5b94f0881f23f2fb35417bb2e0d0b792f53},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2024-07-11 06:27:54.425000,{hiredis-py},{e70af5b94f0881f23f2fb35417bb2e0d0b792f53},2024-07-12 06:18:55.116000,{hiredis-py},{f4dd0814c16dc9a8efa72434101d49c97778c830},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2024-07-12 06:18:55.116000,{hiredis-py},{f4dd0814c16dc9a8efa72434101d49c97778c830},2024-07-13 06:30:55.667000,{hiredis-py},{01fa2fd6f123e3424ffa00a647f2bf83d48543be},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2024-07-15 06:11:43.035000,{hiredis-py},{01fa2fd6f123e3424ffa00a647f2bf83d48543be},2024-07-16 06:21:44.310000,{hiredis-py},{7792dd23384aa7b00761df51d8011fe24fa33143},15.0,29.0,15.0,29.0,0.0,0.0
hiredis-py,2024-07-19 06:09:17.202000,{hiredis-py},{7792dd23384aa7b00761df51d8011fe24fa33143},2024-07-20 06:09:52.974000,{hiredis-py},{c1eefbdb76614435f7433207bf385ba8cb930b60},15.0,29.0,15.0,29.0,0.0,0.0
