project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
hsqldb,2022-09-21 06:44:42.302000,"{centipede,aflplusplus,hsqldb-svn}","{0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4,6608}",2022-09-22 06:30:09.696000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6610}",21936.0,70035.0,21936.0,70035.0,0.0,0.0
hsqldb,2022-09-24 06:21:40.292000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6610}",2022-09-25 06:23:22.416000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6613}",21920.0,70035.0,21945.0,70035.0,0.0,0.03569643749553819
hsqldb,2022-09-27 06:47:05.187000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6613}",2022-09-28 06:25:52.993000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6617}",22012.0,70035.0,22054.0,70050.0,15.0,0.05322698088092892
hsqldb,2022-10-15 06:56:21.376000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6617}",2022-10-16 06:23:44.545000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6619}",21848.0,71258.0,21921.0,71277.0,19.0,0.09424431549527057
hsqldb,2022-10-16 06:23:44.545000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6619}",2022-10-17 06:31:14.976000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6621}",21921.0,71277.0,21956.0,71277.0,0.0,0.04910419911050923
hsqldb,2022-10-20 06:31:04.995000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6621}",2022-10-20 23:51:08.197000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6628}",21910.0,71277.0,21910.0,71277.0,0.0,0.0
hsqldb,2022-10-26 20:50:49.500000,"{centipede,aflplusplus,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4,6628}",2022-10-27 06:45:32.279000,"{centipede,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,6628}",21999.0,71277.0,22113.0,71277.0,0.0,0.15993939138852298
hsqldb,2022-11-08 06:28:33.963000,"{centipede,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,6628}",2022-11-09 06:47:48.617000,"{centipede,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,6629}",22084.0,71277.0,22094.0,71277.0,0.0,0.014029771174428163
hsqldb,2022-11-09 06:47:48.617000,"{centipede,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,6629}",2022-11-10 06:25:45.565000,"{centipede,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,6631}",22094.0,71277.0,22094.0,71277.0,0.0,0.0
hsqldb,2022-11-16 06:39:59.717000,"{centipede,hsqldb-svn}","{baa82e7189677bb9086beb5d9b5e58018d991607,6631}",2022-11-17 06:42:03.281000,{hsqldb-svn},{6631},22078.0,71277.0,22108.0,71277.0,0.0,0.042089313523295147
hsqldb,2022-11-20 06:48:17.564000,{hsqldb-svn},{6631},2022-11-21 06:23:56.206000,{hsqldb-svn},{6632},22147.0,71277.0,22147.0,71277.0,0.0,0.0
hsqldb,2022-11-28 06:54:11.582000,{hsqldb-svn},{6632},2022-11-29 07:07:39.634000,{hsqldb-svn},{6633},22287.0,71277.0,22115.0,71277.0,0.0,-0.24131206420023332
hsqldb,2022-12-10 07:04:03.348000,{hsqldb-svn},{6633},2022-12-11 06:28:51.837000,{hsqldb-svn},{6634},22165.0,71277.0,22224.0,71277.0,0.0,0.08277564992914677
hsqldb,2022-12-11 06:28:51.837000,{hsqldb-svn},{6634},2022-12-12 06:59:35.004000,{hsqldb-svn},{6635},22224.0,71277.0,22224.0,71277.0,0.0,0.0
hsqldb,2023-01-13 06:32:00.770000,{hsqldb-svn},{6635},2023-01-14 07:07:40.887000,{hsqldb-svn},{6636},22432.0,71277.0,22365.0,71277.0,0.0,-0.09399946686869853
hsqldb,2023-01-26 06:26:16.110000,{hsqldb-svn},{6636},2023-01-27 06:56:00.869000,{hsqldb-svn},{6638},22504.0,71277.0,22505.0,71287.0,10.0,-0.0030261614391022817
hsqldb,2023-02-25 07:34:21.758000,{hsqldb-svn},{6638},2023-02-26 06:54:14.721000,{hsqldb-svn},{6639},23170.0,71287.0,23171.0,71295.0,8.0,-0.0022444681726341287
hsqldb,2023-02-26 06:54:14.721000,{hsqldb-svn},{6639},2023-02-27 07:40:24.198000,{hsqldb-svn},{6641},23171.0,71295.0,23089.0,71295.0,0.0,-0.11501507819622958
hsqldb,2023-02-27 07:40:24.198000,{hsqldb-svn},{6641},2023-02-28 07:33:36.286000,{hsqldb-svn},{6645},23089.0,71295.0,23467.0,71641.0,346.0,0.3712222687234359
hsqldb,2023-02-28 07:33:36.286000,{hsqldb-svn},{6645},2023-03-01 06:33:42.018000,{hsqldb-svn},{6647},23467.0,71641.0,23467.0,71641.0,0.0,0.0
hsqldb,2023-03-07 06:26:22.821000,{hsqldb-svn},{6647},2023-03-08 07:05:10.426000,{hsqldb-svn},{6648},23575.0,71641.0,23389.0,71643.0,2.0,-0.26053926089591073
hsqldb,2023-03-08 07:05:10.426000,{hsqldb-svn},{6648},2023-03-09 07:03:15.042000,{hsqldb-svn},{6650},23389.0,71643.0,23389.0,71644.0,1.0,-0.0004556780040516628
hsqldb,2023-03-18 06:29:37.009000,{hsqldb-svn},{6650},2023-03-19 06:38:58.030000,{hsqldb-svn},{6651},23160.0,71294.0,23160.0,71298.0,4.0,-0.00182250285398311
hsqldb,2023-03-20 06:50:16.926000,{hsqldb-svn},{6651},2023-03-21 07:11:00.353000,{hsqldb-svn},{6652},23160.0,71298.0,23138.0,71304.0,6.0,-0.03358717992971094
hsqldb,2023-03-21 07:11:00.353000,{hsqldb-svn},{6652},2023-03-21 14:19:05.540000,{hsqldb-svn},{6653},23138.0,71304.0,23138.0,71304.0,0.0,0.0
hsqldb,2023-05-22 06:28:21.227000,{hsqldb-svn},{6653},2023-05-23 07:29:16.882000,{hsqldb-svn},{6655},21417.0,71806.0,24393.0,71814.0,8.0,4.140716161376023
hsqldb,2023-05-29 07:54:41.028000,{hsqldb-svn},{6655},2023-05-30 07:07:59.959000,{hsqldb-svn},{6658},24393.0,71814.0,24394.0,71816.0,2.0,0.00044650455248529397
hsqldb,2023-06-15 07:20:15.453000,{hsqldb-svn},{6658},2023-06-16 06:37:40.357000,{hsqldb-svn},{6659},24448.0,71816.0,24448.0,71818.0,2.0,-0.000948022868676901
hsqldb,2023-06-16 06:37:40.357000,{hsqldb-svn},{6659},2023-06-17 07:00:08.316000,{hsqldb-svn},{6660},24448.0,71818.0,24494.0,71919.0,101.0,0.01615425517552893
hsqldb,2023-06-17 07:00:08.316000,{hsqldb-svn},{6660},2023-06-18 07:00:53.087000,{hsqldb-svn},{6662},24494.0,71919.0,24524.0,71920.0,1.0,0.041239463856733494
hsqldb,2023-06-28 07:45:29.871000,{hsqldb-svn},{6662},2023-06-29 06:25:27.656000,{hsqldb-svn},{6663},22174.0,73776.0,25229.0,73792.0,16.0,4.133498299063497
hsqldb,2023-06-29 06:25:27.656000,{hsqldb-svn},{6663},2023-06-30 06:28:46.890000,{hsqldb-svn},{6664},25229.0,73792.0,22142.0,73793.0,1.0,-4.183786935658102
hsqldb,2023-07-11 06:22:31.204000,{hsqldb-svn},{6664},2023-07-12 07:18:51.784000,{hsqldb-svn},{6665},25227.0,73793.0,25227.0,73795.0,2.0,-0.0009265172279953049
hsqldb,2023-07-13 07:06:15.284000,{hsqldb-svn},{6665},2023-07-14 07:20:54.356000,{hsqldb-svn},{6666},25313.0,73795.0,25313.0,73793.0,-2.0,0.0009296757677148548
hsqldb,2023-07-16 06:58:27.621000,{hsqldb-svn},{6666},2023-07-17 07:22:16.069000,{hsqldb-svn},{6667},25313.0,73793.0,25313.0,73793.0,0.0,0.0
hsqldb,2023-08-20 06:37:09.563000,{hsqldb-svn},{6667},2024-04-16 06:35:49.247000,{hsqldb-svn},{6733},24384.0,89856.0,22423.0,90801.0,945.0,-2.4420901836899453
hsqldb,2024-04-19 06:35:58.280000,{hsqldb-svn},{6733},2024-04-20 06:55:08.089000,{hsqldb-svn},{6736},24343.0,90801.0,24293.0,90813.0,12.0,-0.05860075224169492
hsqldb,2024-04-23 06:22:39.080000,{hsqldb-svn},{6736},2024-04-24 06:45:40.583000,{hsqldb-svn},{6737},24311.0,90813.0,24275.0,90815.0,2.0,-0.04023058737672969
hsqldb,2024-04-24 09:25:30.946000,{hsqldb-svn},{6737},2024-04-25 06:30:31.172000,{hsqldb-svn},{6738},24275.0,90815.0,24275.0,90870.0,55.0,-0.01617870710557412
hsqldb,2024-04-26 06:36:54.131000,{hsqldb-svn},{6738},2024-04-27 06:36:41,{hsqldb-svn},{6739},24318.0,90870.0,24278.0,90875.0,5.0,-0.045488930253760884
hsqldb,2024-04-29 06:24:24.581000,{hsqldb-svn},{6739},2024-04-30 06:48:05.933000,{hsqldb-svn},{6740},24234.0,90875.0,24321.0,90876.0,1.0,0.0954413992663028
hsqldb,2024-04-30 06:48:05.933000,{hsqldb-svn},{6740},2024-05-01 06:53:19.366000,{hsqldb-svn},{6743},24321.0,90876.0,24288.0,90912.0,36.0,-0.04689658461234103
hsqldb,2024-05-13 06:48:34.446000,{hsqldb-svn},{6743},2024-05-14 06:31:54.248000,{hsqldb-svn},{6745},21145.0,90912.0,24534.0,91045.0,133.0,3.6883583446566455
hsqldb,2024-05-14 06:31:54.248000,{hsqldb-svn},{6745},2024-05-15 06:25:48.788000,{hsqldb-svn},{6746},24534.0,91045.0,24502.0,91045.0,0.0,-0.035147454555438884
hsqldb,2024-05-16 06:44:56.251000,{hsqldb-svn},{6746},2024-05-17 06:36:28.886000,{hsqldb-svn},{6748},24395.0,91045.0,22166.0,91084.0,39.0,-2.458664345549618
hsqldb,2024-05-18 06:41:42.821000,{hsqldb-svn},{6748},2024-05-19 06:44:44.931000,{hsqldb-svn},{6750},22430.0,91084.0,21837.0,91097.0,13.0,-0.6544686769485786
hsqldb,2024-05-21 06:28:50.574000,{hsqldb-svn},{6750},2024-05-22 06:53:31.826000,{hsqldb-svn},{6752},24551.0,91097.0,24513.0,91099.0,2.0,-0.04230453448526461
hsqldb,2024-05-22 06:53:31.826000,{hsqldb-svn},{6752},2024-05-23 06:30:53.893000,{hsqldb-svn},{6756},24513.0,91099.0,24514.0,91099.0,0.0,0.0010977068903059717
hsqldb,2024-05-23 06:30:53.893000,{hsqldb-svn},{6756},2024-05-24 06:57:40.877000,{hsqldb-svn},{6760},24514.0,91099.0,24512.0,91105.0,6.0,-0.003967456454134322
hsqldb,2024-05-25 06:59:55.357000,{hsqldb-svn},{6760},2024-05-26 06:26:15.551000,{hsqldb-svn},{6761},20286.0,91105.0,24426.0,91105.0,0.0,4.544207233412003
hsqldb,2024-05-26 06:26:15.551000,{hsqldb-svn},{6761},2024-05-27 06:21:59.409000,{hsqldb-svn},{6764},24426.0,91105.0,24502.0,91105.0,0.0,0.08342022940562543
hsqldb,2024-05-27 06:21:59.409000,{hsqldb-svn},{6764},2024-05-28 06:51:43.078000,{hsqldb-svn},{6767},24502.0,91105.0,24542.0,91105.0,0.0,0.043905383897705264
