project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
http-pattern-matcher,2021-04-30 08:36:33.732000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,3ff4ca348c344bded53f53b0d0c4b020a188f26e}",2021-05-01 06:59:21.008000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,f4cc718fdc4571f56280a1efad3645125bee2154}",242.0,259.0,242.0,259.0,0.0,0.0
http-pattern-matcher,2021-05-24 10:08:08.553000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 06:38:58.007000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",242.0,259.0,242.0,259.0,0.0,0.0
http-pattern-matcher,2021-06-14 07:43:36.026000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 06:53:25.349000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,ade8cdca55951958024c86766453430f904381c5}",242.0,259.0,242.0,259.0,0.0,0.0
http-pattern-matcher,2021-07-07 10:18:51.674000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,ade8cdca55951958024c86766453430f904381c5}",2021-07-10 10:41:31.360000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",242.0,259.0,242.0,259.0,0.0,0.0
http-pattern-matcher,2021-07-14 09:48:31.365000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,405382cbddea8b99543c3fddcaa5738b1ed3ade3}",2021-07-15 10:28:25.968000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",242.0,259.0,242.0,259.0,0.0,0.0
http-pattern-matcher,2021-11-11 09:53:38.123000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 06:20:11.935000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,533e979010ca338df6fc415d87668f8187752915}",246.0,259.0,246.0,259.0,0.0,0.0
http-pattern-matcher,2021-11-17 09:33:04.562000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,533e979010ca338df6fc415d87668f8187752915}",2021-11-18 06:26:23.648000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,132630d48d0f9fe50e9388f941433c85636587da}",246.0,259.0,246.0,259.0,0.0,0.0
http-pattern-matcher,2021-11-19 07:11:35.023000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,132630d48d0f9fe50e9388f941433c85636587da}",2021-11-20 06:33:26.458000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,7777045c09c404b1274c930788317525fedb43ad}",246.0,259.0,246.0,259.0,0.0,0.0
http-pattern-matcher,2021-11-22 08:27:16.350000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,7777045c09c404b1274c930788317525fedb43ad}",2021-11-23 09:56:20.871000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",246.0,259.0,246.0,259.0,0.0,0.0
http-pattern-matcher,2021-11-30 10:43:08.085000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,6f9a98c4a97e8e261fc52891d61f0b0c145b6364}",2021-12-01 10:59:27.555000,"{http_pattern_matcher,aflplusplus}","{ba710e2aad8b97ab5d3e382e59e6421b015745d0,5525f8c9ef8bb879dadd0eb942d524827d1b0362}",246.0,259.0,246.0,259.0,0.0,0.0
