project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
httpcomponents-core,2022-06-23 06:23:49.801000,"{httpcomponents-core,aflplusplus}","{c6dfb03a1c74cda8a1905f006efc640b680db886,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-24 06:05:11.744000,"{httpcomponents-core,aflplusplus}","{45afde3f9a51fd9dc5ade04bf0e9649bd6eec267,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1121.0,3546.0,1424.0,4265.0,719.0,1.7749570376012755
httpcomponents-core,2022-06-29 06:27:04.919000,"{httpcomponents-core,aflplusplus}","{45afde3f9a51fd9dc5ade04bf0e9649bd6eec267,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-06-30 06:14:57.287000,"{httpcomponents-core,aflplusplus}","{e0062fe350dce109299c01c7ddbd569553e14e70,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1111.0,3522.0,1103.0,3505.0,-17.0,-0.07524741567372217
httpcomponents-core,2022-07-01 06:28:50.375000,"{httpcomponents-core,aflplusplus}","{e0062fe350dce109299c01c7ddbd569553e14e70,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-02 06:11:36.540000,"{httpcomponents-core,aflplusplus}","{ecc931615e432d42e7361254269bf41f6b488e0c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1424.0,4265.0,1111.0,3522.0,-743.0,-1.843465259068271
httpcomponents-core,2022-07-08 06:04:46.111000,"{httpcomponents-core,aflplusplus}","{ecc931615e432d42e7361254269bf41f6b488e0c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-09 06:03:46.784000,"{httpcomponents-core,aflplusplus}","{dc39634766d5242d7db9261cc4e9e548acb9eb58,c208dcf9c573e3d85990c7dea777646f7fa4961c}",1434.0,4289.0,1442.0,4306.0,17.0,0.05378907599854443
httpcomponents-core,2022-08-10 06:09:18.493000,"{httpcomponents-core,aflplusplus}","{dc39634766d5242d7db9261cc4e9e548acb9eb58,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-21 06:06:23.387000,"{httpcomponents-core,centipede,aflplusplus}","{dc39634766d5242d7db9261cc4e9e548acb9eb58,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",1103.0,3505.0,1434.0,4289.0,784.0,1.9650374560673178
httpcomponents-core,2022-09-21 06:06:23.387000,"{httpcomponents-core,centipede,aflplusplus}","{dc39634766d5242d7db9261cc4e9e548acb9eb58,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",2022-09-22 06:31:39.458000,"{httpcomponents-core,centipede,aflplusplus}","{dc39634766d5242d7db9261cc4e9e548acb9eb58,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1434.0,4289.0,1442.0,4306.0,17.0,0.05378907599854443
httpcomponents-core,2022-10-01 06:20:46.730000,"{httpcomponents-core,centipede,aflplusplus}","{dc39634766d5242d7db9261cc4e9e548acb9eb58,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-02 06:43:42.821000,"{httpcomponents-core,centipede,aflplusplus}","{cabbe6de0528e68839d18a23d2bd585959f91a37,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1121.0,3546.0,1103.0,3505.0,-41.0,-0.1437556371407176
httpcomponents-core,2022-10-02 06:43:42.821000,"{httpcomponents-core,centipede,aflplusplus}","{cabbe6de0528e68839d18a23d2bd585959f91a37,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-03 06:31:35.993000,"{httpcomponents-core,centipede,aflplusplus}","{7f376a908584a552555289a19e9de3a1c3974cf7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1103.0,3505.0,1121.0,3546.0,41.0,0.1437556371407176
httpcomponents-core,2022-10-16 06:12:15.534000,"{httpcomponents-core,centipede,aflplusplus}","{7f376a908584a552555289a19e9de3a1c3974cf7,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-17 06:38:11.137000,"{httpcomponents-core,centipede,aflplusplus}","{4017669646276503487e3a450d5bc2ee59b24972,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1434.0,4289.0,1434.0,4289.0,0.0,0.0
httpcomponents-core,2022-10-18 06:52:40.773000,"{httpcomponents-core,centipede,aflplusplus}","{4017669646276503487e3a450d5bc2ee59b24972,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",2022-10-19 06:31:06.282000,"{httpcomponents-core,centipede,aflplusplus}","{82a0b1ad246c77ea58d9eca8ddbc9f2f89eb051c,baa82e7189677bb9086beb5d9b5e58018d991607,a7877416a87506424053e52e41f7a995c05367a4}",1434.0,4289.0,1442.0,4306.0,17.0,0.05378907599854443
