project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
image-rs,2021-10-09 10:57:40.026000,"{image,aflplusplus}","{e916e9dda5f4253f6cc4557b0fe5fa3876ac18e5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-10 08:30:27.758000,"{image,aflplusplus}","{8ab2d70c6bd725da9b6324316be78c22181cb99a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16780.0,56544.0,16778.0,56567.0,23.0,-0.015601819154831276
image-rs,2021-10-16 06:51:25.560000,"{image,aflplusplus}","{8ab2d70c6bd725da9b6324316be78c22181cb99a,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-17 09:37:34.353000,"{image,aflplusplus}","{e9cfca7f227d0f2b4fd53b0400fb1c692be3359f,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16784.0,56846.0,16784.0,56854.0,8.0,-0.004154555088028644
image-rs,2021-10-21 07:11:02.272000,"{image,aflplusplus}","{e9cfca7f227d0f2b4fd53b0400fb1c692be3359f,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-22 07:02:11.551000,"{image,aflplusplus}","{de8d3648fd2bd0f90962dc904b212dd1d5581799,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16846.0,56854.0,16938.0,56855.0,1.0,0.16129398854857513
image-rs,2021-10-23 11:03:32.673000,"{image,aflplusplus}","{de8d3648fd2bd0f90962dc904b212dd1d5581799,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-24 11:16:23.176000,"{image,aflplusplus}","{6aa61eb44fe5510fe460c008a0cc93eb161e6bb4,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16933.0,56854.0,16330.0,54553.0,-2301.0,0.15088783193576916
image-rs,2021-10-25 09:25:59.179000,"{image,aflplusplus}","{6aa61eb44fe5510fe460c008a0cc93eb161e6bb4,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-26 08:14:40.737000,"{image,aflplusplus}","{094c00f86c868ab305b769eaa3969fcc6b5ee030,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16325.0,54553.0,16315.0,54553.0,0.0,-0.01833079757300382
image-rs,2021-10-29 09:04:09.054000,"{image,aflplusplus}","{094c00f86c868ab305b769eaa3969fcc6b5ee030,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-10-30 11:11:09.512000,"{image,aflplusplus}","{8d2f5ea60964114b42b4efad24d97f6748724eef,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16331.0,54553.0,16336.0,54482.0,-71.0,0.0481894536116414
image-rs,2021-10-31 08:58:53.317000,"{image,aflplusplus}","{8d2f5ea60964114b42b4efad24d97f6748724eef,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-01 08:59:00.150000,"{image,aflplusplus}","{fa82b5e054c736a0627e26001a2bfc6d6e28e4cc,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16319.0,54482.0,16332.0,54485.0,3.0,0.022210534348683808
image-rs,2021-11-01 08:59:00.150000,"{image,aflplusplus}","{fa82b5e054c736a0627e26001a2bfc6d6e28e4cc,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-02 06:53:12.454000,"{image,aflplusplus}","{ceabd672fec3a9ec8e06687b37d32a81b736f0e0,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16332.0,54485.0,16372.0,54499.0,14.0,0.06569564367169178
image-rs,2021-11-04 08:57:20.714000,"{image,aflplusplus}","{ceabd672fec3a9ec8e06687b37d32a81b736f0e0,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-05 10:10:11.141000,"{image,aflplusplus}","{4d9497fc66b7ea81282ce68962b3159c942558ea,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16411.0,54499.0,16415.0,54479.0,-20.0,0.018396989345642822
image-rs,2021-11-05 10:10:11.141000,"{image,aflplusplus}","{4d9497fc66b7ea81282ce68962b3159c942558ea,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-06 11:07:14.378000,"{image,aflplusplus}","{d2f2976d05a0f7cf9a37e17bc8e8255d626115a5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16415.0,54479.0,16413.0,54466.0,-13.0,0.0035196524350240566
image-rs,2021-11-06 11:07:14.378000,"{image,aflplusplus}","{d2f2976d05a0f7cf9a37e17bc8e8255d626115a5,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-07 06:54:09.486000,"{image,aflplusplus}","{a29cdc24822b3803478cf168b5cbae9d53ca96d9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",16413.0,54466.0,16405.0,54466.0,0.0,-0.01468806227738284
image-rs,2021-11-10 07:25:02.003000,"{image,aflplusplus}","{a29cdc24822b3803478cf168b5cbae9d53ca96d9,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-11 12:05:22.884000,"{image,aflplusplus}","{3341bd1566bf9cbfadeb4d70b5500465d862101e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",15971.0,54466.0,15984.0,54483.0,17.0,0.014711213303353787
image-rs,2021-11-11 12:05:22.884000,"{image,aflplusplus}","{3341bd1566bf9cbfadeb4d70b5500465d862101e,4fe572b80f76ff0b0e916b639d1e04d5af48b157}",2021-11-12 11:43:41.556000,"{image,aflplusplus}","{3341bd1566bf9cbfadeb4d70b5500465d862101e,533e979010ca338df6fc415d87668f8187752915}",15984.0,54483.0,16424.0,54483.0,0.0,0.8075913587724664
