project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
imageio,2022-05-06 06:12:49.361000,"{imageio,aflplusplus}","{52954bcedcc3987b9437cde218840543905c05bb,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-07 06:07:21.013000,"{imageio,aflplusplus}","{46a49c442a743d9afe7721ebde59e190f84f60e6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-05-07 06:07:21.013000,"{imageio,aflplusplus}","{46a49c442a743d9afe7721ebde59e190f84f60e6,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-09 06:10:18.018000,"{imageio,aflplusplus}","{54e957a8d4c5faa90c6dd16ae3f64346a5ceafa4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-05-11 06:08:52.921000,"{imageio,aflplusplus}","{54e957a8d4c5faa90c6dd16ae3f64346a5ceafa4,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-12 06:07:42.058000,"{imageio,aflplusplus}","{45739d5507f75095ae8dc34049b55432c5dc288c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-05-12 06:07:42.058000,"{imageio,aflplusplus}","{45739d5507f75095ae8dc34049b55432c5dc288c,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-13 06:20:56.244000,"{imageio,aflplusplus}","{75edcee181631be4ab6f6a69c5d93982c7381bd9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-05-15 06:07:00.778000,"{imageio,aflplusplus}","{75edcee181631be4ab6f6a69c5d93982c7381bd9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-16 06:08:36.677000,"{imageio,aflplusplus}","{445ea378cfefe96aba4d9bbca12c787337881fa5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-05-25 06:06:24.211000,"{imageio,aflplusplus}","{445ea378cfefe96aba4d9bbca12c787337881fa5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-26 06:30:36.873000,"{imageio,aflplusplus}","{ba63485e82bc7eec9399037375887d22ad0a6c82,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-05-28 06:18:53.367000,"{imageio,aflplusplus}","{ba63485e82bc7eec9399037375887d22ad0a6c82,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-30 06:19:11.119000,"{imageio,aflplusplus}","{aba1eecb29cbbbfbd688ccba878c67d53b59204a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-06-29 06:09:41.751000,"{imageio,aflplusplus}","{aba1eecb29cbbbfbd688ccba878c67d53b59204a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-01 06:20:10.031000,"{imageio,aflplusplus}","{9fd2b3504ee7dd55bb7f717fafdf5ae6fe0a294f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-05 06:23:38.528000,"{imageio,aflplusplus}","{9fd2b3504ee7dd55bb7f717fafdf5ae6fe0a294f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-06 06:37:16.928000,"{imageio,aflplusplus}","{67dac41184c230fb3158100080dbec68bc61c98d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-10 06:07:33.202000,"{imageio,aflplusplus}","{67dac41184c230fb3158100080dbec68bc61c98d,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-11 06:11:46.678000,"{imageio,aflplusplus}","{0024cd8cc4cbbb9c9b2dbc912546a33a29ba5290,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-11 06:11:46.678000,"{imageio,aflplusplus}","{0024cd8cc4cbbb9c9b2dbc912546a33a29ba5290,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-12 06:32:57.199000,"{imageio,aflplusplus}","{20eef2a3ead7e892b18e7726260b9bf652217527,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-13 06:19:55.163000,"{imageio,aflplusplus}","{20eef2a3ead7e892b18e7726260b9bf652217527,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-14 06:21:06.457000,"{imageio,aflplusplus}","{d68f16baaf2f6fcfe8523dec4227203e8b22797a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-18 06:07:40.162000,"{imageio,aflplusplus}","{d68f16baaf2f6fcfe8523dec4227203e8b22797a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-19 06:21:49.073000,"{imageio,aflplusplus}","{cd721d92fe096e6bb0ec82e5d0f2ed2fed44b06e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-22 06:31:19.958000,"{imageio,aflplusplus}","{cd721d92fe096e6bb0ec82e5d0f2ed2fed44b06e,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-23 06:32:22.916000,"{imageio,aflplusplus}","{05fcf2c443edf78e1807670ba304f51a43c74808,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-25 06:17:29.372000,"{imageio,aflplusplus}","{05fcf2c443edf78e1807670ba304f51a43c74808,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-26 06:08:05.195000,"{imageio,aflplusplus}","{0d99c51e44d13b49668ef07ae9a8af93084e38a8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
imageio,2022-07-29 06:06:56.429000,"{imageio,aflplusplus}","{0d99c51e44d13b49668ef07ae9a8af93084e38a8,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-07-30 06:35:12.248000,"{imageio,aflplusplus}","{7c55a557c0feb1426bf8fff5a8f61b6f05d305d9,c208dcf9c573e3d85990c7dea777646f7fa4961c}",nan,nan,nan,nan,nan,nan
