project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
imagemagick,2019-03-13 14:09:36.260000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,4e64d9d3daa6356da8ad30b8303402f7dd4a30d2,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,067031eaed11e91d9914e1e872738c7bdf075e0b,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,2eb281174073d12819b52d4873f33cba734e3867,356046}",2019-03-14 14:06:10.960000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,4e64d9d3daa6356da8ad30b8303402f7dd4a30d2,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,067031eaed11e91d9914e1e872738c7bdf075e0b,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,860af935df3e1c78f7e4d142c9cbe116c29de2a8,356140}",262439.0,519091.0,262522.0,519091.0,0.0,0.015989489318833705
imagemagick,2019-03-14 14:06:10.960000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,4e64d9d3daa6356da8ad30b8303402f7dd4a30d2,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,067031eaed11e91d9914e1e872738c7bdf075e0b,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,860af935df3e1c78f7e4d142c9cbe116c29de2a8,356140}",2019-03-15 14:05:42.644000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,fcfd9c71b40c19c5f00760262520dae15ccacf17,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,0b6445d493f4d7046471d1d6f9610fb34b1fd916,356258}",262522.0,519091.0,262762.0,519098.0,7.0,0.04555206561490621
imagemagick,2019-03-15 14:05:42.644000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,fcfd9c71b40c19c5f00760262520dae15ccacf17,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,0b6445d493f4d7046471d1d6f9610fb34b1fd916,356258}",2019-03-16 14:04:24.058000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,fcfd9c71b40c19c5f00760262520dae15ccacf17,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,ff380f41c784ab70d11998cd1b0515c59e96b39f,356322}",262762.0,519098.0,263144.0,519098.0,0.0,0.07358918739814868
imagemagick,2019-03-16 14:04:24.058000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,fcfd9c71b40c19c5f00760262520dae15ccacf17,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,ff380f41c784ab70d11998cd1b0515c59e96b39f,356322}",2019-03-17 14:04:19.101000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,8c3f04febb951d604cedc8e70b06f3db271e6273,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,e8758e09093361175aae6d03f4046329a91fea7e,356330}",263144.0,519098.0,262590.0,519103.0,5.0,-0.10721082855867081
imagemagick,2019-03-17 14:04:19.101000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,8c3f04febb951d604cedc8e70b06f3db271e6273,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,e8758e09093361175aae6d03f4046329a91fea7e,356330}",2019-03-18 14:16:04.202000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,8c3f04febb951d604cedc8e70b06f3db271e6273,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,ff60b014e1ac352dccfb86b0670b84ef86ca58b9,356365}",262590.0,519103.0,262728.0,519104.0,1.0,0.026486820874765726
imagemagick,2019-03-18 14:16:04.202000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fbbcf50367403a6316a013b51690071198962920,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,8c3f04febb951d604cedc8e70b06f3db271e6273,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,ff60b014e1ac352dccfb86b0670b84ef86ca58b9,356365}",2019-03-19 14:03:36.017000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,dde03eec37579ef86ca6a9e04bf290bc85f785ad,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,e6dd6b678be613a2117b98ee520aecd3f95240c5,356451}",262728.0,519104.0,262770.0,519130.0,26.0,0.005555626895592525
imagemagick,2019-03-19 14:03:36.017000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,dde03eec37579ef86ca6a9e04bf290bc85f785ad,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,e6dd6b678be613a2117b98ee520aecd3f95240c5,356451}",2019-03-20 14:08:48.644000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,df266d3e6b657c6220ae1a13b516f03d1a307d21,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,732cb2cd50dcb4c5699f9502b95da54b0070fba6,356553}",262770.0,519130.0,262859.0,519171.0,41.0,0.013145355687939286
imagemagick,2019-03-20 14:08:48.644000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,df266d3e6b657c6220ae1a13b516f03d1a307d21,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,732cb2cd50dcb4c5699f9502b95da54b0070fba6,356553}",2019-03-21 14:07:22.465000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,732cb2cd50dcb4c5699f9502b95da54b0070fba6,356662}",262859.0,519171.0,262761.0,519171.0,0.0,-0.018876246939839803
imagemagick,2019-03-21 14:07:22.465000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,732cb2cd50dcb4c5699f9502b95da54b0070fba6,356662}",2019-03-22 14:07:09.140000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,34a6a5a45e83a4af852090b4e43f168a380df979,356747}",262761.0,519171.0,263143.0,519176.0,5.0,0.07309070865964173
imagemagick,2019-03-22 14:07:09.140000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,e3d738277b5c7ec23c33294435d1bbbd152f77b8,34a6a5a45e83a4af852090b4e43f168a380df979,356747}",2019-03-23 14:08:48.159000,"{Little-CMS,libpng,libraw,xz,freetype2,libjpeg-turbo,zlib,libwebp,openjpeg,libheif,libde265,libtiff,imagemagick,libfuzzer}","{b5b36cd062c968fd3e1c5c0c37f9392bc7a47ddf,8439534daa1d3a5705ba92e653eda9251246dd61,d4f05dd1b9b2d44c8f7e82043cbad3c724db2416,d0e58b3a51e8e616f3dc26ec7b7e4aa0fa6991ad,fdb10e8b50cfff7be2ec2b77cb4a695f3d77643c,5857929f95c933bdf03e40a65ec73fe31d3f667e,cacf7f1d4e3d44d871b605da3b647f07d718623f,af0bac643a40812a74daed2c20404e8d4b32c3f2,51f097e6d5754ddae93e716276fe8176b44ec548,47f8351e3979de23dd1861478b1ef56c18bef06e,4488ae0c3b287ef6f24a958004481b2b337abc76,bf3589510740d30f231bdbc340502622cbcc5984,6b3dd6dd807277a49ed495e8a07b12ddbee6028f,356831}",263143.0,519176.0,262818.0,519198.0,22.0,-0.0647442098306854
