project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jackson-core,2021-05-24 09:39:33.756000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,7d26b4612534db791a1a6850df6bfdf5ccdf652d,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,f4cc718fdc4571f56280a1efad3645125bee2154}",2021-05-25 07:41:41.881000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,7d26b4612534db791a1a6850df6bfdf5ccdf652d,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4976.0,34645.0,4980.0,34646.0,1.0,0.011130784999188847
jackson-core,2021-05-26 07:43:48.876000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,7d26b4612534db791a1a6850df6bfdf5ccdf652d,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-27 06:38:57.165000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,9202d13c121fb6c86d9e707e8c47fa032fcc5671,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4971.0,34596.0,4976.0,34600.0,4.0,0.012789744144969362
jackson-core,2021-05-27 06:38:57.165000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,9202d13c121fb6c86d9e707e8c47fa032fcc5671,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-28 06:34:04.322000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,788a741572a29f3566e5cf2a48f333b092766b5c,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4976.0,34600.0,4970.0,34601.0,1.0,-0.01775617765065185
jackson-core,2021-05-28 06:34:04.322000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,788a741572a29f3566e5cf2a48f333b092766b5c,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-05-29 10:32:27.015000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,bbf650f8db05f6aa7e9f39d2685fb620ba7c5707,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4970.0,34601.0,4979.0,34612.0,11.0,0.021437616611644117
jackson-core,2021-06-07 06:21:18.969000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,bbf650f8db05f6aa7e9f39d2685fb620ba7c5707,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-08 08:13:43.886000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,71385d180d118f857ba59f34e05f113942345001,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4979.0,34593.0,4976.0,34618.0,25.0,-0.019060232614734218
jackson-core,2021-06-10 08:33:24.982000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,71385d180d118f857ba59f34e05f113942345001,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-11 08:45:27.200000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,8ce56fcb35a74064e15363b25755edd50f701c7a,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4979.0,34617.0,4978.0,34617.0,0.0,-0.002888754080363043
jackson-core,2021-06-11 08:45:27.200000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,8ce56fcb35a74064e15363b25755edd50f701c7a,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-12 10:26:21.738000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,20d8d0c6eee7e7b8801a8cf55c294c9051ba8c01,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",4978.0,34617.0,4966.0,34598.0,-19.0,-0.026786977905395304
jackson-core,2021-06-14 11:52:41.507000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,20d8d0c6eee7e7b8801a8cf55c294c9051ba8c01,94a0e1cab04a218cb189e635727ca803dc56a958,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,5997a4fc09163c1baa186f5a9d00c4c8668a72b1}",2021-06-15 06:47:03.291000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,e7aaa58bb117e06fab466895a0d39de3f5fdd8cd,46ae3cfe3f0ba2a7527b90491b10cd70f7b65fb8,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,ade8cdca55951958024c86766453430f904381c5}",4976.0,34616.0,4979.0,34617.0,1.0,0.008251008014612538
jackson-core,2021-06-15 06:47:03.291000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,e7aaa58bb117e06fab466895a0d39de3f5fdd8cd,46ae3cfe3f0ba2a7527b90491b10cd70f7b65fb8,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,ade8cdca55951958024c86766453430f904381c5}",2021-06-16 08:57:25.531000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,43ab2884d461ddd0a692dcd3c8f92faadd781e93,46ae3cfe3f0ba2a7527b90491b10cd70f7b65fb8,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,ade8cdca55951958024c86766453430f904381c5}",4979.0,34617.0,4979.0,34696.0,79.0,-0.032749176237169664
jackson-core,2021-06-16 08:57:25.531000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,43ab2884d461ddd0a692dcd3c8f92faadd781e93,46ae3cfe3f0ba2a7527b90491b10cd70f7b65fb8,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,ade8cdca55951958024c86766453430f904381c5}",2021-06-17 09:55:06.205000,"{jackson-annotations,jackson-databind,jackson-core,go-fuzz-corpus,fuzzing,aflplusplus}","{6e9bca18f558a0175d9ae789336b19f337200985,c5fd40f3be17e24af836cbb2e4dfb3eff17823a7,46ae3cfe3f0ba2a7527b90491b10cd70f7b65fb8,c42c1b2914c7503500996ee15927d3ab3d2ba968,bb05211c12328cb16327bb0d58c0c67a9a44576f,ade8cdca55951958024c86766453430f904381c5}",4979.0,34696.0,4979.0,34695.0,-1.0,0.0004136145666482349
