project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
jansson,2019-07-24 13:22:02.903000,"{jansson,libfuzzer}","{1ac79b2558cfa630157ddfa96f25bbad4b7cdffc,366903}",2019-07-25 13:22:40.938000,"{jansson,libfuzzer}","{0ed750a7ea92cd0dde949daed06b5a60cab25f9f,367015}",0.0,3163.0,2135.0,3251.0,88.0,65.67210089203323
jansson,2019-07-25 13:22:40.938000,"{jansson,libfuzzer}","{0ed750a7ea92cd0dde949daed06b5a60cab25f9f,367015}",2019-07-26 13:22:15.287000,"{jansson,libfuzzer}","{a6f6ec185623f32d5c500955cedbee74d1739c12,367107}",2135.0,3251.0,1865.0,3316.0,65.0,-9.429640095893305
jansson,2019-07-26 13:22:15.287000,"{jansson,libfuzzer}","{a6f6ec185623f32d5c500955cedbee74d1739c12,367107}",2019-07-27 13:22:44.804000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367171}",1865.0,3316.0,1864.0,3316.0,0.0,-0.03015681544028581
jansson,2019-07-27 13:22:44.804000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367171}",2019-07-28 13:23:04.902000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367189}",1864.0,3316.0,2200.0,3316.0,0.0,10.132689987937276
jansson,2019-07-28 13:23:04.902000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367189}",2019-07-29 13:22:55.813000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367224}",2200.0,3316.0,2200.0,3316.0,0.0,0.0
jansson,2019-07-29 13:22:55.813000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367224}",2019-07-30 13:38:12.538000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367310}",2200.0,3316.0,2200.0,3316.0,0.0,0.0
jansson,2019-07-30 13:38:12.538000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367310}",2019-07-31 13:22:19.362000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367430}",2200.0,3316.0,2200.0,3316.0,0.0,0.0
jansson,2019-07-31 13:22:19.362000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367430}",2019-08-01 13:22:42.720000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367557}",2200.0,3316.0,2200.0,3316.0,0.0,0.0
jansson,2019-08-01 13:22:42.720000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367557}",2019-08-02 13:23:20.985000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367679}",2200.0,3316.0,2200.0,3316.0,0.0,0.0
jansson,2019-08-02 13:23:20.985000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367679}",2019-08-03 13:22:56.654000,"{jansson,libfuzzer}","{af66d3f4c0ca3b0b010075aa2563c0e3b22b4044,367753}",2200.0,3316.0,2200.0,3316.0,0.0,0.0
