project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
janus-gateway,2019-03-16 13:45:50.300000,"{janus-gateway,libsrtp,libfuzzer}","{09bcf7e74d5b863f3a465e0b8e3ce77497aa5bbf,420aecd06a5dd9208edc22e6366cab452b9467eb,356322}",2019-03-17 13:45:55.831000,"{janus-gateway,libsrtp,libfuzzer}","{09bcf7e74d5b863f3a465e0b8e3ce77497aa5bbf,420aecd06a5dd9208edc22e6366cab452b9467eb,356330}",1666.0,3370.0,1666.0,3370.0,0.0,0.0
janus-gateway,2019-03-17 13:45:55.831000,"{janus-gateway,libsrtp,libfuzzer}","{09bcf7e74d5b863f3a465e0b8e3ce77497aa5bbf,420aecd06a5dd9208edc22e6366cab452b9467eb,356330}",2019-03-18 13:47:38.462000,"{janus-gateway,libsrtp,libfuzzer}","{09bcf7e74d5b863f3a465e0b8e3ce77497aa5bbf,420aecd06a5dd9208edc22e6366cab452b9467eb,356367}",1666.0,3370.0,1666.0,3370.0,0.0,0.0
janus-gateway,2019-03-18 13:47:38.462000,"{janus-gateway,libsrtp,libfuzzer}","{09bcf7e74d5b863f3a465e0b8e3ce77497aa5bbf,420aecd06a5dd9208edc22e6366cab452b9467eb,356367}",2019-03-25 13:50:56.555000,"{janus-gateway,libsrtp,libfuzzer}","{d76a2516e4dc91a16fd8a1e907288d317fb2d957,420aecd06a5dd9208edc22e6366cab452b9467eb,356895}",1666.0,3370.0,1663.0,3497.0,127.0,-1.8811545971154615
janus-gateway,2019-03-25 13:50:56.555000,"{janus-gateway,libsrtp,libfuzzer}","{d76a2516e4dc91a16fd8a1e907288d317fb2d957,420aecd06a5dd9208edc22e6366cab452b9467eb,356895}",2019-04-01 13:45:37.781000,"{janus-gateway,libsrtp,libfuzzer}","{c7b6661cb8b3a63439f5791a2fb0e371dd83e72e,420aecd06a5dd9208edc22e6366cab452b9467eb,357383}",1663.0,3497.0,1663.0,3497.0,0.0,0.0
janus-gateway,2019-04-01 13:45:37.781000,"{janus-gateway,libsrtp,libfuzzer}","{c7b6661cb8b3a63439f5791a2fb0e371dd83e72e,420aecd06a5dd9208edc22e6366cab452b9467eb,357383}",2019-04-03 13:42:29.721000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357580}",1663.0,3497.0,1663.0,3500.0,3.0,-0.04076146901425659
janus-gateway,2019-04-03 13:42:29.721000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357580}",2019-04-04 13:44:29.418000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357692}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-04 13:44:29.418000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357692}",2019-04-05 13:46:37.871000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357760}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-05 13:46:37.871000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357760}",2019-04-06 13:43:14.659000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357838}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-06 13:43:14.659000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357838}",2019-04-07 13:42:00.923000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357865}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-07 13:42:00.923000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357865}",2019-04-08 13:43:49.925000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357911}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-08 13:43:49.925000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,357911}",2019-04-09 13:50:54.028000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,358003}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-09 13:50:54.028000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,358003}",2019-04-10 13:47:35.189000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,358083}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-10 13:47:35.189000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,358083}",2019-04-11 13:45:45.923000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,358165}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-11 13:45:45.923000,"{janus-gateway,libsrtp,libfuzzer}","{ce8255e56b4a1cecc992cd55633bcdb1ef88cfe7,420aecd06a5dd9208edc22e6366cab452b9467eb,358165}",2019-04-13 13:45:49.985000,"{janus-gateway,libsrtp,libfuzzer}","{1ea7937bbfe85006f3628a959e972a5d4ee736a9,420aecd06a5dd9208edc22e6366cab452b9467eb,358331}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-13 13:45:49.985000,"{janus-gateway,libsrtp,libfuzzer}","{1ea7937bbfe85006f3628a959e972a5d4ee736a9,420aecd06a5dd9208edc22e6366cab452b9467eb,358331}",2019-04-14 13:43:13.137000,"{janus-gateway,libsrtp,libfuzzer}","{1ea7937bbfe85006f3628a959e972a5d4ee736a9,420aecd06a5dd9208edc22e6366cab452b9467eb,358356}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-14 13:43:13.137000,"{janus-gateway,libsrtp,libfuzzer}","{1ea7937bbfe85006f3628a959e972a5d4ee736a9,420aecd06a5dd9208edc22e6366cab452b9467eb,358356}",2019-04-15 13:49:19.856000,"{janus-gateway,libsrtp,libfuzzer}","{27ce8a53bbf5a4fa906020f6843a4959b83ca379,420aecd06a5dd9208edc22e6366cab452b9467eb,358405}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-15 13:49:19.856000,"{janus-gateway,libsrtp,libfuzzer}","{27ce8a53bbf5a4fa906020f6843a4959b83ca379,420aecd06a5dd9208edc22e6366cab452b9467eb,358405}",2019-04-16 13:56:00.440000,"{janus-gateway,libsrtp,libfuzzer}","{aa183e1899e90e557c46e122164dd601abb08c1b,420aecd06a5dd9208edc22e6366cab452b9467eb,358490}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
janus-gateway,2019-04-16 13:56:00.440000,"{janus-gateway,libsrtp,libfuzzer}","{aa183e1899e90e557c46e122164dd601abb08c1b,420aecd06a5dd9208edc22e6366cab452b9467eb,358490}",2019-04-17 13:52:12.722000,"{janus-gateway,libsrtp,libfuzzer}","{016ec27934a5c8625d586986eeb7c3bd1a5e5939,420aecd06a5dd9208edc22e6366cab452b9467eb,358578}",1663.0,3500.0,1663.0,3500.0,0.0,0.0
