project,timecreated_i,modules_i,revisions_i,timecreated_i+1,modules_i+1,revisions_i+1,covered_line_i,total_line_i,covered_line_i+1,total_line_i+1,diff_total_line,diff_coverage
javassist,2022-05-02 06:12:50.144000,"{javassist,aflplusplus}","{52629ee8b867f5a2bb4ff24351b10f24efe1bcac,550ba4d77294e61597a5259d00769c61281e0042}",2022-05-03 06:19:51.528000,"{javassist,aflplusplus}","{52629ee8b867f5a2bb4ff24351b10f24efe1bcac,c208dcf9c573e3d85990c7dea777646f7fa4961c}",666.0,5600.0,705.0,5660.0,60.0,0.5629732458354368
javassist,2022-05-09 06:09:41.782000,"{javassist,aflplusplus}","{52629ee8b867f5a2bb4ff24351b10f24efe1bcac,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-10 06:10:06.368000,"{javassist,aflplusplus}","{c15bd463fd40a9ca6dff455659de59fb17fd91f1,c208dcf9c573e3d85990c7dea777646f7fa4961c}",694.0,5600.0,694.0,5660.0,60.0,-0.13137304391721294
javassist,2022-05-10 06:10:06.368000,"{javassist,aflplusplus}","{c15bd463fd40a9ca6dff455659de59fb17fd91f1,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-11 06:04:26.191000,"{javassist,aflplusplus}","{01c788fb8d00fa3003434cb002b8951e4ea3bb6f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",694.0,5660.0,718.0,5672.0,12.0,0.39719009005865935
javassist,2022-05-11 06:04:26.191000,"{javassist,aflplusplus}","{01c788fb8d00fa3003434cb002b8951e4ea3bb6f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-12 06:11:24.873000,"{javassist,aflplusplus}","{b1c09a1476e6ed5cedf7713f48d832b849675278,c208dcf9c573e3d85990c7dea777646f7fa4961c}",718.0,5672.0,718.0,5643.0,-29.0,0.06505432420360968
javassist,2022-05-12 06:11:24.873000,"{javassist,aflplusplus}","{b1c09a1476e6ed5cedf7713f48d832b849675278,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-13 06:16:13.100000,"{javassist,aflplusplus}","{e77a6263e8d62f873b2acd6e0b9d17a51839b819,c208dcf9c573e3d85990c7dea777646f7fa4961c}",718.0,5643.0,730.0,5736.0,93.0,0.0029102594616805533
javassist,2022-05-13 06:16:13.100000,"{javassist,aflplusplus}","{e77a6263e8d62f873b2acd6e0b9d17a51839b819,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-14 06:03:17.330000,"{javassist,aflplusplus}","{2423b4961edf1c43c6b05b9e375b1c100598021f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",730.0,5736.0,723.0,5676.0,-60.0,0.01120477913316087
javassist,2022-05-16 06:39:13.419000,"{javassist,aflplusplus}","{2423b4961edf1c43c6b05b9e375b1c100598021f,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-17 06:08:50.278000,"{javassist,aflplusplus}","{a323980a1153e00f88c61eaaa301df35151ecbd5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",729.0,5736.0,729.0,5736.0,0.0,0.0
javassist,2022-05-18 06:15:07.018000,"{javassist,aflplusplus}","{a323980a1153e00f88c61eaaa301df35151ecbd5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-05-19 06:04:09.156000,"{javassist,aflplusplus}","{7bbf0d4244011baa0dfb6f5116b659cab514cc9a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",729.0,5736.0,723.0,5736.0,0.0,-0.10460251046025348
javassist,2022-08-06 06:03:57.111000,"{javassist,aflplusplus}","{7bbf0d4244011baa0dfb6f5116b659cab514cc9a,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-08-07 06:11:24.775000,"{javassist,aflplusplus}","{3528a20dd925388c01330b950d0f3ad75f7a14e5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",722.0,5736.0,731.0,5738.0,2.0,0.1524617745699839
javassist,2022-08-10 06:22:51.809000,"{javassist,aflplusplus}","{3528a20dd925388c01330b950d0f3ad75f7a14e5,c208dcf9c573e3d85990c7dea777646f7fa4961c}",2022-09-21 06:21:18.718000,"{javassist,centipede,aflplusplus}","{049c06e9d6c8ebd737fc1124b811cb75568f6c6b,0cb913aa9d77ebd2870aa1036fd8651c2557a9a9,a7877416a87506424053e52e41f7a995c05367a4}",731.0,5738.0,740.0,5755.0,17.0,0.11875348061409596
